Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,697.75,715.00,695.70,713.80,706.369627365930599369,101440,4366,71654135.00,,,19.30,16.05
9-September-2025,695.25,699.15,695.00,697.50,697.029554881798244834,281341,1492,196102992.00,265959,94.53,4.15,2.25
8-September-2025,690.25,703.65,690.25,699.85,700.335317414762943404,174220,3136,122012419.00,142165,81.60,13.40,9.60
5-September-2025,695.15,700.00,682.50,694.75,688.046723153982199462,383921,4439,264155586.00,341236,88.88,17.50,-0.40
4-September-2025,717.80,718.55,693.00,695.20,701.676926322249069919,52146,2688,36589645.00,25601,49.09,25.55,-22.60
3-September-2025,710.20,716.05,710.00,714.25,712.761369587988826815,779008,4825,555246809.00,745650,95.72,6.05,4.05
2-September-2025,719.25,722.65,704.35,708.90,708.616891872507674211,69714,3927,49400518.00,38748,55.58,18.30,-10.35
1-September-2025,719.45,727.45,717.00,721.70,721.979348035042429901,36413,2783,26289434.00,21743,59.71,10.45,2.25
29-August-2025,726.00,730.85,716.25,718.10,722.763408751579189158,34828,2175,25172404.00,15670,44.99,14.60,-7.90
28-August-2025,744.50,750.80,728.00,729.65,735.541128855830234084,27426,1941,20172951.00,10964,39.98,22.80,-14.85
26-August-2025,739.55,750.15,739.50,745.50,745.833972663960373915,26851,1624,20026388.00,12667,47.18,10.65,5.95
25-August-2025,736.15,753.00,736.15,749.70,747.782523691856518315,36827,1611,27538587.00,14904,40.47,16.85,13.55
22-August-2025,752.45,759.90,740.00,742.35,751.381952573664671059,29899,1543,22465569.00,13748,45.98,19.90,-10.10
21-August-2025,759.55,760.85,751.05,752.45,756.133079178885630498,17050,1050,12892069.00,7397,43.38,9.80,-7.10
20-August-2025,759.30,761.05,745.80,759.20,755.095385895302700627,31252,2545,23598241.00,16509,52.83,15.25,-0.10
19-August-2025,755.75,764.95,754.50,757.95,759.689291217257318952,38940,1545,29582301.00,19059,48.94,10.45,2.20
18-August-2025,756.95,773.00,752.30,761.85,763.805745859091415899,161438,6269,123307272.00,92483,57.29,20.70,4.90
14-August-2025,746.20,752.35,741.05,751.55,750.338604651162790697,141900,3099,106473048.00,109969,77.50,11.30,5.35
13-August-2025,730.50,742.30,729.20,737.90,735.226102977205464416,102042,7410,75023942.00,67175,65.83,13.10,7.40
12-August-2025,738.85,741.50,721.65,723.90,731.212713364732605137,89811,4098,65670945.00,50377,56.09,19.85,-14.95
11-August-2025,747.75,747.75,725.80,734.30,734.918596261069203017,198185,4942,145649842.00,130290,65.74,21.95,-13.45
8-August-2025,800.00,800.00,736.85,738.90,758.417145088582272584,583864,14730,442812468.00,218619,37.44,63.15,-61.10
7-August-2025,734.70,745.00,725.00,744.00,733.637683996241778891,25544,919,18740041.00,6350,24.86,20.00,9.30
6-August-2025,743.60,744.85,723.45,734.70,733.799909891870244293,19976,1064,14658387.00,5427,27.17,21.40,-8.90
5-August-2025,748.80,755.85,739.60,742.45,745.585458491589799240,27645,1187,20611710.00,13335,48.24,16.25,-6.35
4-August-2025,740.90,755.50,740.90,752.50,752.412480974124809741,162279,2830,122100745.00,111687,68.82,14.60,11.60
1-August-2025,740.05,751.00,739.15,741.35,745.058366642441860465,22016,849,16403205.00,8472,38.48,11.85,1.30
31-July-2025,731.95,749.60,731.95,741.20,742.785454214606719064,1198024,3168,889874801.00,1113922,92.98,17.65,9.25
30-July-2025,735.05,754.20,735.05,746.35,747.142627668830734221,44823,1991,33489174.00,12143,27.09,19.15,11.30
29-July-2025,727.05,741.60,727.05,739.90,733.455001433850782125,184817,1237,135554953.00,162656,88.01,14.55,12.85
28-July-2025,731.95,737.15,724.30,727.00,732.444733003664306805,112436,3347,82353156.00,87400,77.73,12.85,-4.95
25-July-2025,744.45,747.85,727.75,733.20,736.157592187999573697,150128,6931,110517867.00,76832,51.18,20.10,-11.25
24-July-2025,739.65,746.50,733.00,745.65,742.728003917669580186,134774,4270,100100424.00,97053,72.01,13.50,6.00
23-July-2025,725.20,738.95,721.50,736.30,729.163272582797648760,98161,3012,71575396.00,35898,36.57,17.45,11.10
22-July-2025,750.20,753.65,724.40,725.90,731.170281748498031903,289620,7174,211761537.00,144537,49.91,29.25,-24.30
21-July-2025,774.95,774.95,734.85,753.25,747.144724038643556695,301111,11811,224973495.00,118740,39.43,40.10,-21.70
18-July-2025,796.55,800.30,786.30,794.60,793.575979249242247610,34312,1833,27229179.00,11610,33.84,14.00,-1.95
17-July-2025,798.25,802.55,788.20,796.55,791.810384772634352428,132078,1341,104580732.00,116387,88.12,14.35,-1.70
16-July-2025,810.25,814.20,795.00,797.40,804.984038465760642852,45547,2180,36664608.00,20633,45.30,19.20,-12.85
15-July-2025,813.80,820.85,802.40,810.10,808.477934478943153544,163581,2824,132251629.00,125489,76.71,18.45,-3.70
14-July-2025,807.40,814.30,797.40,805.10,803.952241137808425816,111372,2699,89537769.00,24518,22.01,16.90,-2.30
11-July-2025,829.00,832.55,817.25,820.45,824.532518034265103697,17744,1005,14630505.00,4647,26.19,15.30,-8.55
10-July-2025,821.05,829.75,821.05,828.05,826.652021089630931458,9673,592,7996205.00,3437,35.53,8.70,7.00
9-July-2025,822.05,827.90,816.85,825.50,821.843222985633978763,20813,707,17105023.00,8977,43.13,11.05,3.45
8-July-2025,813.90,820.45,804.00,819.00,812.688768115942028985,30360,1126,24673231.00,11161,36.76,16.45,5.10
7-July-2025,823.90,824.00,810.00,813.40,818.082526194505454938,27773,1579,22720606.00,10352,37.27,14.00,-10.50
4-July-2025,811.45,820.80,807.05,819.75,816.203867040226903254,28911,1021,23597270.00,10645,36.82,13.75,8.30
3-July-2025,818.90,822.00,810.00,811.30,813.905029451744449478,55175,2194,44907210.00,30166,54.67,12.00,-7.60
2-July-2025,838.15,840.95,816.55,818.60,826.004465091105899332,44344,1479,36628342.00,19836,44.73,24.40,-19.55
1-July-2025,817.25,840.00,817.25,836.15,832.792312384339429528,96727,3479,80553502.00,50224,51.92,22.75,18.90
30-June-2025,813.70,822.05,809.20,817.75,815.826079200856225472,33636,1332,27441126.00,11653,34.64,12.85,4.05
27-June-2025,819.75,819.80,803.80,809.95,809.536251741755689735,43060,1861,34858631.00,13752,31.94,16.00,-9.80
26-June-2025,810.20,823.50,806.40,819.70,814.673686001465815097,76408,3770,62247587.00,34575,45.25,17.10,9.50
25-June-2025,800.75,810.95,794.45,807.35,804.368476501271937713,38917,1676,31303608.00,21469,55.17,16.50,6.60
24-June-2025,805.45,805.45,791.00,800.70,799.041197140433781655,24759,741,19783461.00,9169,37.03,14.45,-4.75
23-June-2025,796.05,802.40,789.40,796.25,796.125341629353957085,68788,1923,54763870.00,15430,22.43,13.00,0.20
20-June-2025,784.15,797.15,784.15,795.05,790.994598533887769537,23327,1245,18451531.00,8368,35.87,13.00,10.90
