Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,1055.00,1073.95,1055.00,1070.75,1066.686898778796079412,43973,4366,46905423.00,,,18.95,15.75
9-September-2025,1055.85,1057.50,1048.70,1051.90,1052.445646072671481495,26723,1524,28124505.00,13666,51.14,8.80,-3.95
8-September-2025,1053.35,1062.90,1053.35,1055.25,1058.094679669176644858,48606,2704,51429750.00,25882,53.25,9.55,1.90
5-September-2025,1055.30,1058.00,1047.65,1056.20,1051.880445227418321588,49952,3239,52543532.00,34188,68.44,10.35,0.90
4-September-2025,1059.95,1062.35,1047.70,1050.20,1055.472178589036541041,87217,8836,92055117.00,38367,43.99,14.65,-9.75
3-September-2025,1055.65,1065.00,1045.10,1054.45,1055.613180921790678176,84683,5768,89392491.00,29576,34.93,19.90,-1.20
2-September-2025,1062.00,1063.95,1049.25,1055.70,1056.425152096008000666,59995,2846,63380227.00,36585,60.98,14.70,-6.30
1-September-2025,1041.30,1063.90,1041.30,1061.40,1057.038418913926856298,127229,5994,134485941.00,49163,38.64,22.60,20.10
29-August-2025,1052.30,1062.85,1042.50,1045.55,1052.477702277022770227,88888,4319,93552638.00,55311,62.23,20.35,-6.75
28-August-2025,1050.00,1059.20,1047.00,1052.35,1050.964229401406424436,86887,4112,91315129.00,39887,45.91,12.20,2.35
26-August-2025,1062.15,1069.70,1048.05,1050.15,1053.504922792529411173,597222,21087,629176317.00,128385,21.50,21.65,-12.00
25-August-2025,1071.20,1074.35,1068.00,1070.05,1071.531343867604239794,608237,4638,651745010.00,519383,85.39,6.35,-1.15
22-August-2025,1077.80,1078.50,1069.35,1070.40,1072.850875289010522342,105965,5403,113684643.00,63024,59.48,9.15,-7.40
21-August-2025,1088.15,1090.00,1076.50,1079.30,1087.726088357768068862,937054,4474,1019258082.00,881054,94.02,13.50,-8.85
20-August-2025,1083.15,1083.55,1077.85,1079.85,1080.324127649897667837,39577,2405,42755988.00,25315,63.96,5.70,-3.30
19-August-2025,1082.00,1094.95,1075.95,1083.25,1085.350000000000000000,273820,10822,297190537.00,53115,19.40,19.00,1.25
18-August-2025,1077.30,1089.60,1077.30,1082.15,1084.539576688895331980,79327,3334,86033271.00,39557,49.87,12.30,4.85
14-August-2025,1068.00,1072.25,1062.15,1067.50,1067.310344017846659621,42585,2571,45451411.00,17776,41.74,10.10,-0.50
13-August-2025,1069.90,1071.95,1063.25,1066.30,1067.415181885671863400,48492,1669,51761097.00,10889,22.46,8.70,-3.60
12-August-2025,1070.75,1076.45,1066.50,1069.30,1071.039388101983002832,44125,2879,47259613.00,18525,41.98,9.95,-1.45
11-August-2025,1060.00,1075.00,1053.00,1073.55,1064.381975549064156659,46215,2006,49190413.00,20324,43.98,22.00,13.55
8-August-2025,1076.65,1078.05,1053.80,1057.35,1061.142076379576520435,88741,5751,94166809.00,49549,55.84,24.25,-19.30
7-August-2025,1069.10,1079.80,1064.85,1076.90,1070.732190845411692145,22699,2938,24304550.00,7107,31.31,14.95,7.80
6-August-2025,1073.40,1077.80,1065.80,1070.70,1072.201697916959491749,35573,1791,38141431.00,18626,52.36,12.00,-2.70
5-August-2025,1068.00,1079.85,1062.60,1070.55,1070.577844066884748221,208179,6058,222871825.00,30474,14.64,17.25,2.55
4-August-2025,1063.20,1070.00,1059.75,1068.45,1064.216766595228774919,3905957,9754,4156784929.00,3671603,94.00,10.25,5.25
1-August-2025,1060.25,1070.80,1060.20,1062.60,1065.774056189217402785,2181237,5207,2324705805.00,2064735,94.66,10.60,2.35
31-July-2025,1061.05,1081.40,1061.05,1068.30,1072.211355905826904693,44981,2376,48229139.00,22200,49.35,20.35,7.25
30-July-2025,1066.30,1080.50,1062.00,1073.25,1071.286960605882698291,85165,4503,91236154.00,46168,54.21,18.50,6.95
29-July-2025,1076.45,1077.70,1055.30,1065.50,1065.682600210516064023,266963,8662,284497824.00,62775,23.51,22.40,-10.95
28-July-2025,1079.95,1091.55,1067.15,1073.35,1075.808907281146315674,274270,10351,295062109.00,99055,36.12,24.40,-6.60
25-July-2025,1091.95,1100.00,1076.35,1086.90,1085.662024909232961073,304626,12867,330720880.00,191795,62.96,23.65,-5.05
24-July-2025,1105.15,1105.50,1089.25,1095.25,1097.542697334273297025,129083,4960,141674104.00,95369,73.88,16.25,-9.90
23-July-2025,1100.00,1110.40,1097.80,1105.15,1105.349001682147297593,136730,4351,151134369.00,70320,51.43,12.60,5.15
22-July-2025,1101.75,1110.80,1095.00,1098.05,1099.725821262087721379,455214,14487,500610590.00,130703,28.71,15.80,-3.70
21-July-2025,1089.20,1101.80,1072.60,1100.05,1092.235866364858655138,293785,10521,320882514.00,155264,52.85,29.20,10.85
