Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,235.95,240.15,234.95,238.05,238.233548677752416685,1136474,8922,270746234.00,,,5.20,2.10
9-September-2025,234.25,235.60,233.50,234.55,234.314420774755970286,81445,1289,19083738.00,37571,46.13,2.10,0.30
8-September-2025,234.35,236.80,234.30,234.60,235.568152010492306708,156305,2482,36820480.00,80710,51.64,2.50,0.25
5-September-2025,234.15,235.50,231.70,234.30,233.595938256835225117,171355,2765,40027832.00,80100,46.74,3.80,0.15
4-September-2025,240.00,240.65,233.55,233.95,237.110800664931068354,582316,3345,138073413.00,96516,16.57,7.10,-6.05
3-September-2025,237.80,239.05,236.95,238.50,237.763923278611461199,987052,2542,234685356.00,788694,79.90,2.10,0.70
2-September-2025,234.70,238.45,233.50,236.60,237.005964380939993868,430556,2793,102044340.00,130168,30.23,4.95,1.90
1-September-2025,233.25,235.25,233.15,234.75,234.231034439050359347,78893,1403,18479189.00,37634,47.70,2.10,1.50
29-August-2025,232.95,234.55,231.00,232.80,232.843747948494312053,106629,1460,24827896.00,50506,47.37,3.55,-0.15
28-August-2025,235.45,236.50,231.65,233.20,233.384791370362885544,262259,4664,61207262.00,94993,36.22,4.85,-2.25
26-August-2025,240.30,241.00,234.60,235.15,237.092825050373577963,159806,3893,37888856.00,85190,53.31,6.40,-5.15
25-August-2025,241.30,243.00,240.50,240.95,241.338381898435140943,900784,8251,217393753.00,800652,88.88,2.50,-0.35
22-August-2025,243.40,244.65,240.00,240.25,241.934220474120937481,215599,3524,52160776.00,133113,61.74,4.65,-3.15
21-August-2025,245.00,247.40,243.10,243.25,244.996907557371691344,523211,2367,128185077.00,405979,77.59,4.30,-1.75
20-August-2025,247.00,248.50,244.45,244.85,245.408722167392135273,1051734,7571,258104697.00,896471,85.24,4.05,-2.15
19-August-2025,242.40,247.30,241.70,247.10,245.004709380239049877,184313,2159,45157553.00,88679,48.11,5.60,4.70
18-August-2025,243.45,245.65,241.55,242.75,242.902495849901555804,518060,4176,125838067.00,417703,80.63,4.10,-0.70
14-August-2025,242.65,243.75,241.00,242.70,242.114267668343541363,899292,2752,217731424.00,820111,91.20,2.75,0.05
13-August-2025,243.00,244.65,241.20,241.75,242.170832953405671560,438680,2730,106235501.00,361056,82.30,3.45,-1.25
12-August-2025,243.85,245.35,242.50,243.00,243.942583581797290357,541326,2286,132052463.00,405075,74.83,2.85,-0.85
11-August-2025,238.70,244.80,238.70,243.95,243.409562722672231981,363202,5645,88406840.00,180678,49.75,6.10,5.25
8-August-2025,241.90,242.50,238.60,239.25,240.090859832796339809,378341,2161,90836216.00,325178,85.95,3.90,-2.65
7-August-2025,241.30,242.45,237.40,241.95,240.784723236453921425,280727,3446,67594773.00,147716,52.62,5.05,0.65
6-August-2025,240.65,243.50,239.35,241.75,241.751000630460235972,277575,4165,67104034.00,142975,51.51,4.15,1.10
5-August-2025,240.95,242.15,239.55,240.65,240.922736524786148613,155248,2363,37402773.00,62783,40.44,2.60,-0.30
4-August-2025,235.00,242.00,235.00,241.20,239.566004008450246465,129227,2027,30958396.00,60998,47.20,7.00,6.20
1-August-2025,237.35,238.65,234.50,235.10,236.770766377788121255,135351,2884,32047160.00,51983,38.41,4.15,-2.25
31-July-2025,237.85,240.90,236.50,237.85,238.873666729824013909,269169,4500,64297386.00,129932,48.27,4.40,0.00
30-July-2025,241.65,243.90,239.15,239.70,241.351510631907114522,96549,2079,23302247.00,32841,34.01,4.75,-1.95
29-July-2025,239.85,243.25,239.40,242.25,242.214868875819772156,254034,4974,61530812.00,87594,34.48,3.85,2.40
28-July-2025,239.75,247.20,237.75,240.35,242.963932609091648999,516034,7547,125377650.00,166450,32.26,9.45,0.60
25-July-2025,246.75,249.00,242.45,243.45,245.955922425292729366,263127,4070,64717644.00,69611,26.46,6.55,-3.30
24-July-2025,242.65,247.25,239.35,246.80,241.467262227657832703,1622224,11200,391713988.00,1275744,78.64,7.90,4.15
23-July-2025,239.20,243.50,238.50,243.10,240.950925080620267048,304514,3688,73372930.00,119023,39.09,5.00,3.90
22-July-2025,243.00,244.20,239.00,239.50,241.985260002534728536,725916,4369,175660972.00,592841,81.67,5.20,-3.50
21-July-2025,244.10,245.40,240.45,243.40,242.879181206105617849,316954,4746,76981528.00,174219,54.97,4.95,-0.70
18-July-2025,245.00,247.45,244.10,244.75,245.464464530162956851,106654,2492,26179767.00,46244,43.36,3.35,-0.25
17-July-2025,250.15,250.65,245.60,246.40,247.922457167818025917,185433,2455,45973005.00,75580,40.76,5.05,-3.75
16-July-2025,244.30,250.50,243.60,249.05,248.182556829159837183,1081707,10781,268460809.00,620340,57.35,6.90,4.75
15-July-2025,241.65,245.25,240.80,244.35,243.695296728764111068,438397,5727,106835287.00,250848,57.22,4.45,2.70
14-July-2025,237.20,241.80,236.40,240.95,240.444905976800882001,128798,2318,30968823.00,59592,46.27,5.40,3.75
11-July-2025,238.25,240.40,236.00,237.20,237.850407298576295691,149399,2121,35534613.00,41760,27.95,4.40,-1.05
10-July-2025,241.00,241.50,238.25,238.80,239.728882375552565827,166496,3363,39913900.00,91722,55.09,3.25,-2.20
9-July-2025,241.35,242.00,239.35,241.20,240.873347575033312887,94558,1632,22776502.00,46542,49.22,2.65,-0.15
8-July-2025,241.75,242.05,238.40,239.75,239.805928733646802929,125052,1917,29988211.00,51936,41.53,3.65,-2.00
7-July-2025,240.40,245.00,240.00,241.05,242.815850112311290912,172289,2208,41834500.00,88003,51.08,5.00,0.65
4-July-2025,243.20,243.30,239.30,240.75,240.819413558256747582,416853,4617,100386295.00,154999,37.18,4.00,-2.45
3-July-2025,244.45,244.50,241.40,242.35,242.537573656351210603,140178,1819,33998432.00,48347,34.49,3.10,-2.10
2-July-2025,247.50,247.95,242.00,242.85,243.678623969760011630,288889,3191,70396074.00,100614,34.83,5.95,-4.65
1-July-2025,249.35,249.35,243.60,247.45,246.240230528359097156,282308,3628,69515587.00,84568,29.96,5.75,-1.90
30-June-2025,242.15,249.65,242.15,248.70,247.570350957858908800,680737,6094,168530298.00,283139,41.59,7.50,6.55
27-June-2025,238.95,245.00,238.90,241.35,242.725883298622529138,273690,2449,66431647.00,116862,42.70,6.10,2.40
26-June-2025,239.95,239.95,235.10,239.30,237.221860773746355651,432519,4926,102602962.00,132921,30.73,4.85,-0.65
25-June-2025,238.55,240.90,238.00,239.15,239.434398442962151130,264605,2949,63355539.00,118233,44.68,2.90,0.60
24-June-2025,235.35,240.60,235.35,237.85,238.786060285246294594,200248,2407,47816431.00,74545,37.23,5.25,2.50
23-June-2025,231.60,235.70,231.60,233.85,233.799014055117523437,268372,3714,62745109.00,122501,45.65,4.10,2.25
20-June-2025,231.55,236.90,231.50,234.25,234.005060836908233210,131006,1711,30656067.00,43044,32.86,5.40,2.70
19-June-2025,236.25,237.15,230.55,231.65,232.815271656639174880,218732,2481,50924150.00,99850,45.65,6.60,-4.60
18-June-2025,237.50,239.60,235.55,236.40,237.718998833600720893,237483,1891,56454221.00,123055,51.82,4.05,-1.10
17-June-2025,240.95,242.55,237.55,238.00,239.747119277483649953,327522,3648,78522456.00,111339,33.99,5.00,-2.95
16-June-2025,238.50,241.05,236.05,240.70,238.428447184913992886,192019,2092,45782792.00,68233,35.53,5.00,2.20
13-June-2025,235.45,240.05,235.20,239.10,238.455532183959176670,472083,4468,112570803.00,189822,40.21,4.85,3.65
12-June-2025,243.55,244.20,239.75,241.10,242.515606654366356109,196743,2138,47713248.00,74256,37.74,4.45,-2.45
11-June-2025,246.90,246.90,242.05,242.55,244.932241262470360659,1419566,9748,347697482.00,924058,65.09,4.85,-4.35
10-June-2025,249.10,249.45,246.05,246.95,247.231546229745296597,431443,4638,106666320.00,208242,48.27,3.40,-2.15
9-June-2025,247.20,250.00,246.50,248.05,248.675354889552734056,1060823,7697,263800536.00,613001,57.79,3.50,0.85
6-June-2025,243.85,248.90,241.10,246.30,244.866507663296656817,851135,6134,208414455.00,269115,31.62,7.80,2.45
5-June-2025,255.35,255.95,248.85,250.60,251.529092179603515767,603908,4452,151900431.00,336566,55.73,7.10,-4.75
4-June-2025,255.00,256.20,251.80,254.60,253.999189719156659698,370242,3330,94041168.00,195012,52.67,4.40,-0.40
3-June-2025,255.05,257.65,250.75,253.60,254.330371252232212788,797975,7359,202949278.00,359532,45.06,6.90,-1.45
2-June-2025,250.10,256.25,250.10,254.80,254.284047989335703177,1080240,8948,274687800.00,435317,40.30,6.15,4.70
30-May-2025,243.25,251.45,242.15,249.70,246.447221892729730835,1441611,11340,355281026.00,686660,47.63,9.30,6.45
29-May-2025,243.10,244.50,241.25,243.30,242.175912727141912826,889532,11422,215423224.00,651998,73.30,3.25,0.20
28-May-2025,242.30,243.40,240.80,243.05,242.084515826777764045,695846,5748,168453542.00,396366,56.96,2.60,0.75
27-May-2025,242.05,242.75,237.65,241.55,240.849992110077087469,513313,3534,123631432.00,299038,58.26,5.10,-0.50
26-May-2025,244.00,245.10,240.80,241.50,242.170126583939140003,609793,5040,147673648.00,418493,68.63,4.30,-2.50
23-May-2025,240.80,243.80,240.80,243.05,242.586946972953776564,428008,3701,103829154.00,267431,62.48,3.00,2.25
22-May-2025,240.65,242.30,238.20,241.30,240.233513569008589712,233768,2526,56158908.00,72444,30.99,4.10,0.65
21-May-2025,236.75,241.65,235.05,241.20,238.841805171065700217,757136,7257,180835729.00,396472,52.36,6.60,4.45
20-May-2025,241.30,242.90,235.70,236.45,239.388238429759932986,262635,2894,62871730.00,101047,38.47,7.20,-4.85
19-May-2025,237.85,242.95,236.15,239.85,239.477069136736876058,393727,3713,94288588.00,130134,33.05,6.80,2.00
16-May-2025,234.45,238.00,234.45,236.85,236.873357076371606054,605932,5496,143529147.00,392357,64.75,3.55,2.40
15-May-2025,234.75,235.80,233.00,234.45,234.392439942153517824,284892,2805,66776531.00,114288,40.12,2.80,-0.30
14-May-2025,234.25,235.00,230.35,233.55,233.465340534620197211,942239,5979,219980149.00,647022,68.67,4.65,-0.70
13-May-2025,226.80,234.20,226.60,232.75,232.285706652489223317,748607,7488,173890706.00,356140,47.57,7.60,5.95
12-May-2025,226.95,228.20,224.50,226.85,226.454911577801901994,768246,6925,173973080.00,361346,47.04,3.70,-0.10
9-May-2025,212.40,220.60,212.40,220.15,217.830493963817496281,346908,3593,75567141.00,106528,30.71,8.20,7.75
8-May-2025,225.80,226.55,216.05,217.20,220.793531499134604126,862611,10508,190458929.00,277674,32.19,10.50,-8.60
7-May-2025,224.15,227.45,221.30,224.60,224.364081414011635751,993146,7714,222826290.00,287048,28.90,6.15,0.45
6-May-2025,248.45,251.80,212.10,223.65,230.194450141421765005,2194146,22299,505080232.00,845869,38.55,39.70,-24.80
5-May-2025,247.80,250.60,247.55,249.25,249.426575017817429309,465836,5047,116191878.00,301082,64.63,3.05,1.45
2-May-2025,249.30,252.15,246.40,248.50,250.375096522103173987,644930,7383,161474411.00,472549,73.27,5.75,-0.80
30-April-2025,253.20,253.20,249.25,250.00,250.615791441195756754,163177,2192,40894733.00,50263,30.80,3.95,-3.20
29-April-2025,253.65,259.35,252.00,253.00,255.567574120680130133,325820,4653,83269027.00,96081,29.49,7.35,-0.65
28-April-2025,247.00,253.30,246.60,252.50,251.063813886700096858,442913,7850,111199427.00,262606,59.29,6.70,5.50
25-April-2025,251.05,253.90,245.00,247.35,247.258106384809770065,1278190,13011,316042839.00,613195,47.97,8.90,-3.70
24-April-2025,250.80,255.80,250.80,252.10,253.228412783417152198,248353,2800,62890036.00,63031,25.38,5.00,1.30
23-April-2025,253.60,253.60,247.65,251.45,249.521891790813869329,743338,7519,185479104.00,482550,64.92,5.95,-2.15
22-April-2025,250.60,257.10,249.80,252.25,253.734204273667720631,763466,10219,193717438.00,355417,46.55,7.30,1.65
21-April-2025,243.00,250.50,243.00,249.65,247.609238138686131386,394560,4160,97696701.00,169448,42.95,7.50,6.65
17-April-2025,241.75,244.60,241.00,242.70,243.418373031663919049,1231370,16035,299738082.00,861136,69.93,3.60,0.95
16-April-2025,235.00,241.45,233.30,240.90,239.660039674044432650,1228511,13480,294424995.00,824457,67.11,8.15,5.90
15-April-2025,236.25,236.30,231.75,234.95,234.326195024921271066,610322,4795,143014432.00,383006,62.75,4.55,-1.30
11-April-2025,232.55,234.45,230.65,232.40,232.951242350414264730,450678,4996,104986000.00,210460,46.70,3.80,-0.15
9-April-2025,235.50,235.80,229.20,230.25,231.138239698789231070,496131,4266,114674846.00,298742,60.21,6.60,-5.25
8-April-2025,231.25,236.55,231.20,235.80,234.584971867504237065,494446,3898,115989601.00,282013,57.04,5.35,4.55
7-April-2025,225.60,230.30,218.75,229.25,226.562198846418596555,505556,6989,114539879.00,259723,51.37,11.55,3.65
4-April-2025,239.00,242.35,232.85,234.25,237.604921197383176664,412867,4401,98099231.00,119719,29.00,9.50,-4.75
3-April-2025,228.95,238.45,228.80,236.70,234.491589594497401663,394868,3472,92593225.00,102575,25.98,9.65,7.75
2-April-2025,229.75,232.45,226.30,231.50,229.796541542638988594,332923,4930,76504554.00,146570,44.03,6.15,1.75
1-April-2025,227.95,231.50,226.80,228.65,229.475411368037021254,267522,2108,61389721.00,121546,45.43,4.70,0.70
28-March-2025,231.00,233.65,226.85,228.40,229.731242383291954311,286377,3368,65789744.00,78496,27.41,6.80,-2.60
