Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,108.10,111.25,108.10,110.65,110.302073763451851316,1604426,8551,176971515.00,,,3.15,2.55
9-September-2025,108.10,108.75,107.35,108.05,108.031921376141147268,178877,1573,19324426.00,74633,41.72,1.40,-0.05
8-September-2025,107.25,108.65,107.15,108.10,108.082936332269514313,625733,5306,67631060.00,444856,71.09,1.50,0.85
5-September-2025,106.15,107.45,105.65,107.15,106.715290248971952308,580226,4371,61918986.00,269192,46.39,1.80,1.00
4-September-2025,108.90,109.25,105.90,106.10,107.118721916709272214,481158,5136,51541030.00,,,3.35,-2.80
3-September-2025,106.05,108.50,106.05,108.35,107.623218901270099797,395402,2762,42554436.00,174286,44.08,2.45,2.30
2-September-2025,105.55,107.00,104.75,106.15,106.170541905643258279,552181,4560,58625356.00,336215,60.89,2.25,0.60
1-September-2025,104.00,105.25,104.00,105.15,104.824027765417816143,337110,2971,35337228.00,160295,47.55,1.25,1.15
29-August-2025,104.45,105.20,103.50,103.80,104.390948831314922004,842742,6945,87974637.00,371305,44.06,1.70,-0.65
28-August-2025,106.00,106.30,104.50,104.70,105.320445615466488355,326021,3288,34336677.00,143405,43.99,1.80,-1.30
26-August-2025,108.70,109.10,105.80,106.00,106.950136802077536635,690048,7605,73800728.00,395006,57.24,3.30,-2.70
25-August-2025,110.70,111.00,108.65,108.85,109.778730306985770368,605989,5707,66524703.00,349029,57.60,2.35,-1.85
22-August-2025,111.10,111.75,109.80,109.95,110.605082472178060413,201280,2162,22262591.00,94199,46.80,1.95,-1.15
21-August-2025,113.00,113.00,110.90,111.05,111.372161710077553059,1150825,4403,128169868.00,936512,81.38,2.10,-1.95
20-August-2025,111.70,112.70,111.70,112.25,112.056167890247812554,969967,5110,108690785.00,769516,79.33,1.00,0.55
19-August-2025,109.35,111.85,109.25,111.65,110.228719126666228127,1687419,3765,186002035.00,1461624,86.62,2.60,2.30
18-August-2025,110.10,110.50,108.90,109.30,109.281025381432827623,1208994,5792,132120104.00,953308,78.85,1.60,-0.80
14-August-2025,109.25,109.85,108.45,109.25,108.820552359863799596,1053154,2910,114604800.00,901800,85.63,1.40,0.00
13-August-2025,110.20,110.50,108.50,108.90,109.459926433738876844,728323,5754,79722182.00,393124,53.98,2.00,-1.30
