Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,35.66,36.50,35.66,36.18,36.146927289207619913,800954,2627,28952026.00,,,0.84,0.52
9-September-2025,35.74,35.95,35.50,35.56,35.675742564759781595,260617,1775,9297705.00,173094,66.42,0.45,-0.18
8-September-2025,35.28,36.15,35.28,35.75,35.801738077214231642,495375,2055,17735286.00,308305,62.24,0.87,0.47
5-September-2025,35.41,35.51,35.06,35.24,35.234307336141289134,303661,1951,10699285.00,143165,47.15,0.45,-0.17
4-September-2025,35.99,36.03,35.25,35.33,35.543313706446521791,329480,1992,11710811.00,180887,54.90,0.78,-0.66
3-September-2025,35.49,35.76,35.47,35.69,35.594550795712499544,164758,785,5864487.00,80280,48.73,0.29,0.20
2-September-2025,35.05,35.78,34.96,35.36,35.513163771060282321,456784,2035,16221845.00,220846,48.35,0.82,0.31
1-September-2025,34.81,35.15,34.53,35.05,34.743694225989160995,171787,976,5968515.00,75860,44.16,0.62,0.24
29-August-2025,34.51,34.88,34.27,34.47,34.556997556053044671,526198,2431,18183823.00,299622,56.94,0.61,-0.04
28-August-2025,34.71,34.94,34.22,34.51,34.625751664319261493,555933,2874,19249598.00,287533,51.72,0.72,-0.20
26-August-2025,35.72,35.88,34.76,34.89,35.187623603735579564,436880,1718,15372769.00,209425,47.94,1.12,-0.83
25-August-2025,35.94,36.08,35.53,35.61,35.749344805419571774,283122,2275,10121426.00,157348,55.58,0.55,-0.33
22-August-2025,36.12,36.44,35.71,35.82,35.994630077277399215,420304,2346,15128687.00,239663,57.02,0.73,-0.30
21-August-2025,36.67,36.85,36.27,36.38,36.584134234148507628,346797,1712,12687268.00,186127,53.67,0.58,-0.29
20-August-2025,36.69,37.10,36.52,36.59,36.692029115851830533,333564,1584,12239140.00,197171,59.11,0.58,-0.10
19-August-2025,36.62,36.81,36.35,36.64,36.625790893060885800,192820,1085,7062185.00,117093,60.73,0.46,0.02
18-August-2025,36.33,36.90,36.33,36.62,36.665840045475246241,300823,1672,11029928.00,181628,60.38,0.57,0.29
14-August-2025,36.06,36.19,35.86,36.11,36.024075221311074520,245356,1758,8838723.00,169164,68.95,0.33,0.05
13-August-2025,36.45,36.45,35.91,36.01,36.102158462221863263,198104,971,7151982.00,110108,55.58,0.54,-0.44
