Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,24.99,25.54,24.99,25.33,25.332962007504690431,34112,187,864158.00,,,0.55,0.34
9-September-2025,25.22,25.32,24.83,24.99,25.122345063299968611,57346,399,1440666.00,38668,67.43,0.49,-0.23
8-September-2025,25.01,25.79,24.93,25.16,25.408769581494572605,95626,397,2429739.00,79769,83.42,0.86,0.15
5-September-2025,25.12,25.19,24.75,24.91,24.901917041048679918,64996,534,1618525.00,36556,56.24,0.44,-0.21
4-September-2025,25.06,25.40,24.99,25.10,25.177506192552559929,48849,212,1229896.00,36899,75.54,0.41,0.04
3-September-2025,25.03,25.27,24.70,24.96,24.888701087150786639,195833,522,4874029.00,133047,67.94,0.57,-0.07
2-September-2025,25.46,25.58,24.97,25.07,25.304608076009501187,157875,779,3994965.00,102595,64.98,0.61,-0.39
1-September-2025,25.60,25.78,24.71,24.98,25.107717018218089007,272696,1359,6846774.00,207651,76.15,1.07,-0.62
29-August-2025,25.90,26.23,25.54,25.62,25.776777689162330839,78993,473,2036185.00,42883,54.29,0.69,-0.28
28-August-2025,26.77,26.77,25.86,25.93,26.157135596247098094,72797,554,1904161.00,39454,54.20,0.91,-0.84
26-August-2025,26.77,26.80,26.15,26.25,26.294180144020776767,42355,217,1113690.00,33935,80.12,0.65,-0.52
25-August-2025,27.03,27.21,26.80,26.86,26.992557953865016680,35071,354,946656.00,25165,71.75,0.41,-0.17
22-August-2025,26.87,27.29,26.87,27.11,27.078709326389631083,102923,358,2787022.00,75941,73.78,0.42,0.24
21-August-2025,27.35,27.50,27.00,27.13,27.276007418647782835,35586,163,970644.00,24926,70.04,0.50,-0.22
20-August-2025,27.05,27.48,27.05,27.35,27.314822763933759573,44263,215,1209036.00,34758,78.53,0.43,0.30
19-August-2025,26.76,27.28,26.69,27.05,26.897309135755217469,94059,584,2529934.00,52794,56.13,0.59,0.29
18-August-2025,26.73,26.98,26.71,26.82,26.810443880490121284,64229,437,1722008.00,41249,64.22,0.27,0.09
14-August-2025,26.94,27.00,26.65,26.73,26.789286479537175916,70005,336,1875384.00,59208,84.58,0.35,-0.21
13-August-2025,27.05,27.33,26.86,26.91,27.210082516761217122,77560,253,2110414.00,65581,84.56,0.47,-0.14
12-August-2025,27.00,27.14,26.89,26.95,27.014406408832340368,29709,178,802571.00,18845,63.43,0.25,-0.05
11-August-2025,26.54,27.15,26.33,27.04,26.817809813417426887,26637,235,714346.00,15502,58.20,0.82,0.50
8-August-2025,26.79,26.79,26.29,26.39,26.489106269453090262,80964,471,2144664.00,57646,71.20,0.50,-0.40
7-August-2025,26.51,26.95,26.29,26.76,26.581667295360241418,71577,655,1902636.00,51988,72.63,0.66,0.25
6-August-2025,26.63,27.02,26.43,26.99,26.683036457466289329,54063,421,1442565.00,32140,59.45,0.59,0.36
5-August-2025,27.00,27.00,26.45,26.64,26.715621337258429416,73374,492,1960232.00,48351,65.90,0.55,-0.36
4-August-2025,25.88,26.92,25.88,26.81,26.566235753378974831,50977,272,1354267.00,28087,55.10,1.04,0.93
