Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,191.75,196.80,191.75,196.00,195.389153275470257955,172937,2894,33790014.00,,,5.05,4.25
9-September-2025,190.95,192.00,190.00,191.60,190.930198068104205288,51245,1103,9784218.00,22046,43.02,2.00,0.65
8-September-2025,190.65,191.95,189.35,190.60,190.767690946661922312,306329,5399,58437676.00,238551,77.87,2.60,-0.05
5-September-2025,190.10,191.00,189.15,190.45,190.181813750974785547,61552,1569,11706071.00,24344,39.55,1.85,0.35
4-September-2025,194.05,196.00,188.45,189.75,191.126722563506558193,144552,2869,27627750.00,96329,66.64,7.55,-4.30
3-September-2025,193.55,194.65,192.90,193.15,193.484487445193138857,96019,1803,18578187.00,51306,53.43,1.75,-0.40
2-September-2025,193.30,195.40,193.00,193.55,193.957775489186405767,68941,1636,13371643.00,43242,62.72,2.40,0.25
1-September-2025,190.25,193.95,190.25,193.55,192.860667108993304783,66316,1541,12789748.00,43061,64.93,3.70,3.30
29-August-2025,191.10,193.85,191.10,191.70,192.322191901740108615,185793,3454,35732117.00,110861,59.67,2.75,0.60
28-August-2025,191.75,192.60,190.50,191.80,191.547244281706215226,105145,2487,20140235.00,47498,45.17,2.10,0.05
26-August-2025,194.25,195.45,192.00,192.30,192.669922675302359394,75655,1731,14576443.00,32736,43.27,3.45,-1.95
25-August-2025,195.75,197.75,194.70,195.00,195.914956324124707052,84486,2783,16552071.00,44996,53.26,3.05,-0.75
22-August-2025,199.00,199.10,196.05,196.45,197.415851125540315488,106882,1341,21100201.00,68187,63.80,3.05,-2.55
21-August-2025,199.25,201.00,199.10,199.40,200.073036562850275302,976018,2760,195274885.00,909296,93.16,1.90,0.15
20-August-2025,201.85,201.85,199.30,199.70,200.011595985954342857,456796,2863,91364497.00,374409,81.96,2.55,-2.15
19-August-2025,196.05,200.40,195.55,199.90,198.337501142610898549,153158,2291,30376975.00,81823,53.42,4.85,3.85
18-August-2025,196.95,197.55,195.00,195.95,195.761034582273975177,1202379,6826,235378957.00,1078938,89.73,2.55,-1.00
14-August-2025,196.20,196.55,195.00,195.95,195.991450039767256896,95556,1718,18728159.00,63059,65.99,1.55,-0.25
13-August-2025,196.20,197.85,195.60,196.20,196.108671155908877934,516494,4466,101288952.00,477035,92.36,2.25,0.00
12-August-2025,196.65,197.15,195.50,196.00,196.172847277174304006,55604,1124,10907995.00,23443,42.16,1.65,-0.65
11-August-2025,196.35,198.00,196.00,196.60,197.063111451638964030,767436,2721,151233326.00,634223,82.64,2.00,0.25
8-August-2025,198.20,199.70,195.80,196.15,197.897497130120744408,119343,2678,23617681.00,71974,60.31,3.90,-2.05
7-August-2025,196.10,199.25,194.95,198.70,196.694604738834967509,60479,1679,11895893.00,31502,52.09,4.30,2.60
6-August-2025,196.00,197.80,194.65,197.25,196.023526674336534856,77359,1555,15164184.00,43490,56.22,3.15,1.25
5-August-2025,196.45,196.85,194.10,195.95,195.655271788866973233,175927,2909,34421045.00,91915,52.25,2.75,-0.50
4-August-2025,185.95,196.90,185.60,196.50,194.561424052009720746,804465,7867,156517856.00,470704,58.51,11.30,10.55
1-August-2025,203.00,203.05,194.85,195.95,198.594616398047602741,172301,2927,34218051.00,98418,57.12,8.20,-7.05
31-July-2025,202.55,204.65,201.15,202.35,203.111895239693644055,244291,3915,49618408.00,112351,45.99,3.50,-0.20
30-July-2025,205.15,205.70,202.80,204.75,204.437016490525847641,85443,1488,17467712.00,32248,37.74,2.90,-0.40
29-July-2025,205.05,206.95,203.50,205.15,205.025060507975388563,171465,3042,35154622.00,104558,60.98,3.45,0.10
28-July-2025,209.85,210.40,205.70,206.10,208.113825832322316908,410478,3653,85426147.00,331715,80.81,4.70,-3.75
25-July-2025,212.90,212.95,207.25,207.95,209.818331063333009047,82232,1394,17253781.00,25853,31.44,5.70,-4.95
24-July-2025,213.20,215.00,212.25,212.40,213.645055007005067451,1436817,5192,306968847.00,1326702,92.34,2.75,-0.80
23-July-2025,212.40,213.50,211.80,212.80,212.544728007616120789,119746,1091,25451381.00,66411,55.46,1.70,0.40
22-July-2025,213.25,213.95,211.55,212.25,212.677271907138990798,947739,6205,201562545.00,850870,89.78,2.40,-1.00
21-July-2025,212.75,213.50,209.80,212.60,211.358360752021191798,166857,2857,35266622.00,59505,35.66,3.70,-0.15
18-July-2025,213.65,213.65,211.10,212.25,211.971073274465897728,426042,1239,90308580.00,376569,88.39,2.55,-1.40
17-July-2025,215.50,215.75,212.00,212.40,213.688995310785194053,100230,1259,21418048.00,40513,40.42,3.75,-3.10
16-July-2025,211.85,215.35,211.70,214.65,212.500206381661393650,940006,5390,199751469.00,740129,78.74,3.65,2.80
15-July-2025,210.65,212.80,210.30,211.70,212.022484302726506514,495946,2544,105151703.00,375985,75.81,2.50,1.05
14-July-2025,207.30,211.45,206.60,210.45,208.639769814187200022,772767,3907,161229929.00,687350,88.95,4.85,3.15
11-July-2025,210.95,211.75,206.60,207.35,208.610835060932135531,91167,1223,19018424.00,40985,44.96,5.15,-3.60
10-July-2025,212.25,214.50,210.20,210.80,211.297353370109695009,394275,2157,83309264.00,302874,76.82,4.30,-1.45
9-July-2025,213.75,214.60,212.60,213.80,213.394551418921541985,103036,2057,21987321.00,47194,45.80,2.00,0.05
8-July-2025,216.20,216.20,213.20,213.55,214.351018833794424345,75184,1167,16115767.00,31403,41.77,3.00,-2.65
7-July-2025,215.40,217.05,214.70,215.00,215.192123763562309614,730425,11865,157181707.00,661550,90.57,2.35,-0.40
4-July-2025,217.80,218.15,214.05,215.30,216.093320603173353281,101596,1351,21954217.00,46433,45.70,4.10,-2.50
3-July-2025,219.15,219.15,216.10,216.90,216.899696415067457229,91243,1581,19790579.00,43188,47.33,3.05,-2.25
2-July-2025,220.00,220.00,216.15,217.65,217.347184667043542817,440463,4914,95733393.00,215989,49.04,3.85,-2.35
1-July-2025,214.85,219.35,211.55,218.75,216.538201861905481993,469519,4306,101668800.00,211876,45.13,7.80,3.90
30-June-2025,210.20,214.35,210.20,213.10,212.895878283383677389,574712,5485,122353816.00,321156,55.88,4.15,2.90
27-June-2025,210.05,210.40,207.40,208.45,209.168873983566169664,140442,1693,29376095.00,65062,46.33,3.00,-1.60
26-June-2025,211.20,211.55,205.80,210.00,208.317846436767861014,267538,3850,55732940.00,96177,35.95,5.75,-1.20
25-June-2025,209.70,211.60,209.25,210.50,210.597366438468341576,122116,1662,25717308.00,50951,41.72,2.35,0.80
24-June-2025,208.05,209.90,207.30,209.20,208.753999688879847790,83569,1353,17445363.00,45086,53.95,2.60,1.15
23-June-2025,204.65,208.35,204.65,206.90,206.675655204990796996,122786,2205,25376877.00,76253,62.10,3.70,2.25
20-June-2025,203.50,207.90,203.50,207.65,205.812493163946596169,429707,5117,88439069.00,311963,72.60,4.40,4.15
19-June-2025,207.45,209.50,203.40,203.80,206.539804793341417044,133602,1924,27594131.00,43332,32.43,6.10,-3.65
18-June-2025,204.75,208.40,204.75,207.05,206.012054123095774618,962990,3046,198387548.00,755805,78.49,3.65,2.30
17-June-2025,206.10,207.00,204.10,204.75,204.948837461804532270,257884,3013,52853026.00,167310,64.88,2.90,-1.35
16-June-2025,201.30,206.00,201.30,205.50,204.334193110470049210,58930,1000,12041414.00,22086,37.48,4.70,4.20
13-June-2025,202.50,206.00,202.50,205.30,204.745375257144177947,129791,1336,26574107.00,71859,55.37,3.50,2.80
12-June-2025,208.30,208.30,205.80,206.25,206.742360491308597900,164703,2956,34051087.00,93605,56.83,2.50,-2.05
11-June-2025,211.45,211.55,207.65,208.15,209.589511031459640115,82582,1502,17308321.00,33164,40.16,3.90,-3.30
10-June-2025,213.00,214.50,210.50,210.95,212.688129869439200148,150428,2049,31994250.00,69688,46.33,4.00,-2.05
9-June-2025,208.45,213.65,208.00,212.65,211.824492116573231196,654284,9688,138593376.00,437834,66.92,5.65,4.20
6-June-2025,207.00,212.45,203.75,207.85,207.812531369460429497,316789,3493,65832724.00,136725,43.16,8.70,0.85
5-June-2025,211.85,211.85,206.45,207.00,208.374423945839650539,266468,4469,55525116.00,139989,52.54,5.40,-4.85
4-June-2025,212.05,212.15,207.30,211.00,207.818968296585310315,1826901,6499,379664681.00,1605656,87.89,4.85,-1.05
3-June-2025,207.40,213.30,207.10,211.20,210.758574359864912416,875284,7960,184473608.00,400593,45.77,6.20,3.80
2-June-2025,203.45,207.20,201.75,206.30,205.438307326482748301,307419,3477,63155639.00,134915,43.89,5.45,2.85
30-May-2025,201.00,203.20,200.15,202.00,201.088258361093639589,515124,2600,103585388.00,431490,83.76,3.05,1.00
29-May-2025,202.60,203.60,199.65,201.10,201.107332303608288814,211707,2395,42575830.00,153963,72.72,3.95,-1.50
28-May-2025,202.95,202.95,199.80,201.60,200.922719734660033167,280395,3137,56337726.00,70821,25.26,3.15,-1.35
27-May-2025,202.85,203.35,201.35,202.50,202.568133650845897807,297731,3573,60310813.00,196871,66.12,2.00,-0.35
26-May-2025,204.20,204.55,200.00,201.90,201.330188846439159748,394977,4248,79520794.00,287425,72.77,4.55,-2.30
23-May-2025,202.00,204.40,200.00,203.55,202.223338931457961582,114324,1525,23118981.00,51322,44.89,4.40,1.55
22-May-2025,200.00,203.30,200.00,201.15,201.623270248116366364,330611,1704,66658871.00,245534,74.27,3.30,1.15
21-May-2025,197.50,201.75,197.50,200.65,200.251898881446640184,120334,1633,24097112.00,50146,41.67,4.25,3.15
20-May-2025,202.50,202.80,197.70,198.05,200.442393654716261152,220132,3369,44123785.00,90263,41.00,5.10,-4.45
19-May-2025,200.50,203.20,198.85,201.90,201.515290590053084889,261468,1814,52689800.00,176789,67.61,4.35,1.40
16-May-2025,200.00,200.05,198.10,198.70,199.016663497195017590,84136,1272,16744466.00,40327,47.93,1.95,-1.30
15-May-2025,199.30,199.60,197.45,198.80,198.617355978791778108,148433,2502,29481370.00,85208,57.40,2.15,-0.50
14-May-2025,199.65,199.85,196.75,198.35,198.298997208402863336,64121,1773,12715130.00,21647,33.76,3.10,-1.30
13-May-2025,195.65,199.00,194.15,198.00,197.060073626472734428,121967,1836,24034826.00,74827,61.35,4.85,2.35
12-May-2025,192.45,194.75,190.35,194.40,193.271494520756156512,335539,4429,64850124.00,243987,72.71,4.40,1.95
9-May-2025,182.60,187.90,182.60,187.65,186.565334341512392545,161347,1758,30101757.00,56758,35.18,5.30,5.05
8-May-2025,191.00,192.50,185.65,186.55,188.991158623432603986,186057,4013,35163128.00,87714,47.14,6.85,-4.45
7-May-2025,182.80,191.75,182.80,191.20,188.770340872047434869,113503,1467,21426000.00,53978,47.56,8.95,8.40
6-May-2025,191.70,192.55,186.45,187.05,189.189910521443998765,142604,2196,26979238.00,82757,58.03,6.10,-4.65
5-May-2025,190.45,192.75,189.95,191.45,191.474455135032245491,220651,3487,42249030.00,104972,47.57,2.80,1.00
2-May-2025,196.90,196.90,187.85,189.70,190.439170255976405205,427891,4583,81487207.00,155589,36.36,9.05,-7.20
30-April-2025,203.65,203.65,196.00,196.60,198.801260844418739155,172900,2841,34372738.00,72421,41.89,7.65,-7.05
29-April-2025,200.35,205.30,198.90,203.30,201.704226575735198297,276252,3396,55721196.00,50629,18.33,6.40,2.95
28-April-2025,197.80,200.95,196.65,199.70,199.331028677312226995,194823,1852,38834269.00,47115,24.18,4.30,1.90
25-April-2025,201.05,202.80,195.10,196.35,197.784269885354620459,171747,2296,33968855.00,48158,28.04,7.70,-4.70
24-April-2025,198.75,204.35,198.75,201.85,202.518196329595626194,305089,4303,61786074.00,168552,55.25,5.60,3.10
23-April-2025,203.25,203.25,198.00,199.80,199.478186752913668879,194171,2536,38732879.00,45443,23.40,5.25,-3.45
22-April-2025,203.45,205.50,200.65,201.50,203.561793345530236007,349269,4962,71097824.00,161805,46.33,4.85,-1.95
21-April-2025,196.45,202.80,195.30,202.05,199.938956625439434012,273363,3791,54655913.00,102070,37.34,7.50,5.60
17-April-2025,193.50,196.10,193.25,194.80,194.517813834696198999,93186,1384,18126337.00,37309,40.04,2.85,1.30
16-April-2025,192.55,196.15,192.00,194.90,194.545507285806880106,249938,2912,48624315.00,96107,38.45,4.15,2.35
15-April-2025,194.60,194.60,189.05,191.90,191.221550927212200506,197959,1885,37854027.00,59888,30.25,5.55,-2.70
11-April-2025,192.10,192.95,189.60,190.30,190.649002595559959687,177611,2722,33861360.00,73373,41.31,3.35,-1.80
9-April-2025,190.75,192.00,186.80,190.00,189.400285223172966132,105882,17219,20054081.00,31263,29.53,5.20,-0.75
8-April-2025,193.45,194.40,189.70,190.50,192.053310985650435191,68016,1303,13062698.00,28157,41.40,4.70,-2.95
7-April-2025,186.65,193.20,186.60,190.60,189.691493132261619805,205963,3222,39069429.00,83122,40.36,6.60,3.95
4-April-2025,195.90,197.00,192.45,194.90,195.097770264049024522,390988,5842,76280887.00,138321,35.38,4.55,-1.00
3-April-2025,190.65,195.20,188.90,194.20,192.359933637494815429,96440,1648,18551192.00,39235,40.68,6.30,3.55
2-April-2025,193.40,193.40,190.55,191.90,192.031668074573207865,101806,2548,19549976.00,46943,46.11,2.85,-1.50
