Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,92.18,96.19,91.75,94.77,94.568820164547019667,1260430,7608,119197378.00,,,4.44,2.59
9-September-2025,92.51,94.20,91.35,92.37,92.790999743679222267,323813,1948,30046932.00,143374,44.28,2.85,-0.14
8-September-2025,89.98,94.38,89.60,92.25,92.397507040919951655,1615911,9159,149306148.00,681107,42.15,4.78,2.27
5-September-2025,89.04,89.90,88.00,88.87,89.064290703668569023,327839,2942,29198748.00,150843,46.01,1.90,-0.17
4-September-2025,91.77,91.77,88.20,89.27,89.966968913916648914,323907,2703,29140931.00,188040,58.05,3.57,-2.50
3-September-2025,90.36,91.18,89.09,90.58,90.328460788432726379,504596,3373,45579380.00,288523,57.18,2.09,0.22
2-September-2025,87.97,90.71,87.29,89.19,89.462824258521469676,734175,3989,65681369.00,322676,43.95,3.42,1.22
1-September-2025,86.04,87.38,86.04,87.03,86.737717965125579907,500080,3558,43375798.00,253947,50.78,1.34,0.99
29-August-2025,90.00,90.38,84.20,85.69,86.723000121934933197,1377784,7144,119485562.00,591587,42.94,6.18,-4.31
28-August-2025,91.80,92.09,89.75,89.87,90.267624036374174065,590089,4157,53265932.00,305151,51.71,2.34,-1.93
26-August-2025,94.50,94.50,91.68,91.88,92.592691853718049177,504095,4173,46675513.00,252387,50.07,2.82,-2.62
25-August-2025,96.89,97.30,94.15,94.57,95.591528740684646731,689319,4999,65893057.00,261562,37.94,3.15,-2.32
22-August-2025,97.61,97.61,94.60,95.00,95.788525981662083661,1809584,9545,173337384.00,773576,42.75,3.01,-2.61
21-August-2025,90.13,99.08,89.50,97.61,96.195438208805070086,2083436,9041,200417039.00,830260,39.85,9.58,7.48
20-August-2025,89.43,90.60,89.09,90.13,89.963190488122544173,363167,2229,32671662.00,206136,56.76,1.51,0.70
19-August-2025,88.13,90.12,87.80,89.55,89.108076065559205137,360163,2250,32093432.00,195595,54.31,2.32,1.42
18-August-2025,88.10,89.50,87.95,88.24,88.385812624803010158,194807,1237,17218175.00,106746,54.80,1.55,0.14
14-August-2025,87.77,88.45,87.20,87.31,87.769518952273013474,127056,1391,11151644.00,67936,53.47,1.25,-0.46
13-August-2025,89.67,89.70,87.65,87.83,88.573246034572500890,365030,2663,32331892.00,151557,41.52,2.05,-1.84
12-August-2025,90.68,90.68,87.90,88.54,89.326667145350162180,320323,2471,28613386.00,212117,66.22,2.78,-2.14
11-August-2025,91.79,91.79,89.54,89.94,90.157461736673807084,257688,2025,23232496.00,168353,65.33,2.25,-1.85
8-August-2025,89.76,91.41,89.41,90.25,90.482281569850199959,295060,2149,26697702.00,139756,47.37,2.00,0.49
7-August-2025,89.16,89.77,86.80,89.48,88.398451314046753037,594956,3436,52593189.00,232493,39.08,2.97,0.32
6-August-2025,90.85,91.29,89.45,89.64,90.009232656369218637,273919,3460,24655239.00,138191,50.45,1.84,-1.21
5-August-2025,91.86,92.15,90.41,90.72,91.061834639494415712,390202,2220,35532510.00,192932,49.44,1.74,-1.14
4-August-2025,91.65,91.65,90.08,91.49,90.952528723742534125,261021,1901,23740520.00,115288,44.17,1.57,-0.16
1-August-2025,92.54,93.20,89.88,90.17,91.318929633300297324,307745,1983,28102944.00,159556,51.85,3.32,-2.37
31-July-2025,92.85,93.40,92.00,92.65,92.748740889632789387,264671,1494,24547902.00,111947,42.30,1.40,-0.20
30-July-2025,94.10,95.05,93.80,94.10,94.429407834262995271,270887,1396,25579699.00,111951,41.33,1.25,0.00
29-July-2025,92.05,93.45,91.65,93.00,92.746569326385896926,420107,2512,38963483.00,204872,48.77,1.80,0.95
28-July-2025,93.35,94.75,91.60,92.30,93.145946690026279564,399550,3078,37216463.00,172814,43.25,3.15,-1.05
25-July-2025,96.70,96.70,92.95,93.25,94.320937651492642344,319735,2009,30157705.00,156213,48.86,3.75,-3.45
24-July-2025,97.45,97.80,96.45,96.70,97.013729087573341083,275255,2184,26703514.00,163414,59.37,1.35,-0.75
23-July-2025,95.85,97.70,95.65,97.45,96.860829106882251795,346035,1750,33517237.00,137644,39.78,2.05,1.60
22-July-2025,97.45,98.30,95.05,95.25,96.668117907358504032,420330,3181,40632510.00,225037,53.54,3.25,-2.20
21-July-2025,98.55,98.65,96.65,97.25,97.432000130973625186,610810,4075,59512440.00,274151,44.88,2.00,-1.30
18-July-2025,99.30,99.95,98.25,98.60,98.822914085572885623,298646,2356,29513068.00,131558,44.05,1.70,-0.70
17-July-2025,101.20,101.35,99.45,99.70,100.159593512311232031,352483,2062,35304554.00,180374,51.17,1.90,-1.50
16-July-2025,98.15,102.20,98.15,100.65,100.193826884306699301,755437,3825,75690124.00,437685,57.94,4.05,2.50
15-July-2025,98.70,100.60,98.00,98.15,98.970848350737487141,540484,2308,53492160.00,307171,56.83,2.60,-0.55
14-July-2025,99.30,100.70,98.60,100.25,99.959828324902195073,268647,1383,26853908.00,126685,47.16,2.10,0.95
11-July-2025,100.00,101.00,98.60,98.95,99.449763251191675324,252166,1446,25077849.00,107606,42.67,2.40,-1.05
10-July-2025,101.75,102.00,99.25,99.85,100.440789602650304824,459117,3094,46114074.00,249333,54.31,2.75,-1.90
9-July-2025,99.85,100.50,98.80,99.90,99.746262577240070371,346161,1952,34528266.00,146231,42.24,1.70,0.05
8-July-2025,101.45,102.45,99.00,99.85,100.470114398916600663,526491,3121,52896611.00,209272,39.75,3.45,-1.60
7-July-2025,101.10,102.70,99.90,101.55,101.299277810905717882,633906,3713,64214220.00,248477,39.20,2.80,0.45
4-July-2025,102.00,102.40,100.70,101.15,101.392340322923507930,315183,2045,31957142.00,163298,51.81,1.70,-0.85
3-July-2025,103.30,103.75,101.05,101.50,102.289842292814271302,275574,1610,28188421.00,94257,34.20,2.70,-1.80
2-July-2025,104.90,105.50,102.40,102.90,103.752585444088043358,723280,3568,75042170.00,356560,49.30,3.10,-2.00
1-July-2025,103.30,105.60,102.60,104.90,104.178946121594386933,574089,2330,59807987.00,221130,38.52,3.00,1.60
30-June-2025,102.18,106.34,101.45,103.43,104.113864983140705457,2343811,9166,244023222.00,884975,37.76,4.89,1.25
27-June-2025,95.94,101.80,95.94,101.24,100.305396139789168453,3575556,11391,358647561.00,1028070,28.75,5.86,5.30
26-June-2025,95.33,95.95,94.14,95.44,94.977027816096439941,666197,3107,63273411.00,218058,32.73,1.81,0.11
25-June-2025,92.12,95.90,92.00,94.62,94.162121825322661101,743737,3282,70031854.00,285618,38.40,3.90,2.50
24-June-2025,92.00,93.93,91.43,91.78,92.781827020683333833,466946,2231,43324103.00,215597,46.17,2.50,-0.22
23-June-2025,89.90,91.61,88.80,91.07,91.036053365193150139,502200,1926,45718306.00,330331,65.78,2.81,1.17
20-June-2025,89.11,91.87,89.11,91.02,90.851874346256368728,385281,2510,35003501.00,180790,46.92,2.76,1.91
19-June-2025,92.11,92.42,89.02,89.29,90.626116312599409828,282291,1953,25582937.00,104786,37.12,3.40,-2.82
18-June-2025,92.82,93.25,91.56,91.96,92.386321091862087743,528858,2786,48859245.00,235492,44.53,1.69,-0.86
17-June-2025,94.51,96.25,92.11,92.51,94.001568659706596008,510627,3270,47999739.00,214391,41.99,4.14,-2.00
16-June-2025,94.76,95.65,92.75,94.44,93.990092248339374329,642830,3573,60419651.00,322118,50.11,2.90,-0.32
13-June-2025,94.29,97.35,94.20,94.85,95.485100761377671466,1023408,5380,97720216.00,380336,37.16,3.15,0.56
12-June-2025,100.15,101.47,97.10,97.59,99.073491422035836828,655750,3536,64967442.00,288221,43.95,4.37,-2.56
11-June-2025,100.03,100.85,97.20,100.08,99.316960466439519774,739903,3944,73484917.00,203143,27.46,3.65,0.05
10-June-2025,101.51,101.87,99.75,100.13,100.236023857587987462,654383,3391,65592750.00,339018,51.81,2.12,-1.38
9-June-2025,101.30,103.00,101.10,101.51,101.890688643325956322,790293,3945,80523498.00,383886,48.58,1.90,0.21
6-June-2025,101.12,102.90,99.09,100.94,101.011362426012994324,525768,2983,53108542.00,164251,31.24,3.81,-0.18
5-June-2025,101.00,104.40,100.61,101.09,102.295163569007768544,1410689,5090,144306662.00,491835,34.86,3.79,0.09
4-June-2025,98.35,100.90,96.80,100.27,99.045476753349093774,507600,2553,50275484.00,200928,39.58,4.10,1.92
3-June-2025,101.64,102.39,97.93,98.42,99.787851919087500192,713907,3484,71239246.00,284863,39.90,4.46,-3.22
2-June-2025,96.73,101.85,95.83,101.24,99.379912371818090200,2004378,11193,199194910.00,1154609,57.60,6.02,4.51
30-May-2025,93.66,98.65,92.27,96.90,96.306806282722513089,1214760,5074,116989656.00,414965,34.16,6.38,3.24
29-May-2025,94.16,96.72,92.80,93.97,94.641420355484534661,783494,3445,74150985.00,202468,25.84,3.92,-0.19
28-May-2025,91.30,94.00,91.30,93.30,92.614209611980340630,363796,2205,33692679.00,135822,37.33,2.70,2.00
27-May-2025,92.08,92.08,90.44,91.26,91.078108996311493436,318286,2390,28988887.00,159264,50.04,1.64,-0.82
26-May-2025,94.44,95.60,91.30,92.10,93.328813534937921707,417054,2700,38923155.00,194812,46.71,4.30,-2.34
23-May-2025,93.36,95.35,92.37,93.92,93.603672995256102152,687831,4377,64383508.00,255078,37.08,2.98,0.56
22-May-2025,94.59,96.47,92.22,93.47,94.616794287660237984,913251,4291,86408882.00,362773,39.72,4.25,-1.12
21-May-2025,91.50,95.29,89.01,94.35,92.541292539971503427,1946199,8502,180103771.00,1101269,56.59,6.28,2.85
20-May-2025,90.56,92.51,89.70,90.97,91.356657488220252203,2097668,8385,191635937.00,912942,43.52,2.81,0.41
19-May-2025,86.92,90.80,85.80,89.64,89.656832934738654023,2505051,9306,224594939.00,1191009,47.54,5.00,2.72
16-May-2025,86.36,87.35,85.80,86.01,86.424661654135338345,402325,2497,34770802.00,194487,48.34,1.55,-0.35
15-May-2025,86.11,87.84,84.76,86.30,86.205473904509660179,338296,1687,29162967.00,152902,45.20,3.08,0.19
14-May-2025,82.09,86.67,82.09,85.54,84.819763870305386550,831831,3396,70555709.00,429481,51.63,4.58,3.45
13-May-2025,81.54,82.75,81.00,81.78,82.032406691379336150,400874,2008,32884659.00,177554,44.29,1.75,0.24
12-May-2025,81.00,82.00,79.46,81.81,80.900552075929762242,659873,3523,53384090.00,359831,54.53,2.54,0.81
9-May-2025,74.09,76.63,74.09,76.31,75.931627377340208081,282774,1416,21471490.00,141769,50.14,2.54,2.22
8-May-2025,78.89,79.50,76.55,76.85,77.970160251339194900,221215,1459,17248169.00,94871,42.89,2.95,-2.04
7-May-2025,76.38,78.60,76.00,77.95,77.668327613041689562,347593,1616,26996967.00,91127,26.22,2.60,1.57
6-May-2025,81.87,81.87,77.54,77.76,79.066975709749594715,522473,2985,41310360.00,312648,59.84,4.33,-4.11
5-May-2025,80.02,81.93,79.42,80.92,80.642726337492476404,468526,2581,37783214.00,142880,30.50,2.51,0.90
2-May-2025,79.85,80.65,79.26,79.88,79.958636952791046253,414307,2190,33127423.00,178080,42.98,1.39,0.03
30-April-2025,82.36,82.88,79.35,79.91,80.441771502078208835,504521,3373,40584563.00,200031,39.65,3.53,-2.45
29-April-2025,84.50,84.50,82.38,83.07,83.212753288714516501,433300,1653,36056086.00,159612,36.84,2.12,-1.43
28-April-2025,80.51,83.95,80.14,82.63,82.349348116387181033,1157722,4492,95337652.00,363277,31.38,3.81,2.12
25-April-2025,83.65,83.90,80.00,80.46,81.225853585373052006,620061,4205,50364984.00,261477,42.17,3.90,-3.19
24-April-2025,83.91,85.22,83.44,83.71,84.293802316653241571,212289,1088,17894647.00,113138,53.29,1.78,-0.20
23-April-2025,85.79,85.98,83.02,83.90,84.189176969887007915,548534,2922,46180626.00,218394,39.81,2.96,-1.89
22-April-2025,83.26,88.19,82.54,85.59,85.977827284193524366,1302637,5976,111997899.00,669598,51.40,5.65,2.33
21-April-2025,82.16,84.45,82.16,83.15,83.503389301503898378,660018,3403,55113740.00,341400,51.73,2.29,0.99
