Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,73.06,73.99,72.57,72.69,73.166495650412571160,1500832,13240,109810618.00,933608,62.21,1.42,-0.37
9-September-2025,72.25,73.62,72.25,73.53,73.257291883428956469,807336,6574,59143249.00,474997,58.84,1.37,1.28
8-September-2025,72.59,73.14,72.04,72.24,72.649064934071023578,757861,8209,55057893.00,405812,53.55,1.10,-0.35
5-September-2025,72.43,73.22,72.11,72.59,72.848632328576865192,3479052,11293,253444180.00,2510804,72.17,1.11,0.16
4-September-2025,71.01,72.40,70.36,72.26,71.774661638419576013,8492025,7473,609512221.00,,,2.04,1.25
3-September-2025,68.11,70.68,68.11,70.56,70.057203008424073644,1727549,11095,121027251.00,781986,45.27,2.57,2.45
2-September-2025,68.86,70.30,68.76,69.49,69.715676476565130224,1318804,9466,91941313.00,818853,62.09,1.54,0.63
1-September-2025,67.84,69.05,67.54,68.94,68.569173216821744171,1564594,10851,107282917.00,1028140,65.71,1.51,1.10
29-August-2025,68.00,69.29,67.81,68.00,68.454890342402686933,1048035,8380,71743121.00,595495,56.82,1.48,0.00
28-August-2025,68.73,69.32,67.89,68.06,68.484640909940970840,417082,7409,28563711.00,194117,46.54,1.43,-0.67
26-August-2025,70.14,70.20,68.55,68.72,69.204957784937605725,1066444,11309,73803212.00,617816,57.93,1.65,-1.42
25-August-2025,69.53,70.37,69.53,70.31,70.133903233791249823,1426097,10498,100017749.00,817561,57.33,0.84,0.78
22-August-2025,69.41,70.44,69.41,69.69,69.965171543341308690,1138925,10065,79685083.00,668757,58.72,1.03,0.28
21-August-2025,71.09,71.26,69.95,70.11,70.630611532545642148,782117,10168,55241402.00,416898,53.30,1.31,-0.98
20-August-2025,71.17,71.70,70.93,71.26,71.343376718129558379,1167767,9561,83312441.00,729111,62.44,0.77,0.09
19-August-2025,70.22,71.55,69.66,71.33,70.656072768801699549,695243,5548,49123140.00,321312,46.22,1.89,1.11
18-August-2025,68.85,70.40,68.85,69.88,69.881351371518630991,1326741,11290,92714454.00,760851,57.35,1.55,1.03
14-August-2025,69.90,69.96,68.60,68.81,69.019933080565030161,462347,4422,31911159.00,291672,63.08,1.36,-1.09
13-August-2025,69.10,70.31,69.10,69.87,69.974760069343087435,839305,8312,58730166.00,529735,63.12,1.21,0.77
12-August-2025,70.00,70.21,68.98,69.06,69.543435089964639044,332853,4872,23147741.00,155261,46.65,1.23,-0.94
11-August-2025,69.26,70.17,69.07,69.66,69.742422678574444567,532873,5802,37163854.00,283645,53.23,1.10,0.40
8-August-2025,69.15,70.35,68.86,69.04,69.524210573139562254,1079074,10374,75021768.00,575176,53.30,1.49,-0.11
7-August-2025,68.50,69.40,67.60,69.24,68.399534868291252066,1145482,12207,78350436.00,596414,52.07,1.80,0.74
6-August-2025,69.36,69.60,68.26,68.74,68.837034198224796078,1056780,10748,72745601.00,445705,42.18,1.34,-0.62
5-August-2025,69.41,69.73,68.93,69.34,69.318869008698408924,403752,4920,27987632.00,171313,42.43,0.80,-0.07
4-August-2025,67.58,69.46,67.30,69.31,68.168256108527638471,1897102,17789,129322135.00,721335,38.02,2.16,1.73
1-August-2025,68.92,68.97,67.46,67.59,68.079425799408367375,908672,9551,61861868.00,356247,39.21,1.51,-1.33
31-July-2025,68.81,69.62,68.28,68.74,68.915462804019518969,1244328,15289,85753440.00,591145,47.51,1.34,-0.07
30-July-2025,70.29,70.33,69.04,69.24,69.490589550054546905,676482,5404,47009133.00,264538,39.10,1.29,-1.05
29-July-2025,70.63,71.49,70.14,70.29,70.690104168135776804,1772615,9848,125306339.00,847958,47.84,1.35,-0.34
28-July-2025,69.76,71.53,69.23,70.72,70.654764713510499673,3500966,14911,247359929.00,1842603,52.63,2.30,0.96
25-July-2025,72.14,72.60,70.52,70.70,71.156568906526717911,1617735,14604,115112472.00,715704,44.24,2.08,-1.44
24-July-2025,72.57,73.02,72.32,72.89,72.692804574161697419,896514,7313,65170117.00,418366,46.67,0.70,0.32
23-July-2025,72.73,73.14,71.84,72.71,72.456499103372476427,587758,3992,42586887.00,238148,40.52,1.30,-0.02
22-July-2025,74.01,74.05,72.24,72.40,72.991794738575583687,1077845,9441,78673841.00,517115,47.98,1.81,-1.61
21-July-2025,73.07,74.35,72.45,74.01,73.611794803340342386,816563,10933,60108668.00,335194,41.05,1.90,0.94
18-July-2025,73.48,73.62,72.75,73.07,73.131553025731271924,1027388,8140,75134480.00,572556,55.73,0.87,-0.41
17-July-2025,74.00,74.19,73.33,73.48,73.767336710668432160,442558,3285,32646325.00,155081,35.04,0.86,-0.52
16-July-2025,73.00,74.48,73.00,73.85,73.794229564735228990,1377851,8747,101677453.00,590782,42.88,1.48,0.85
15-July-2025,74.17,74.72,72.71,72.93,73.295822087305044070,1738021,13203,127389678.00,694316,39.95,2.01,-1.24
14-July-2025,75.25,76.34,72.61,74.31,74.826636716914733133,2079483,9430,155600719.00,1176014,56.55,3.73,-0.94
11-July-2025,76.60,76.65,74.76,75.17,75.377993837905823715,1453402,11923,109554527.00,873657,60.11,1.89,-1.43
10-July-2025,77.69,78.02,76.40,76.64,77.245801068917588757,1380649,7927,106649338.00,796269,57.67,1.62,-1.05
9-July-2025,77.92,78.00,77.15,77.45,77.501140855907245761,678438,3543,52579719.00,283483,41.78,0.85,-0.47
8-July-2025,77.63,78.00,77.23,77.85,77.694228160590113421,1542212,8261,119820971.00,919150,59.60,0.77,0.22
7-July-2025,77.85,78.23,77.26,77.71,77.731146476534160792,640676,4077,49800480.00,310637,48.49,0.97,-0.14
4-July-2025,78.40,78.50,77.18,77.86,77.892193913269897740,1801197,4720,140299186.00,1202077,66.74,1.32,-0.54
3-July-2025,77.35,77.80,76.94,77.64,77.441809808663902029,1069218,5404,82802177.00,442294,41.37,0.86,0.29
2-July-2025,77.46,77.50,76.83,77.22,77.092288938371985150,4236239,14817,326581361.00,2305015,54.41,0.67,-0.24
1-July-2025,72.86,77.35,72.86,77.24,75.927337607162151472,9493907,19429,720847082.00,5608307,59.07,4.49,4.38
