Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,32.20,33.35,32.20,32.52,32.732842243454160892,13711,136,448800.00,,,1.15,0.32
9-September-2025,33.00,33.00,32.01,32.16,32.251022076860179885,2446,59,78886.00,2191,89.57,0.99,-0.84
8-September-2025,34.00,34.00,32.00,32.17,32.278388107147865924,21391,304,690467.00,15775,73.75,2.00,-1.83
5-September-2025,34.17,34.17,32.10,32.41,32.420453390261258513,29511,622,956760.00,17420,59.03,2.07,-1.76
4-September-2025,35.58,35.58,33.40,34.28,34.398456591639871382,7775,171,267448.00,6806,87.54,2.18,-1.30
3-September-2025,35.40,35.85,35.23,35.27,35.404096834264432029,1074,23,38024.00,1072,99.81,0.62,-0.13
2-September-2025,35.00,35.00,34.34,34.97,34.844421254022088877,11499,346,400676.00,9885,85.96,0.66,-0.03
1-September-2025,35.99,35.99,34.01,34.36,34.500482470247668060,15545,277,536310.00,13410,86.27,1.98,-1.63
29-August-2025,35.90,36.20,34.16,35.03,34.776005670742512847,11286,189,392482.00,7335,64.99,2.04,-0.87
28-August-2025,32.50,36.40,32.50,35.50,35.186483578108185937,65979,810,2321569.00,25133,38.09,3.90,3.00
26-August-2025,32.00,32.40,31.29,31.62,31.753903598099117447,2946,74,93547.00,2855,96.91,1.11,-0.38
25-August-2025,32.50,32.50,31.37,32.12,32.120509160123721151,8406,235,270005.00,7319,87.07,1.13,-0.38
22-August-2025,32.93,33.05,32.54,32.73,32.790227048371174728,2026,59,66433.00,1478,72.95,0.51,-0.20
21-August-2025,33.88,33.88,32.61,32.86,32.957834211787254432,4174,129,137566.00,2759,66.10,1.27,-1.02
20-August-2025,33.32,33.32,32.89,33.06,33.022644927536231884,1104,34,36457.00,918,83.15,0.43,-0.26
19-August-2025,32.50,33.50,32.22,33.00,32.920434782608695652,2300,27,75717.00,1099,47.78,1.28,0.50
18-August-2025,32.48,32.62,32.10,32.11,32.301310043668122270,687,35,22191.00,281,40.90,0.52,-0.37
14-August-2025,32.86,33.08,32.43,32.43,32.962343096234309623,239,29,7878.00,222,92.89,0.65,-0.43
13-August-2025,32.66,32.66,32.66,32.66,32.655172413793103448,58,16,1894.00,57,98.28,0.00,0.00
12-August-2025,32.25,33.92,31.90,32.54,32.665672116799936348,25137,206,821117.00,16954,67.45,2.02,0.29
11-August-2025,36.00,36.00,31.17,31.90,31.880562552476910159,4764,91,151879.00,4126,86.61,4.83,-4.10
8-August-2025,32.50,32.75,31.00,31.95,31.920465203526542862,10662,200,340336.00,9281,87.05,1.75,-0.55
7-August-2025,32.00,32.87,32.00,32.38,32.304964229628337113,22924,61,740559.00,22070,96.27,0.87,0.38
6-August-2025,34.39,34.39,32.76,32.76,33.187183200579290369,5524,105,183326.00,4326,78.31,1.63,-1.63
5-August-2025,33.51,33.95,33.06,33.39,33.647086466165413533,2128,57,71601.00,1251,58.79,0.89,-0.12
4-August-2025,33.05,34.45,32.82,33.51,33.434146341463414634,2665,141,89102.00,2299,86.27,1.63,0.46
1-August-2025,34.90,34.90,32.45,32.58,33.045176110260336906,9142,185,302099.00,6880,75.26,2.45,-2.32
31-July-2025,35.00,35.00,32.25,33.16,33.087101882808375857,5683,89,188034.00,4284,75.38,2.75,-1.84
30-July-2025,32.91,33.84,32.91,33.43,33.571465900182910896,3827,86,128478.00,3147,82.23,0.93,0.52
29-July-2025,33.00,33.39,32.58,32.89,32.891571753986332574,2195,53,72197.00,1972,89.84,0.81,-0.11
28-July-2025,33.10,33.93,33.05,33.21,33.486363636363636363,7700,195,257845.00,5471,71.05,0.88,0.11
25-July-2025,33.98,34.60,32.91,33.18,33.590557451649601820,17580,295,590522.00,12698,72.23,1.69,-0.80
24-July-2025,36.85,36.85,33.40,33.98,34.344680851063829787,2115,115,72639.00,2005,94.80,3.45,-2.87
23-July-2025,34.01,34.84,34.01,34.26,34.315819337267362687,8812,147,302391.00,8305,94.25,0.83,0.25
22-July-2025,34.80,34.87,34.25,34.40,34.658602150537634408,744,39,25786.00,264,35.48,0.62,-0.40
21-July-2025,35.80,35.80,34.67,34.71,34.891826923076923076,2080,133,72575.00,1623,78.03,1.13,-1.09
18-July-2025,35.90,35.90,34.66,34.95,34.941867624422780913,19490,289,681017.00,17635,90.48,1.24,-0.95
17-July-2025,36.11,36.11,35.17,35.43,35.463925523661753297,1289,75,45713.00,1258,97.60,0.94,-0.68
16-July-2025,35.68,35.68,35.00,35.23,35.205489614243323442,1348,60,47457.00,1222,90.65,0.68,-0.45
15-July-2025,34.72,35.27,34.40,34.43,34.781755304234040564,10699,145,372130.00,8169,76.35,0.87,-0.29
14-July-2025,35.70,35.70,33.96,34.08,34.554858205485820548,8604,273,297310.00,6906,80.26,1.74,-1.62
11-July-2025,34.90,34.90,34.51,34.52,34.593582887700534759,187,20,6469.00,181,96.79,0.39,-0.38
10-July-2025,35.35,35.52,34.80,34.85,34.995631825273010920,3205,80,112161.00,2609,81.40,0.72,-0.50
9-July-2025,35.46,35.46,34.99,35.14,35.243676222596964586,1186,43,41799.00,931,78.50,0.47,-0.32
8-July-2025,35.37,35.94,34.96,35.39,35.387006725034894048,15762,251,557770.00,8623,54.71,0.98,0.02
7-July-2025,34.97,35.50,34.62,35.39,35.210010319917440660,3876,109,136474.00,3732,96.28,0.88,0.42
4-July-2025,35.20,35.35,34.42,34.80,34.844759393539881344,6068,130,211438.00,3764,62.03,0.93,-0.40
3-July-2025,35.17,35.17,35.00,35.12,35.133671742808798646,1182,26,41528.00,991,83.84,0.17,-0.05
2-July-2025,35.51,35.51,35.10,35.14,35.221283783783783783,1184,76,41702.00,918,77.53,0.41,-0.37
1-July-2025,35.05,35.99,34.50,35.46,35.155552549709184363,14786,331,519810.00,12516,84.65,1.49,0.41
30-June-2025,35.14,35.85,34.78,35.05,35.370596797671033478,3435,205,121498.00,2680,78.02,1.07,-0.09
27-June-2025,34.30,35.20,34.04,34.90,34.668862056348335162,24597,240,852750.00,16436,66.82,1.16,0.60
26-June-2025,34.38,34.46,34.00,34.20,34.214321482223335002,1997,61,68326.00,1457,72.96,0.46,-0.18
25-June-2025,34.67,35.04,33.00,33.64,33.858375143033183698,22722,330,769330.00,18525,81.53,2.04,-1.03
24-June-2025,33.99,34.86,33.99,34.48,34.381544691929418571,6914,133,237714.00,5960,86.20,0.87,0.49
23-June-2025,32.01,34.18,32.01,33.82,33.672089927525513977,6761,184,227657.00,5577,82.49,2.17,1.81
20-June-2025,34.24,34.24,33.50,33.74,33.977873288761540910,6282,174,213449.00,4209,67.00,0.74,-0.50
19-June-2025,34.76,34.79,33.79,34.14,34.171487603305785123,3872,80,132312.00,3379,87.27,1.00,-0.62
18-June-2025,34.97,35.20,34.37,35.01,34.970722186076772934,3074,84,107500.00,1995,64.90,0.83,0.04
17-June-2025,35.20,35.90,34.96,35.05,35.132648295189163942,2141,58,75219.00,1902,88.84,0.94,-0.15
16-June-2025,34.83,35.43,34.30,34.70,34.973515414856196979,4833,49,169027.00,4608,95.34,1.13,-0.13
13-June-2025,34.80,35.34,34.57,34.68,34.965116279069767441,2064,96,72168.00,1479,71.66,0.77,-0.12
12-June-2025,36.63,36.79,35.26,35.47,35.987246640856296971,8782,186,316040.00,7334,83.51,1.53,-1.16
11-June-2025,36.40,37.80,36.40,36.74,37.011348756001745962,29783,504,1102309.00,18331,61.55,1.40,0.34
10-June-2025,35.85,36.47,35.60,35.92,36.058812862669245647,16544,316,596557.00,10763,65.06,0.87,0.07
9-June-2025,35.55,36.74,35.40,35.55,35.869682951596524878,8863,232,317913.00,6548,73.88,1.34,0.00
6-June-2025,36.15,36.60,35.71,36.17,36.095720720720720720,15984,349,576954.00,11024,68.97,0.89,0.02
5-June-2025,33.00,37.20,33.00,35.91,35.820327486982734995,29192,323,1045667.00,13893,47.59,4.20,2.91
4-June-2025,35.50,35.69,34.30,34.95,34.970495839701137714,23556,306,823765.00,17676,75.04,1.39,-0.55
3-June-2025,35.55,36.57,35.50,36.43,36.303871829105473965,3745,63,135958.00,3539,94.50,1.07,0.88
2-June-2025,36.86,36.86,34.80,36.23,36.058337726234405201,28455,422,1026040.00,21005,73.82,2.06,-0.63
30-May-2025,34.47,36.00,33.80,35.06,35.256076737645640819,39824,450,1404038.00,30436,76.43,2.20,0.59
29-May-2025,34.01,35.19,34.01,34.19,34.338312829525483304,9104,145,312616.00,5900,64.81,1.18,0.18
28-May-2025,34.75,35.99,34.60,34.90,34.882996104059318838,7957,170,277564.00,6438,80.91,1.39,0.15
27-May-2025,34.95,35.00,34.54,34.88,34.841074426412982652,1787,38,62261.00,1116,62.45,0.46,-0.07
26-May-2025,34.61,36.20,34.45,34.71,34.711841812930459897,4501,121,156238.00,4117,91.47,1.75,0.10
23-May-2025,34.91,34.91,34.20,34.56,34.593613933236574746,689,113,23835.00,624,90.57,0.71,-0.35
22-May-2025,34.38,35.00,33.96,34.05,34.417061611374407582,1266,57,43572.00,1167,92.18,1.04,-0.33
21-May-2025,34.50,34.73,34.27,34.38,34.454508446977406879,4913,95,169275.00,4426,90.09,0.46,-0.12
20-May-2025,37.90,37.90,34.50,34.59,35.069000729394602479,6855,116,240398.00,3313,48.33,3.40,-3.31
19-May-2025,34.50,36.20,33.77,35.14,35.036567052109926415,26636,449,933234.00,18702,70.21,2.43,0.64
16-May-2025,33.83,34.44,33.79,34.25,34.127535496957403651,11832,267,403797.00,8632,72.95,0.65,0.42
15-May-2025,33.15,34.56,32.97,33.80,33.911278727165586328,42425,491,1438686.00,33992,80.12,1.59,0.65
14-May-2025,34.00,34.00,32.65,32.80,33.225554106910039113,11505,363,382260.00,6979,60.66,1.35,-1.20
13-May-2025,30.00,33.54,30.00,33.54,32.980254611587425305,3849,68,126941.00,2965,77.03,3.54,3.54
12-May-2025,31.44,32.37,31.12,32.16,32.039247630331753554,13504,424,432658.00,10069,74.56,1.25,0.72
9-May-2025,30.03,31.35,30.03,30.44,30.435755222776853392,16227,252,493881.00,12744,78.54,1.32,0.41
8-May-2025,31.36,31.76,31.36,31.57,31.546370967741935483,992,52,31294.00,592,59.68,0.40,0.21
7-May-2025,30.50,31.66,30.41,30.84,30.903827377465338801,10242,183,316517.00,8965,87.53,1.25,0.34
6-May-2025,31.51,32.57,30.05,31.21,31.531425233644859813,8560,208,269909.00,8092,94.53,2.52,-0.30
5-May-2025,32.95,32.95,31.91,32.22,32.408723950184617310,15979,252,517859.00,12143,75.99,1.04,-0.73
2-May-2025,33.79,33.99,32.00,32.44,33.050406504065040650,7380,332,243912.00,5126,69.46,1.99,-1.35
30-April-2025,34.45,34.45,33.30,33.61,33.627662010533547057,4367,80,146852.00,3903,89.37,1.15,-0.84
29-April-2025,34.99,35.15,33.93,34.09,34.379564416513165023,9229,178,317289.00,6555,71.03,1.22,-0.90
28-April-2025,34.51,35.12,34.06,34.48,34.678623148045003898,8977,134,311310.00,7323,81.58,1.06,-0.03
25-April-2025,37.49,37.60,34.01,35.12,35.376758184386708433,16281,537,575969.00,7575,46.53,3.59,-2.37
24-April-2025,33.06,39.40,32.50,37.60,37.493863580225131444,141695,1609,5312693.00,87119,61.48,6.90,4.54
23-April-2025,32.00,33.35,32.00,33.05,32.858075040783034257,4904,96,161136.00,3743,76.33,1.35,1.05
22-April-2025,32.47,34.00,32.27,32.90,33.165120593692022263,25333,382,840172.00,14196,56.04,1.73,0.43
21-April-2025,31.47,32.54,31.47,32.22,32.099135063206919494,10521,135,337715.00,8599,81.73,1.07,0.75
17-April-2025,30.37,30.99,29.96,30.71,30.696809251776508290,14354,256,440622.00,12456,86.78,1.03,0.34
16-April-2025,30.00,30.85,29.76,30.37,30.283712971874665811,9351,221,283183.00,6540,69.94,1.09,0.37
15-April-2025,29.45,30.18,29.40,29.90,29.780678268630075858,4482,62,133477.00,4028,89.87,0.78,0.45
11-April-2025,28.88,29.47,28.88,29.07,29.136453963347317288,4529,70,131959.00,3279,72.40,0.59,0.19
9-April-2025,28.55,28.82,28.36,28.60,28.562090024881248586,4421,130,126273.00,3446,77.95,0.46,0.05
8-April-2025,28.55,29.31,28.30,28.48,28.653839718922536389,5977,181,171264.00,5411,90.53,1.01,-0.07
7-April-2025,23.51,28.80,23.51,28.06,27.623786225065863756,13285,461,366982.00,7979,60.06,5.29,4.55
4-April-2025,30.15,30.15,28.81,29.33,29.437559219253363653,5277,126,155342.00,3723,70.55,1.34,-0.82
3-April-2025,30.36,30.90,29.55,30.15,30.304361567635903919,3164,93,95883.00,2361,74.62,1.35,-0.21
2-April-2025,33.20,33.20,29.00,29.61,29.388945454545454545,6875,275,202049.00,4523,65.79,4.20,-3.59
1-April-2025,28.06,30.24,28.06,29.20,29.341169556273875991,6806,176,199696.00,4885,71.77,2.18,1.14
28-March-2025,28.65,29.36,27.92,28.06,28.454780857389469646,20854,264,593396.00,18183,87.19,1.44,-0.59
27-March-2025,30.00,30.00,28.41,28.65,29.036750223813786929,22340,614,648681.00,19302,86.40,1.59,-1.35
26-March-2025,30.50,30.60,29.21,29.44,29.769003144072498612,21628,481,643844.00,15360,71.02,1.39,-1.06
25-March-2025,31.85,31.99,29.99,30.46,30.648845686512758201,7407,86,227016.00,7114,96.04,2.00,-1.39
24-March-2025,31.57,32.18,31.44,31.66,31.790854068594485541,11896,232,378184.00,10805,90.83,0.74,0.09
21-March-2025,32.32,32.32,30.50,31.57,31.439638111393836584,17685,284,556010.00,10758,60.83,1.82,-0.75
20-March-2025,31.90,32.17,31.18,31.28,31.792924375202856215,3081,139,97954.00,2395,77.73,0.99,-0.62
19-March-2025,31.34,31.80,31.10,31.18,31.501454898157129000,4124,193,129912.00,3792,91.95,0.70,-0.16
18-March-2025,30.84,31.23,30.62,30.84,30.876004592422502870,2613,38,80679.00,2394,91.62,0.61,0.00
17-March-2025,32.50,32.50,30.00,30.00,30.549334557136301055,2179,65,66567.00,1896,87.01,2.50,-2.50
13-March-2025,31.45,31.68,30.61,31.13,31.058678196417541692,16190,159,502840.00,14517,89.67,1.07,-0.32
12-March-2025,31.55,32.07,30.63,31.32,31.108734590664840375,9491,124,295253.00,7653,80.63,1.44,-0.23
11-March-2025,31.59,31.90,30.85,31.06,31.173158141717503519,6393,100,199290.00,6315,98.78,1.05,-0.53
10-March-2025,32.30,32.50,31.50,31.90,32.010869565217391304,3864,115,123690.00,2449,63.38,1.00,-0.40
7-March-2025,32.63,32.65,32.00,32.27,32.259629101283880171,9113,200,293982.00,8614,94.52,0.65,-0.36
6-March-2025,34.10,34.10,32.08,32.52,32.549715767427944549,10027,203,326376.00,7622,76.01,2.02,-1.58
5-March-2025,30.45,32.65,30.00,32.40,31.675997667249854203,12003,246,380207.00,9349,77.89,2.65,1.95
4-March-2025,28.00,29.83,28.00,29.78,28.693241275149684448,18539,168,531944.00,13688,73.83,1.83,1.78
3-March-2025,31.64,31.64,28.61,29.10,29.339801619959284445,23087,361,677368.00,13492,58.44,3.03,-2.54
