Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,670.00,695.85,669.90,691.90,688.878266784923922122,116131,3501,80000122.00,54787,47.18,25.95,21.90
9-September-2025,670.45,676.25,669.00,670.15,674.200293914246196403,11568,742,7799149.00,6989,60.42,7.25,-0.30
8-September-2025,665.20,683.00,665.05,669.95,676.434542416729546189,37108,1390,25101133.00,15958,43.00,17.95,4.75
5-September-2025,656.00,674.00,656.00,663.85,665.435574923244528077,10097,787,6718903.00,5132,50.83,18.00,7.85
4-September-2025,668.50,671.30,663.30,664.50,667.090218599481289366,10796,468,7201906.00,,,8.00,-4.00
3-September-2025,664.05,671.00,663.50,670.05,667.633968984195295688,13477,983,8997703.00,7698,57.12,7.50,6.00
2-September-2025,674.90,674.90,661.30,664.20,668.037876835867044576,11643,856,7777965.00,4789,41.13,13.60,-10.70
1-September-2025,654.00,669.60,653.05,668.25,663.726296339069176579,8659,565,5747206.00,4562,52.68,16.55,14.25
29-August-2025,660.00,660.00,642.80,652.60,648.998444728026798532,25076,1329,16274285.00,12601,50.25,17.20,-7.40
28-August-2025,656.00,657.95,650.40,652.85,653.499595516006009476,8653,679,5654732.00,2100,24.27,7.55,-3.15
26-August-2025,668.15,668.15,654.00,655.30,659.289141647930167967,37805,1619,24924426.00,19469,51.50,14.15,-12.85
25-August-2025,669.60,673.10,663.60,668.15,670.564818572936114944,12319,609,8260688.00,6409,52.03,9.50,-1.45
22-August-2025,670.90,674.00,666.05,669.60,669.956432947583390061,10283,586,6889162.00,5789,56.30,7.95,-1.30
21-August-2025,670.00,672.95,666.35,670.55,669.919279519679786524,13491,563,9037881.00,6201,45.96,6.60,0.55
20-August-2025,670.90,673.15,666.70,670.00,669.576831074154231689,17558,977,11756430.00,8414,47.92,6.45,-0.90
19-August-2025,676.95,683.00,668.20,671.70,675.487347558010619882,51413,2078,34728831.00,20239,39.37,14.80,-5.25
18-August-2025,674.70,679.80,671.20,676.95,674.282493279569892473,29760,1389,20066647.00,20447,68.71,8.60,2.25
14-August-2025,668.85,674.10,666.30,667.45,668.436800436800436800,18315,614,12242420.00,8179,44.66,7.80,-1.40
13-August-2025,678.30,678.30,666.35,670.35,671.550114607209835382,28794,1660,19336614.00,16363,56.83,11.95,-7.95
12-August-2025,676.00,676.90,669.35,671.70,672.994399786658539372,52498,1526,35330860.00,17098,32.57,7.55,-4.30
11-August-2025,648.50,677.00,648.50,673.90,667.920365631279206172,258293,5974,172519155.00,155259,60.11,28.50,25.40
8-August-2025,647.30,656.00,645.35,651.45,651.492383918831894229,76089,3480,49571404.00,31082,40.85,10.65,4.15
7-August-2025,631.15,649.90,631.15,647.30,641.385296302736196512,63263,2106,40575958.00,34988,55.31,18.75,16.15
6-August-2025,630.05,638.60,627.25,637.55,634.912813292030413967,17755,994,11272877.00,5984,33.70,11.35,7.50
5-August-2025,642.95,644.25,632.55,634.70,638.661347568074050938,35219,1372,22493014.00,17205,48.85,11.70,-8.25
4-August-2025,612.40,639.00,612.40,638.25,628.798067063725811026,275022,8315,172933302.00,227413,82.69,26.60,25.85
1-August-2025,624.80,628.00,613.50,621.95,622.168581800726050823,33331,1713,20737501.00,11080,33.24,14.50,-2.85
31-July-2025,606.40,623.00,605.55,621.65,614.039320822162645218,36927,1972,22674630.00,16415,44.45,17.45,15.25
30-July-2025,632.60,633.15,612.40,614.80,620.115879008993721364,47144,2032,29234743.00,25565,54.23,20.75,-17.80
29-July-2025,628.25,632.15,624.00,630.50,628.623053960964408725,21775,992,13688267.00,7718,35.44,8.15,2.25
28-July-2025,637.45,647.10,623.70,626.35,637.008156264888041924,52475,1382,33427003.00,15269,29.10,23.40,-11.10
25-July-2025,652.15,653.70,629.00,636.45,640.010503405590804419,102919,3467,65869241.00,37915,36.84,24.70,-15.70
24-July-2025,625.65,658.60,625.10,652.30,643.263923859401752442,238296,6679,153287220.00,105469,44.26,33.50,26.65
23-July-2025,628.75,633.70,622.10,624.65,623.669390626037710787,331258,12446,206595475.00,286435,86.47,11.60,-4.10
22-July-2025,634.45,637.05,626.60,627.90,629.992670607200429876,46525,1805,29310409.00,28013,60.21,10.45,-6.55
21-July-2025,622.15,637.50,622.15,634.95,631.777529834093334626,20614,980,13023462.00,6489,31.48,15.35,12.80
18-July-2025,639.85,640.00,630.00,631.40,632.812199588006408789,17476,816,11059026.00,9451,54.08,10.00,-8.45
17-July-2025,641.00,641.80,626.85,637.75,634.988834558965079120,25973,993,16492565.00,8803,33.89,14.95,-3.25
16-July-2025,634.65,649.90,633.80,641.35,642.288966061869283499,308974,4067,198450591.00,278560,90.16,16.10,6.70
15-July-2025,639.20,642.60,632.85,633.55,636.603896103896103896,19866,919,12646773.00,6933,34.90,9.75,-5.65
14-July-2025,632.35,644.60,629.95,635.00,635.737463745992978171,52408,1350,33317729.00,32782,62.55,14.65,2.65
11-July-2025,631.90,634.95,620.70,631.15,626.307256923387911865,44523,1994,27885078.00,12806,28.76,14.25,-0.75
10-July-2025,638.15,641.30,628.50,631.40,632.800183066361556064,21850,1219,13826684.00,10765,49.27,12.80,-6.75
9-July-2025,638.35,642.00,634.70,638.95,637.967387482419127988,11376,686,7257517.00,3581,31.48,7.30,0.60
8-July-2025,643.05,646.55,632.60,638.35,638.519304181849731042,23052,864,14719147.00,7649,33.18,13.95,-4.70
7-July-2025,654.10,657.45,643.00,643.95,651.552807997647750661,34010,1417,22159311.00,13994,41.15,14.45,-10.15
4-July-2025,646.35,653.90,646.35,650.45,651.112214003096507827,58130,1659,37849153.00,35251,60.64,7.55,4.10
3-July-2025,650.75,658.00,643.05,646.00,650.565406502591612599,110356,3310,71793796.00,44962,40.74,14.95,-4.75
2-July-2025,650.20,652.40,645.50,650.65,649.967312425397965543,189338,2850,123063511.00,83197,43.94,6.90,0.45
1-July-2025,646.15,653.20,639.80,649.95,647.484325091683426002,50718,1622,32839110.00,19530,38.51,13.40,3.80
30-June-2025,638.65,646.00,630.05,643.35,641.612124449192148484,74890,2346,48050332.00,32438,43.31,15.95,4.70
27-June-2025,630.10,641.60,625.80,626.60,633.673972398729150119,40288,1361,25529457.00,14837,36.83,15.80,-3.50
26-June-2025,623.95,637.50,618.80,635.55,628.744647423768076054,87201,3426,54827162.00,38557,44.22,18.70,11.60
25-June-2025,624.05,630.20,618.90,620.85,623.090791685957260167,41039,1515,25571023.00,21028,51.24,11.30,-3.20
24-June-2025,629.95,631.85,617.90,623.30,626.063568398802684030,70491,3002,44131847.00,29204,41.43,13.95,-6.65
23-June-2025,615.65,621.60,611.00,617.45,616.630753820350354081,42928,2114,26470725.00,13376,31.16,10.60,1.80
20-June-2025,614.60,624.45,614.35,615.65,618.363088933582453676,84029,6231,51960432.00,49887,59.37,10.10,1.05
19-June-2025,624.85,625.30,612.60,615.00,616.098060070542889349,110004,4049,67773251.00,57255,52.05,12.70,-9.85
18-June-2025,625.40,632.50,622.35,628.80,626.538851957370475888,94770,2935,59377087.00,44469,46.92,10.15,3.40
17-June-2025,634.95,641.95,630.75,634.20,636.384931089722373002,75533,2233,48068063.00,31704,41.97,11.20,-0.75
16-June-2025,624.25,634.90,622.05,632.20,627.367142857142857142,163800,5056,102762738.00,66250,40.45,12.85,7.95
13-June-2025,609.10,629.85,609.05,624.95,622.661579643703270668,97503,3512,60711372.00,49769,51.04,20.80,15.85
12-June-2025,621.15,628.95,621.15,625.35,625.441715768649890451,94022,1354,58805281.00,60544,64.39,7.80,4.20
11-June-2025,628.75,630.90,617.45,624.75,626.333011741148630199,54935,1616,34407604.00,23436,42.66,13.45,-4.00
10-June-2025,637.20,638.00,622.80,628.75,628.197123979409416616,204171,5363,128259635.00,84329,41.30,15.20,-8.45
