Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,38.90,40.00,38.90,39.56,39.642377208169810690,1017698,3842,40343968.00,709790,69.74,1.10,0.66
9-September-2025,39.20,39.20,38.62,38.92,38.841237091011760617,368348,2542,14307092.00,196899,53.45,0.58,-0.28
8-September-2025,38.53,39.47,38.53,39.12,39.198754209462240260,665762,3036,26097041.00,373300,56.07,0.94,0.59
5-September-2025,38.30,38.61,37.74,38.51,38.218774916339298705,171825,1296,6566941.00,69809,40.63,0.87,0.21
4-September-2025,39.61,39.90,37.71,37.92,38.796588225475756010,443347,2345,17200351.00,234970,53.00,2.19,-1.69
3-September-2025,40.05,40.31,39.34,39.43,39.627569234097793163,702544,3911,27840111.00,333544,47.48,0.97,-0.62
2-September-2025,38.51,40.50,38.51,40.02,39.926106184275563389,764746,3915,30533330.00,468523,61.27,1.99,1.51
1-September-2025,38.49,38.95,37.91,38.84,38.457656631476986574,704089,3720,27077613.00,420730,59.76,1.04,0.35
29-August-2025,38.18,38.39,37.85,38.09,38.147532416383906931,264064,1451,10073390.00,130398,49.38,0.54,-0.09
28-August-2025,37.63,38.44,37.58,38.17,38.092270025469670428,638799,3258,24333304.00,435511,68.18,0.86,0.54
26-August-2025,38.20,38.60,37.85,38.21,38.224014772094905650,197670,1320,7555741.00,94602,47.86,0.75,0.01
25-August-2025,38.57,38.98,38.07,38.18,38.445200383509108341,260750,1948,10024586.00,120017,46.03,0.91,-0.39
22-August-2025,38.24,38.81,37.90,38.05,38.303137198076383165,220834,1325,8458635.00,126479,57.27,0.91,-0.19
21-August-2025,37.61,38.93,37.61,38.39,38.431038350080915283,664275,3147,25528778.00,357420,53.81,1.32,0.78
20-August-2025,37.43,38.40,37.43,38.20,37.950092525545096146,248580,1771,9433634.00,120195,48.35,0.97,0.77
19-August-2025,36.66,37.90,36.21,37.78,37.168706358015411238,625258,3177,23240031.00,360777,57.70,1.69,1.12
18-August-2025,36.63,36.99,36.49,36.67,36.696865161765690937,328438,2250,12052645.00,226268,68.89,0.50,0.04
14-August-2025,36.29,36.35,35.95,36.17,36.132725588378574794,250434,1878,9048863.00,109248,43.62,0.40,-0.12
13-August-2025,36.32,36.66,36.01,36.14,36.195821524010041298,308725,1977,11174555.00,162144,52.52,0.65,-0.18
12-August-2025,36.05,36.25,35.92,36.18,36.069615258043002798,343373,3335,12385332.00,178132,51.88,0.33,0.13
11-August-2025,35.85,36.12,35.58,36.01,35.918394058850908118,388881,3036,13967981.00,191564,49.26,0.54,0.16
8-August-2025,36.21,36.67,35.70,35.81,36.182937015478583174,459732,2666,16634454.00,209172,45.50,0.97,-0.40
7-August-2025,35.92,36.40,35.55,36.15,35.990575643997660159,553884,4045,19934604.00,307200,55.46,0.85,0.23
6-August-2025,36.95,37.14,36.30,36.41,36.740961296609393088,240134,1817,8822754.00,116102,48.35,0.84,-0.54
5-August-2025,37.05,37.30,36.80,36.89,37.022281302838835988,269688,2446,9984465.00,144878,53.72,0.50,-0.16
4-August-2025,36.92,37.20,36.65,37.05,36.917361611388064432,347030,2590,12811432.00,195417,56.31,0.55,0.13
1-August-2025,37.47,37.75,36.66,36.84,37.172806983661014330,388335,3023,14435502.00,201781,51.96,1.09,-0.63
31-July-2025,37.32,37.85,37.20,37.56,37.550213681546331256,506127,2483,19005177.00,209441,41.38,0.65,0.24
30-July-2025,37.78,38.38,37.78,37.95,38.019583651830295878,223707,1876,8505247.00,121911,54.50,0.60,0.17
29-July-2025,37.50,38.07,37.33,37.94,37.696119430881013013,513636,3081,19362084.00,260969,50.81,0.74,0.44
28-July-2025,38.45,38.59,37.55,37.75,38.069931997516167628,330135,2109,12568217.00,134038,40.60,1.04,-0.70
25-July-2025,38.84,39.14,38.15,38.44,38.616025362093615963,643480,3236,24848640.00,347784,54.05,0.99,-0.40
24-July-2025,38.88,39.29,38.76,38.95,39.004831810396543179,460076,2516,17945187.00,272043,59.13,0.53,0.07
23-July-2025,39.19,39.29,38.88,39.11,39.060841584415899638,576793,2442,22530020.00,256131,44.41,0.41,-0.08
22-July-2025,39.94,40.06,39.11,39.27,39.550007763277247060,244742,1173,9679548.00,113997,46.58,0.95,-0.67
21-July-2025,40.60,40.78,39.75,39.84,40.142416125529066925,673119,2094,27020623.00,325873,48.41,1.03,-0.76
18-July-2025,39.99,40.64,39.23,39.78,40.021363814570622496,1561004,4790,62473509.00,579345,37.11,1.41,-0.21
17-July-2025,40.15,40.20,39.60,39.84,39.848676942618563801,670757,2953,26728779.00,315308,47.01,0.60,-0.31
16-July-2025,39.20,40.39,39.17,39.74,39.745743268195711445,509076,2112,20233604.00,165995,32.61,1.22,0.54
15-July-2025,38.92,39.31,38.78,39.03,39.021487517024396494,210727,1017,8222881.00,86454,41.03,0.53,0.11
14-July-2025,39.01,39.20,38.50,38.59,38.774341659867724408,230428,1540,8934694.00,123539,53.61,0.70,-0.42
11-July-2025,39.10,39.50,38.70,38.88,38.999705559406456836,326042,1449,12715542.00,123558,37.90,0.80,-0.22
10-July-2025,39.40,39.59,39.00,39.25,39.291249528756335609,167111,707,6566000.00,75830,45.38,0.59,-0.15
9-July-2025,39.19,39.74,39.10,39.39,39.419690223866557973,239205,953,9429387.00,79956,33.43,0.64,0.20
8-July-2025,39.88,40.09,39.10,39.19,39.479024910025986452,459855,1358,18154627.00,164719,35.82,0.99,-0.69
7-July-2025,39.89,40.30,39.71,39.90,39.971938988047553433,312070,1393,12474043.00,153624,49.23,0.59,0.01
4-July-2025,40.15,40.35,39.80,39.91,40.032441041899882046,266206,1069,10656876.00,122303,45.94,0.55,-0.24
3-July-2025,40.05,40.19,39.48,39.98,39.905310574829774422,431780,1469,17230315.00,185280,42.91,0.71,-0.07
2-July-2025,40.25,40.73,39.65,39.83,40.134213151562651735,1019453,2676,40914944.00,408197,40.04,1.08,-0.42
1-July-2025,39.05,40.00,38.87,39.93,39.550533745295866219,1912148,4993,75626474.00,1276850,66.78,1.13,0.88
30-June-2025,38.40,39.59,38.29,38.99,38.952955607253123053,1411199,3147,54970372.00,597300,42.33,1.30,0.59
27-June-2025,38.12,38.80,37.57,38.35,38.179301744259834568,1812230,5080,69189676.00,678663,37.45,1.23,0.23
26-June-2025,38.20,38.54,37.66,37.85,37.948856580717716181,887426,2926,33676802.00,382775,43.13,0.88,-0.35
25-June-2025,37.84,38.39,37.83,38.16,38.149507697182362716,296667,1141,11317700.00,132267,44.58,0.56,0.32
24-June-2025,37.54,38.20,37.45,37.65,37.768978262555248261,580335,2111,21918660.00,213214,36.74,0.75,0.11
23-June-2025,36.99,37.30,36.64,36.93,36.942010593109234883,286035,1086,10566708.00,128536,44.94,0.66,-0.06
20-June-2025,36.60,37.34,36.42,37.20,36.950666760755188691,1091171,3091,40319496.00,393081,36.02,0.92,0.60
19-June-2025,37.96,38.38,35.97,36.47,36.932328595416597687,845660,2937,31232193.00,369859,43.74,2.41,-1.49
18-June-2025,37.66,38.18,37.16,37.65,37.720711760626511730,295605,1294,11150431.00,126427,42.77,1.02,-0.01
17-June-2025,37.68,38.99,37.66,37.82,38.114720034110259254,741126,2138,28247810.00,285659,38.54,1.33,0.14
16-June-2025,37.52,37.66,36.29,37.49,36.937742184137621914,1345309,5729,49692677.00,492826,36.63,1.37,-0.03
13-June-2025,37.24,38.28,37.24,37.51,37.562920931389104826,1560379,6761,58612393.00,756150,48.46,1.04,0.27
12-June-2025,39.80,39.86,38.46,38.57,38.945960842645106243,1095835,4915,42678347.00,511290,46.66,1.40,-1.23
11-June-2025,40.51,40.62,39.10,39.60,39.767517208762728154,1642913,6211,65334571.00,789446,48.05,1.52,-0.91
10-June-2025,40.83,40.91,40.15,40.36,40.489713789042061390,1393273,4385,56413225.00,736854,52.89,0.76,-0.47
9-June-2025,40.23,41.50,40.05,40.56,40.788210654097758727,2135216,6571,87091640.00,881949,41.30,1.45,0.33
6-June-2025,40.85,41.55,38.90,39.64,39.856659093800810920,2774379,10202,110577478.00,1001724,36.11,2.65,-1.21
5-June-2025,41.51,41.78,40.62,40.72,41.025737127816016501,1243068,3856,50997781.00,512368,41.22,1.16,-0.79
4-June-2025,40.58,41.62,39.85,41.20,40.798423463957177455,1555816,4922,63474840.00,624845,40.16,1.77,0.62
3-June-2025,42.34,42.84,40.38,40.57,41.098535553570320638,2465983,7443,101348290.00,893119,36.22,2.46,-1.77
2-June-2025,40.01,42.34,39.77,42.08,41.469116434719178922,4212807,9388,174701384.00,1435391,34.07,2.57,2.07
30-May-2025,37.80,40.37,37.40,39.81,39.253876421757174097,4181885,8298,164155197.00,2197985,52.56,2.97,2.01
29-May-2025,38.19,38.54,37.66,37.78,37.930492690975468884,604253,2694,22919614.00,375740,62.18,0.88,-0.41
28-May-2025,38.01,38.35,37.80,38.00,38.053019555159215014,690764,2161,26285656.00,250087,36.20,0.55,-0.01
27-May-2025,38.15,38.38,37.67,37.83,37.868910912814511410,437504,907,16567800.00,157705,36.05,0.71,-0.32
26-May-2025,38.00,38.60,37.93,38.11,38.242127809863073565,393569,1187,15050916.00,123568,31.40,0.67,0.11
23-May-2025,37.75,37.99,37.38,37.84,37.738896692259183551,788121,3136,29742817.00,300192,38.09,0.61,0.09
22-May-2025,37.69,38.26,37.13,37.69,37.788969781465783434,804771,3142,30411467.00,284213,35.32,1.13,0.00
21-May-2025,37.85,38.20,37.33,37.76,37.714585594368470056,1231921,4530,46461390.00,496527,40.31,0.87,-0.09
20-May-2025,39.81,39.81,37.57,37.75,38.562822836367983870,1104081,5230,42576480.00,547603,49.60,2.24,-2.06
19-May-2025,37.97,40.73,37.80,39.39,39.505424941333619815,3090356,7068,122085827.00,1461394,47.29,2.93,1.42
16-May-2025,38.19,38.39,37.82,37.89,37.982566655428911635,697055,3938,26475938.00,434830,62.38,0.57,-0.30
15-May-2025,38.15,38.42,37.90,37.97,38.152322157146617530,243136,1086,9276203.00,120693,49.64,0.52,-0.18
14-May-2025,37.63,38.22,37.47,37.91,37.861802074833896724,343160,1163,12992656.00,127423,37.13,0.75,0.28
13-May-2025,37.25,37.98,37.00,37.49,37.496857442422970140,866969,2764,32508613.00,256551,29.59,0.98,0.24
12-May-2025,36.15,37.52,36.00,37.30,36.980932786647575018,613881,1344,22701892.00,209041,34.05,1.52,1.15
9-May-2025,33.24,35.25,33.24,34.81,34.322811621817571737,500679,1918,17184711.00,147506,29.46,2.01,1.57
8-May-2025,35.51,36.11,35.00,35.24,35.466862456202803679,910161,3470,32280555.00,339481,37.30,1.11,-0.27
7-May-2025,34.68,35.75,34.59,35.28,35.175657691976151986,846863,3413,29788963.00,244214,28.84,1.16,0.60
6-May-2025,37.55,37.79,35.13,35.53,36.458944760310779656,609435,1921,22219357.00,227511,37.33,2.66,-2.02
5-May-2025,37.96,38.30,37.31,37.55,37.532593016335661661,606587,1497,22766783.00,345577,56.97,0.99,-0.41
2-May-2025,37.50,38.30,37.14,37.85,37.771023686740375209,1187922,3890,44869030.00,400712,33.73,1.16,0.35
30-April-2025,38.16,38.29,37.30,37.60,37.710309229273069782,294086,1005,11090074.00,103948,35.35,0.99,-0.56
29-April-2025,38.25,39.28,38.01,38.29,38.569117828453856806,786389,3382,30330330.00,310719,39.51,1.27,0.04
28-April-2025,37.11,38.08,36.85,37.84,37.618386471634500517,602704,2740,22672752.00,281825,46.76,1.23,0.73
25-April-2025,38.65,38.84,37.10,37.43,37.642074149573194037,588675,2588,22158948.00,275132,46.74,1.74,-1.22
24-April-2025,38.93,39.03,38.53,38.61,38.797542315486966083,388333,1240,15066366.00,152219,39.20,0.50,-0.32
23-April-2025,39.41,39.45,38.10,38.74,38.711953189820822384,1384827,4426,53609358.00,678576,49.00,1.35,-0.67
