Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,747.05,756.00,746.50,751.15,751.679793553936722131,37201,1128,27963240.00,,,9.50,4.10
9-September-2025,752.85,755.00,745.20,746.05,748.204479109651523444,43848,1529,32807270.00,20766,47.36,9.80,-6.80
8-September-2025,754.15,762.70,746.90,750.45,752.476942650694961231,83314,4438,62691864.00,40828,49.00,15.80,-3.70
5-September-2025,760.85,760.85,750.05,757.20,754.946578596674198968,34518,1524,26059246.00,12111,35.09,10.80,-3.65
4-September-2025,770.20,773.95,753.00,754.65,761.325259005875709913,61099,4470,46516212.00,,,20.95,-15.55
3-September-2025,745.10,769.00,745.10,768.30,762.156100140727660604,111563,3973,85028421.00,54256,48.63,23.90,23.20
2-September-2025,753.00,758.90,747.05,751.35,754.700693756194251734,93837,1558,70818849.00,55361,59.00,11.85,-1.65
1-September-2025,744.80,753.45,741.90,752.70,747.993572811043079207,82151,3736,61448420.00,38162,46.45,11.55,7.90
29-August-2025,744.95,750.00,738.00,739.90,741.939038833447436672,200111,6709,148470163.00,131805,65.87,12.00,-5.05
28-August-2025,755.05,762.50,745.00,746.75,751.546075946174315513,158586,7485,119184686.00,76324,48.13,17.50,-8.30
26-August-2025,773.35,773.35,754.60,756.70,760.976706541908484346,126645,6671,96373895.00,58824,46.45,18.75,-16.65
25-August-2025,763.40,774.75,761.30,772.00,769.544214769705806672,69954,2189,53832696.00,30112,43.05,13.45,8.60
22-August-2025,771.80,772.70,759.00,759.95,765.892201754692579258,85827,5611,65734230.00,41420,48.26,13.70,-11.85
21-August-2025,779.05,781.65,766.50,767.55,770.849802982876081752,135775,7174,104662132.00,80083,58.98,15.15,-11.50
20-August-2025,785.55,790.15,777.35,778.30,781.727402135231316725,82895,4304,64801293.00,43891,52.95,12.80,-7.25
19-August-2025,788.45,790.55,781.00,785.55,785.726937103237134753,44422,1824,34903562.00,19899,44.80,9.55,-2.90
18-August-2025,779.95,795.35,777.35,788.50,789.704026792806589427,139739,4855,110352451.00,62732,44.89,18.00,8.55
14-August-2025,772.00,779.90,766.20,769.80,773.133988781748282599,95202,4532,73603902.00,38503,40.44,13.70,-2.20
13-August-2025,784.15,787.80,766.90,773.50,775.274812814113303018,175494,4114,136056078.00,80818,46.05,20.90,-10.65
12-August-2025,789.95,791.20,781.00,782.55,786.059636068167725105,93534,4274,73523302.00,40061,42.83,10.20,-7.40
11-August-2025,782.75,789.90,778.00,783.30,783.519328165888896627,100501,5143,78744476.00,41163,40.96,11.90,0.55
8-August-2025,805.45,808.50,779.00,782.75,792.880322477823818889,128629,7797,101987403.00,58370,45.38,29.50,-22.70
7-August-2025,802.95,810.05,789.70,807.55,800.125446466237309109,71114,2607,56900121.00,27899,39.23,20.35,4.60
6-August-2025,821.00,822.55,795.50,803.15,806.649412363698077983,259259,13582,209131120.00,121674,46.93,27.05,-17.85
5-August-2025,821.50,848.80,810.00,819.20,827.429310594614731874,628121,12893,519725726.00,200198,31.87,38.80,-2.30
4-August-2025,781.05,805.20,781.05,803.90,796.317903441147336233,116095,4770,92448527.00,56708,48.85,24.15,22.85
1-August-2025,792.05,797.20,779.60,783.70,788.520717966369370007,98779,4006,77889288.00,38427,38.90,17.60,-8.35
31-July-2025,800.85,805.40,789.45,798.85,797.439713531850735016,66325,2384,52890189.00,29853,45.01,15.95,-2.00
30-July-2025,814.00,814.00,795.65,801.70,803.801021458415626755,179743,6817,144477607.00,71287,39.66,18.35,-12.30
29-July-2025,792.30,818.60,790.10,808.80,805.159325936544126776,442985,12790,356673504.00,177589,40.09,28.50,16.50
28-July-2025,821.10,828.40,797.65,802.15,811.932138683287884690,218195,9410,177159533.00,69548,31.87,30.75,-18.95
25-July-2025,848.95,848.95,821.75,823.70,830.009743815344871158,106837,3750,88675751.00,38439,35.98,27.20,-25.25
24-July-2025,857.65,860.45,845.00,847.25,852.651120405832157495,119064,4362,101520053.00,44225,37.14,15.45,-10.40
23-July-2025,845.65,853.25,842.00,851.30,848.911120263591433278,60700,2115,51528905.00,17105,28.18,11.25,5.65
22-July-2025,880.00,883.95,841.05,842.85,855.174249888042991491,178640,5119,152768328.00,63778,35.70,42.90,-37.15
21-July-2025,871.10,871.15,831.40,858.60,846.991933062922807335,286478,11055,242644555.00,81384,28.41,39.75,-12.50
18-July-2025,863.45,876.10,862.30,870.15,869.604799029409782291,44509,1533,38705240.00,12956,29.11,13.80,6.70
17-July-2025,886.25,890.60,862.65,864.80,873.492462599372265114,87298,2961,76254145.00,27707,31.74,27.95,-21.45
16-July-2025,879.95,888.40,876.85,879.05,882.544776735072702897,96970,3577,85580367.00,38018,39.21,11.55,-0.90
15-July-2025,868.95,886.70,868.95,881.10,879.339515473127024973,75001,2505,65951343.00,31607,42.14,17.75,12.15
14-July-2025,858.70,873.20,857.15,867.15,866.700152114758767809,165007,2067,143011592.00,126159,76.46,16.05,8.45
11-July-2025,850.95,867.50,849.75,858.70,857.724875206407652741,105374,2644,90381901.00,18670,17.72,17.75,7.75
10-July-2025,844.00,855.70,841.00,852.65,849.170004761531646103,165913,4091,140888343.00,70588,42.55,14.70,8.65
9-July-2025,850.20,854.90,839.15,840.80,847.015215237479022180,98914,3774,83781663.00,43723,44.20,15.75,-9.40
8-July-2025,856.00,862.95,848.60,850.70,855.813987502984955822,100504,3302,86012729.00,34903,34.73,14.35,-5.30
7-July-2025,847.95,866.85,845.30,854.45,857.187550551005965018,158256,3687,135655073.00,70079,44.28,21.55,6.50
