Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,100.13,102.33,100.13,101.14,101.360230774687295569,126877,935,12860282.00,,,2.20,1.01
9-September-2025,101.39,101.39,99.98,100.15,100.203710280569076817,95734,1044,9592902.00,55004,57.46,1.41,-1.24
8-September-2025,101.94,101.94,100.00,100.21,100.692302938063489365,129439,875,13033511.00,50005,38.63,1.94,-1.73
5-September-2025,100.31,101.35,100.03,101.04,100.758557528867006623,136488,1093,13752334.00,52578,38.52,1.32,0.73
4-September-2025,103.99,103.99,100.01,100.20,101.080790734824281150,75120,915,7593189.00,,,3.98,-3.79
3-September-2025,102.21,103.30,102.07,102.82,102.692603918903613093,88290,690,9066730.00,34573,39.16,1.23,0.61
2-September-2025,100.69,103.47,100.45,102.57,102.159520348837209302,82560,1028,8434290.00,37362,45.25,3.02,1.88
1-September-2025,98.76,100.49,98.76,100.05,99.786540364767425420,141460,1260,14115804.00,77058,54.47,1.73,1.29
29-August-2025,99.30,100.90,98.50,98.95,99.400090036514808783,179927,1340,17884760.00,124842,69.38,2.40,-0.35
28-August-2025,100.75,101.20,99.05,99.30,99.778762571163443934,199365,1679,19892393.00,102033,51.18,2.15,-1.45
26-August-2025,103.40,103.40,100.75,101.10,101.530605047809116192,124767,910,12667669.00,31186,25.00,2.65,-2.30
25-August-2025,103.05,103.60,102.65,102.85,102.940075464204150531,60426,490,6220257.00,19349,32.02,0.95,-0.20
22-August-2025,104.35,104.65,102.50,102.80,103.312811040993278949,58473,550,6041010.00,38777,66.32,2.15,-1.55
21-August-2025,103.30,105.20,103.30,104.10,104.512290128851123961,107566,861,11241969.00,51957,48.30,1.90,0.80
20-August-2025,105.90,105.90,104.15,104.40,104.430371770636420919,123786,969,12927018.00,59898,48.39,1.75,-1.50
19-August-2025,104.00,105.50,102.90,105.10,104.440746857118481910,164101,1184,17138831.00,68662,41.84,2.60,1.10
18-August-2025,105.05,106.20,104.75,106.05,105.708301800523444644,253704,1193,26818619.00,121656,47.95,1.45,1.00
14-August-2025,104.05,105.00,103.50,104.15,104.080876851159034841,134983,1050,14049149.00,56137,41.59,1.50,0.10
13-August-2025,105.90,105.90,103.10,103.75,104.096316450014199210,109161,659,11363258.00,57308,52.50,2.80,-2.15
12-August-2025,104.55,105.70,104.25,104.70,104.695812638334374702,188854,1727,19772223.00,106259,56.27,1.45,0.15
11-August-2025,102.95,105.00,101.85,104.55,103.966314972438924920,152026,967,15805583.00,51758,34.05,3.15,1.60
8-August-2025,102.50,103.50,101.50,102.15,102.662486774560131666,76557,410,7859532.00,31649,41.34,2.00,-0.35
7-August-2025,101.30,103.30,100.10,102.45,101.305512237319853352,169931,1300,17214947.00,62667,36.88,3.20,1.15
6-August-2025,102.00,102.55,100.00,101.60,101.476809995478071527,347197,2083,35232444.00,125003,36.00,2.55,-0.40
5-August-2025,103.05,103.75,101.65,102.00,102.451347955867905992,211728,1608,21691819.00,126936,59.95,2.10,-1.05
4-August-2025,101.85,103.35,101.60,102.70,102.356989092054657863,152366,849,15595725.00,55251,36.26,1.75,0.85
1-August-2025,104.25,104.35,101.15,101.80,103.111842438016110921,296569,2163,30579776.00,125104,42.18,3.20,-2.45
31-July-2025,104.95,105.65,103.05,104.25,104.058383995599843185,170903,1033,17783890.00,77811,45.53,2.60,-0.70
30-July-2025,106.10,106.75,104.80,105.10,105.475071760524876981,117056,750,12346490.00,62320,53.24,1.95,-1.00
29-July-2025,104.85,107.05,103.30,106.10,105.369326372384774223,308004,1973,32454174.00,118355,38.43,3.75,1.25
28-July-2025,109.50,110.30,104.20,104.85,107.372685497190158095,556437,3975,59746135.00,272985,49.06,6.10,-4.65
25-July-2025,112.15,112.40,109.00,109.45,110.323224743041689559,149246,1346,16465300.00,67840,45.46,3.40,-2.70
24-July-2025,112.50,112.85,110.30,111.70,111.676523706102553400,388149,1865,43347131.00,196724,50.68,2.55,-0.80
23-July-2025,110.00,112.20,109.00,112.00,110.749628871256718710,351630,1747,38942892.00,230693,65.61,3.20,2.00
22-July-2025,112.75,113.05,109.60,109.95,110.703723631284193644,386585,2213,42796399.00,306256,79.22,3.45,-2.80
21-July-2025,113.90,113.90,111.90,112.10,112.469781773279632557,86653,781,9745844.00,44382,51.22,2.00,-1.80
18-July-2025,113.55,114.50,111.70,113.85,113.149347946725860155,187408,977,21205093.00,52740,28.14,2.80,0.30
17-July-2025,115.75,116.20,112.55,113.45,114.276710277455457735,281811,1634,32204434.00,141319,50.15,3.65,-2.30
16-July-2025,111.75,116.35,111.75,115.50,114.429376720695083644,680321,4414,77848708.00,363228,53.39,4.60,3.75
15-July-2025,112.80,114.95,111.80,112.40,113.397183946748167525,308872,2710,35025215.00,110377,35.74,3.15,-0.40
14-July-2025,109.35,112.45,108.95,111.75,111.134684165018870378,415201,2853,46143232.00,176923,42.61,3.50,2.40
