Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,174.65,179.60,174.65,178.75,178.067305191990985524,69222,1457,12326175.00,,,4.95,4.10
9-September-2025,173.10,175.05,172.00,174.60,173.997364874074298435,66031,2765,11489220.00,43479,65.85,3.05,1.50
8-September-2025,175.85,175.85,173.65,174.30,174.376050709659638969,36285,1373,6327235.00,23963,66.04,2.20,-1.55
5-September-2025,175.55,176.55,174.00,174.10,174.547138843109177856,148052,5678,25842053.00,86700,58.56,2.55,-1.45
4-September-2025,176.95,176.95,175.00,175.50,175.984206706343446073,34445,1169,6061776.00,15484,44.95,1.95,-1.45
3-September-2025,176.15,176.50,173.80,174.35,174.892670280461937308,63645,1864,11131044.00,37999,59.70,2.70,-1.80
2-September-2025,175.50,177.70,174.60,175.30,176.050146115144759437,132772,4134,23374530.00,72669,54.73,3.10,-0.20
1-September-2025,173.60,175.40,172.20,174.55,173.677741375140174586,45479,1096,7898690.00,29137,64.07,3.20,0.95
29-August-2025,172.85,173.00,171.05,171.50,171.681527188584650983,64825,1258,11129255.00,47134,72.71,1.95,-1.35
28-August-2025,170.45,171.80,169.05,170.15,170.454661121055771998,113964,4000,19425695.00,68816,60.38,2.75,-0.30
26-August-2025,172.50,172.50,170.00,170.25,170.585247560104736967,67216,1737,11466058.00,36873,54.86,2.50,-2.25
25-August-2025,172.75,173.10,171.55,171.85,172.082909223625783166,49319,1232,8486957.00,29304,59.42,1.55,-0.90
22-August-2025,173.30,173.50,170.55,172.05,171.958305385740659116,156543,4522,26918869.00,66423,42.43,2.95,-1.25
21-August-2025,171.40,172.75,171.40,171.80,172.016005253006114827,48734,1233,8383028.00,27973,57.40,1.35,0.40
20-August-2025,173.70,173.75,171.50,171.95,171.980533281312566095,97397,3450,16750388.00,64011,65.72,2.25,-1.75
19-August-2025,171.60,173.25,169.70,172.80,171.377381183876009189,138849,3920,23795578.00,77843,56.06,3.55,1.20
18-August-2025,170.80,171.65,170.00,170.95,170.584169453734671125,43953,1355,7497686.00,27227,61.95,1.65,0.15
14-August-2025,172.20,173.00,169.70,169.85,170.548879323995566240,69467,2231,11847519.00,41058,59.10,3.30,-2.35
13-August-2025,170.10,171.90,169.95,170.45,170.693917117418151187,287298,7759,49040021.00,142419,49.57,1.95,0.35
12-August-2025,172.70,172.75,171.80,172.30,172.269567280186428142,71663,3980,12345354.00,38775,54.11,0.95,-0.40
11-August-2025,174.60,174.60,171.60,172.25,172.393785123374353550,111571,5727,19234147.00,75750,67.89,3.00,-2.35
8-August-2025,175.20,175.20,171.90,172.45,172.989375298680803298,179958,6752,31130822.00,88090,48.95,3.30,-2.75
7-August-2025,175.00,175.95,171.60,173.85,173.894136854060193072,140880,7013,24498206.00,84651,60.09,4.35,-1.15
6-August-2025,179.05,179.60,174.75,175.05,175.832305692871003922,168509,9328,29629326.00,123562,73.33,4.85,-4.00
5-August-2025,180.85,181.25,178.30,178.85,179.457666018061168487,100215,5926,17984350.00,60106,59.98,2.95,-2.00
4-August-2025,178.45,180.95,177.50,180.65,179.558841513125713353,98128,4182,17619750.00,58623,59.74,3.45,2.20
1-August-2025,180.70,180.90,178.00,178.45,179.176616077529376666,103909,6667,18618063.00,77095,74.19,2.90,-2.25
31-July-2025,181.95,181.95,179.60,180.70,180.638435354526048577,103998,5226,18786036.00,72788,69.99,2.35,-1.25
30-July-2025,184.45,184.45,181.95,182.35,182.575363464348159325,41751,1224,7622704.00,35961,86.13,2.50,-2.10
29-July-2025,184.55,186.35,181.70,183.65,183.392015631898229147,122314,6148,22431411.00,85751,70.11,4.65,-0.90
28-July-2025,187.25,188.30,184.30,184.80,186.168115563557895170,145513,7405,27089881.00,88940,61.12,4.00,-2.45
25-July-2025,190.75,190.75,187.00,188.00,187.552340069776041415,62199,1671,11665568.00,31681,50.93,3.75,-2.75
24-July-2025,189.80,190.15,188.00,188.70,188.701301939358461521,92247,5028,17407129.00,64416,69.83,2.15,-1.10
23-July-2025,190.65,191.70,188.50,189.45,189.618009798952525764,118380,5416,22446980.00,88659,74.89,3.20,-1.20
22-July-2025,191.80,191.85,190.30,190.55,190.816321915688748184,84022,3759,16032769.00,57806,68.80,1.55,-1.25
21-July-2025,191.90,192.05,190.30,191.35,191.074535250789196773,79828,4247,15253098.00,42817,53.64,1.75,-0.55
18-July-2025,193.40,193.90,191.00,191.85,192.469128285067101834,41057,1342,7902205.00,20563,50.08,2.90,-1.55
17-July-2025,194.25,194.25,192.15,193.40,193.243074396252813431,164390,3403,31767229.00,101538,61.77,2.10,-0.85
16-July-2025,194.95,194.95,192.75,193.00,193.334103962720803381,27683,720,5352068.00,15046,54.35,2.20,-1.95
15-July-2025,194.00,194.65,192.50,193.05,193.517662980791412269,65023,1778,12583099.00,28579,43.95,2.15,-0.95
14-July-2025,192.10,193.40,190.55,193.00,192.061902916672876581,134194,3569,25773555.00,83238,62.03,2.85,0.90
11-July-2025,191.05,192.35,190.30,190.50,190.943211192806348759,99421,4352,18983765.00,65091,65.47,2.05,-0.55
10-July-2025,193.40,193.90,190.50,191.25,191.600702744048188163,41836,1459,8015807.00,22488,53.75,3.40,-2.15
9-July-2025,193.45,194.00,191.05,191.75,192.360735310998507731,121962,5403,23460700.00,67901,55.67,2.95,-1.70
8-July-2025,193.05,194.80,192.60,193.20,193.314709160288440957,135487,3753,26191630.00,72302,53.36,2.20,0.15
7-July-2025,195.30,195.30,192.50,193.00,193.616975994077834179,75648,1629,14646737.00,47421,62.69,2.80,-2.30
4-July-2025,193.85,195.50,193.00,193.65,193.835642106672020343,134487,4889,26068374.00,75869,56.41,2.50,-0.20
3-July-2025,195.50,195.50,192.55,193.95,193.872650175854044059,171449,7351,33239272.00,103732,60.50,2.95,-1.55
