Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,1990.00,1990.00,1951.10,1973.40,1964.101049843505176071,1039012,25281,2040724560.00,,,38.90,-16.60
9-September-2025,1950.70,1964.00,1939.50,1959.65,1948.618382662819723149,123388,13330,240436125.00,61077,49.50,24.50,8.95
8-September-2025,1942.05,1962.00,1931.50,1950.50,1943.960404687386272654,41217,3377,80124216.00,12957,31.44,30.50,8.45
5-September-2025,1950.20,1956.60,1937.75,1944.00,1946.188341553073462021,240478,3709,468015480.00,210579,87.57,18.85,-6.20
4-September-2025,1969.95,1971.20,1946.65,1949.90,1955.342116063366986784,60915,9220,119109665.00,,,24.55,-20.05
3-September-2025,1949.95,1964.00,1930.95,1960.40,1947.233622864138637059,94751,5084,184502333.00,69066,72.89,33.05,10.45
2-September-2025,1968.00,1974.60,1940.50,1942.50,1955.445947596653026323,32746,2576,64033033.00,19152,58.49,34.10,-25.50
1-September-2025,1957.05,1972.00,1955.65,1967.65,1961.374019018336453464,80659,3527,158202467.00,58884,73.00,16.35,10.60
29-August-2025,1946.10,1984.85,1946.10,1960.35,1970.193638415760311922,48730,3331,96007536.00,20777,42.64,38.75,14.25
28-August-2025,1950.00,1966.50,1940.95,1946.10,1952.763080840229153405,15710,1334,30677908.00,6803,43.30,25.55,-3.90
26-August-2025,1970.95,1981.90,1960.50,1965.30,1966.397722858140693855,509674,27482,1002221793.00,23228,4.56,21.40,-5.65
25-August-2025,1982.95,1996.95,1977.25,1983.45,1984.453514136311264734,101547,6676,201515301.00,16253,16.01,19.70,0.50
22-August-2025,2007.55,2018.00,1981.00,1986.60,1996.580248913366269809,37041,2323,73955329.00,12276,33.14,37.00,-20.95
21-August-2025,2035.05,2037.40,2012.05,2017.60,2020.226927865078805815,42573,2667,86007121.00,21781,51.16,25.35,-17.45
20-August-2025,2013.00,2024.20,2006.15,2018.35,2017.960676187035311567,52589,6277,106122534.00,34331,65.28,18.05,5.35
19-August-2025,1990.05,2032.90,1990.05,2030.10,2021.772417128286292095,227460,6710,459872354.00,191179,84.05,42.85,40.05
18-August-2025,1991.30,2025.95,1991.30,2001.30,2016.140662899313619239,310032,14239,625068122.00,220375,71.08,34.65,10.00
14-August-2025,1989.55,1993.30,1975.60,1978.95,1984.424716405976712807,240132,7476,476523876.00,176380,73.45,17.70,-10.60
13-August-2025,1973.85,1995.95,1962.70,1988.15,1988.773479875589983484,119283,4235,237226867.00,94235,79.00,33.25,14.30
12-August-2025,1979.80,1985.25,1956.60,1958.95,1967.623383644398624565,159077,6066,313003625.00,137741,86.59,28.65,-20.85
11-August-2025,1960.05,2017.00,1956.45,1976.85,1966.824329452666887019,81687,2702,160663979.00,69387,84.94,60.55,16.80
8-August-2025,1988.00,1999.00,1948.25,1950.90,1987.020302455020062993,463540,3107,921063391.00,450588,97.21,50.75,-37.10
7-August-2025,1981.00,1995.00,1970.10,1992.35,1976.921334584801742610,169401,3652,334892451.00,108153,63.84,24.90,11.35
6-August-2025,2001.90,2025.00,1993.15,2002.15,2010.151714906298934181,39594,4126,79589947.00,20988,53.01,31.85,0.25
5-August-2025,2007.00,2007.00,1995.00,2003.00,2000.805395359530971586,52193,1643,104428036.00,45361,86.91,12.00,-4.00
4-August-2025,1990.00,2007.00,1983.00,1996.95,1996.425176511107284312,11614,931,23186482.00,4681,40.30,24.00,6.95
1-August-2025,1978.60,2006.10,1973.70,1992.10,1994.130405680693789651,68724,5065,137044618.00,37848,55.07,32.40,13.50
31-July-2025,1949.95,1998.00,1934.90,1978.60,1971.239845280062671367,102120,4915,201303013.00,32519,31.84,63.10,28.65
30-July-2025,1969.30,1981.00,1957.50,1959.80,1965.188218825665859564,52864,3420,103887710.00,16926,32.02,23.50,-9.50
29-July-2025,1967.00,1980.00,1953.35,1973.00,1968.231501997515694766,119148,6405,234510847.00,27530,23.11,26.65,6.00
28-July-2025,2023.00,2056.05,1960.10,1965.60,1984.793104777427809960,363208,23132,720892734.00,172710,47.55,95.95,-57.40
25-July-2025,2144.90,2146.05,2118.35,2124.95,2127.212979556328838625,57475,2667,122261566.00,37249,64.81,27.70,-19.95
24-July-2025,2169.60,2169.60,2140.00,2141.45,2148.930221090476463804,383282,2425,823646273.00,370570,96.68,29.60,-28.15
23-July-2025,2160.00,2179.60,2158.00,2169.80,2166.728295250132070803,149541,4563,324014716.00,127963,85.57,21.60,9.80
22-July-2025,2165.00,2171.85,2145.60,2159.95,2155.400180298311752171,24404,1628,52600386.00,14514,59.47,26.25,-5.05
21-July-2025,2140.75,2167.55,2131.50,2164.65,2156.678372105873901751,36194,2651,78058817.00,17318,47.85,36.05,23.90
18-July-2025,2171.10,2171.10,2130.70,2140.75,2143.574061014172941738,43957,4197,94225085.00,16811,38.24,40.40,-30.35
