Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,28.45,29.70,28.45,29.16,29.286240146895331889,578371,1481,16938312.00,,,1.25,0.71
9-September-2025,28.56,28.81,28.36,28.45,28.531792591954703495,92899,542,2650575.00,57274,61.65,0.45,-0.11
8-September-2025,28.66,29.36,28.50,28.56,28.860993555081858586,159971,888,4616922.00,95191,59.51,0.86,-0.10
5-September-2025,28.40,28.73,28.13,28.58,28.392373036466015654,92881,551,2637112.00,38951,41.94,0.60,0.18
4-September-2025,29.03,29.28,28.20,28.43,28.875935065338175497,64434,395,1860592.00,,,1.08,-0.60
3-September-2025,29.99,29.99,28.66,28.83,28.784637024302570915,76782,335,2210142.00,50658,65.98,1.33,-1.16
2-September-2025,28.01,29.11,28.01,28.61,28.858272986790961727,124006,504,3578599.00,77589,62.57,1.10,0.60
1-September-2025,27.74,28.31,27.73,28.21,27.982063027153207513,181636,819,5082550.00,101726,56.01,0.58,0.47
29-August-2025,27.60,28.07,27.53,27.75,27.796598499941403961,204792,880,5692521.00,130898,63.92,0.54,0.15
28-August-2025,28.16,28.28,27.50,27.69,27.752895974674980693,156683,1163,4348407.00,113743,72.59,0.78,-0.47
26-August-2025,29.00,29.11,28.10,28.20,28.522760216312649829,71748,401,2046451.00,35905,50.04,1.01,-0.80
25-August-2025,28.66,29.22,28.66,28.86,28.915320591471975916,158114,757,4571917.00,100845,63.78,0.56,0.20
22-August-2025,29.50,29.50,28.67,28.86,29.046711153479504289,87067,730,2529010.00,56273,64.63,0.83,-0.64
21-August-2025,29.64,29.90,29.20,29.51,29.557807686071023187,74004,389,2187396.00,40936,55.32,0.70,-0.13
20-August-2025,29.05,29.55,29.04,29.34,29.284358547206600114,239511,742,7013926.00,156135,65.19,0.51,0.29
19-August-2025,28.40,29.22,28.22,29.17,28.730119370869409293,195190,805,5607832.00,110126,56.42,1.00,0.77
18-August-2025,28.20,28.67,28.16,28.38,28.457534214691369518,171856,657,4890598.00,69760,40.59,0.51,0.18
14-August-2025,28.02,28.37,27.95,28.14,28.156842617676938706,94496,594,2660709.00,46259,48.95,0.42,0.12
13-August-2025,28.00,28.43,28.00,28.19,28.297149329809326033,31782,221,899340.00,21120,66.45,0.43,0.19
12-August-2025,28.38,28.38,28.02,28.22,28.155793646810859637,39854,390,1122121.00,18909,47.45,0.36,-0.16
11-August-2025,28.01,28.20,27.87,28.10,28.079837171435217492,214950,746,6035761.00,151228,70.35,0.33,0.09
8-August-2025,28.79,28.82,27.80,27.97,28.313917921806821970,275932,1415,7812716.00,132882,48.16,1.02,-0.82
7-August-2025,28.33,28.60,27.90,28.47,28.190334458943510206,294655,1024,8306423.00,191794,65.09,0.70,0.14
6-August-2025,28.95,29.03,28.28,28.34,28.535115423933110572,65541,431,1870220.00,33107,50.51,0.75,-0.61
5-August-2025,29.05,29.30,28.65,28.69,28.836785587504437344,112680,774,3249329.00,55592,49.34,0.65,-0.36
4-August-2025,29.22,29.22,28.56,29.05,28.889506352763535758,209279,926,6045967.00,99701,47.64,0.66,-0.17
1-August-2025,29.01,29.38,28.60,28.67,28.963710694998233483,198130,993,5738580.00,99152,50.04,0.78,-0.34
31-July-2025,29.15,29.54,28.57,29.18,29.121710252833639714,216506,898,6305025.00,94358,43.58,0.97,0.03
30-July-2025,29.97,30.06,29.35,29.48,29.725242626278854088,136939,803,4070545.00,70586,51.55,0.71,-0.49
29-July-2025,29.49,29.80,29.17,29.68,29.379989263740347689,121085,502,3557476.00,74164,61.25,0.63,0.19
28-July-2025,29.69,30.20,29.43,29.56,29.818261741725380452,161518,625,4816186.00,99218,61.43,0.77,-0.13
25-July-2025,30.90,30.90,29.80,29.93,30.211223673687016795,337590,1768,10199007.00,208622,61.80,1.10,-0.97
24-July-2025,31.57,31.57,30.66,30.93,30.932294374727730076,284644,1259,8804692.00,131204,46.09,0.91,-0.64
23-July-2025,31.47,31.54,31.00,31.13,31.156129453730971836,192872,1148,6009145.00,102000,52.88,0.54,-0.34
22-July-2025,31.70,32.20,31.31,31.47,31.659908374769540197,178990,1071,5666807.00,95384,53.29,0.89,-0.23
21-July-2025,33.06,33.06,31.91,31.98,32.352943610111290389,241710,804,7820030.00,91301,37.77,1.15,-1.08
18-July-2025,32.94,32.94,32.00,32.27,32.155680273909743915,56661,331,1821973.00,21561,38.05,0.94,-0.67
17-July-2025,33.39,33.39,32.18,32.29,32.559959109648929352,385421,1201,12549292.00,255611,66.32,1.21,-1.10
16-July-2025,32.15,33.49,32.15,32.81,32.975080410424315704,588854,2032,19417508.00,395232,67.12,1.34,0.66
15-July-2025,31.59,32.74,31.59,32.16,32.324451286388202492,151354,420,4892435.00,70555,46.62,1.15,0.57
14-July-2025,31.48,31.95,31.13,31.57,31.513364370068125033,55633,385,1753183.00,24955,44.86,0.82,0.09
11-July-2025,32.07,32.15,31.39,31.45,31.667878266137389003,125454,632,3972862.00,42339,33.75,0.76,-0.62
10-July-2025,32.58,32.58,31.75,31.84,31.943421811437210679,256636,1235,8197832.00,93046,36.26,0.83,-0.74
9-July-2025,32.75,32.75,31.93,32.22,32.190527764215011762,112645,606,3626102.00,27242,24.18,0.82,-0.53
8-July-2025,32.30,32.62,31.78,32.04,32.179686407670028962,200260,1048,6444304.00,120001,59.92,0.84,-0.26
7-July-2025,32.71,33.12,32.25,32.36,32.582930262777938203,110816,613,3610710.00,66246,59.78,0.87,-0.35
4-July-2025,33.11,33.40,32.70,32.91,33.019694942809777703,156233,791,5158766.00,76402,48.90,0.70,-0.20
3-July-2025,33.39,33.39,32.66,32.79,32.812547878438892973,194503,1116,6382139.00,97880,50.32,0.73,-0.60
2-July-2025,33.47,33.53,32.64,32.86,33.058524931755818947,281709,1617,9312884.00,140433,49.85,0.89,-0.61
1-July-2025,33.00,33.50,32.37,33.21,32.969599564344111573,282792,1127,9323539.00,121066,42.81,1.13,0.21
30-June-2025,32.02,33.55,32.02,32.98,32.836597184539506655,578662,2101,19001291.00,268629,46.42,1.53,0.96
27-June-2025,30.38,32.72,30.38,32.23,31.698635088711080187,367936,1178,11663069.00,186950,50.81,2.34,1.85
26-June-2025,30.38,30.70,30.06,30.36,30.331882277221929670,85455,495,2592011.00,46601,54.53,0.64,-0.02
25-June-2025,30.00,30.51,30.00,30.38,30.316461069107308661,263865,1081,7999453.00,121338,45.98,0.51,0.38
24-June-2025,30.77,30.77,29.90,29.95,30.253207000180526500,376676,1615,11395657.00,178815,47.47,0.87,-0.82
