Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,104.40,106.85,104.40,106.25,106.040627144434167735,670340,5576,71083274.00,,,2.45,1.85
9-September-2025,104.40,104.80,103.80,104.30,104.332692391189733347,161221,1906,16820621.00,87137,54.05,1.00,-0.10
8-September-2025,104.10,104.85,103.80,104.20,104.390112611949815092,407772,3572,42567365.00,288112,70.66,1.05,0.10
5-September-2025,103.30,104.10,102.65,103.75,103.402255858018912296,223241,1605,23083623.00,71173,31.88,1.45,0.45
4-September-2025,104.65,105.20,103.15,103.40,103.727337278926330713,866114,4896,89839699.00,611573,70.61,2.05,-1.25
3-September-2025,102.80,104.50,102.65,104.30,103.836906110952213722,276209,2396,28680688.00,166390,60.24,1.85,1.50
2-September-2025,102.80,103.90,101.95,102.85,103.055546522373590909,485863,4206,50070877.00,259957,53.50,1.95,0.05
1-September-2025,101.00,102.45,101.00,102.30,101.884690557944754977,620617,4382,63231371.00,356414,57.43,1.45,1.30
29-August-2025,101.40,102.35,100.55,100.90,101.388848974163897193,803101,5693,81425486.00,289413,36.04,1.80,-0.50
28-August-2025,102.70,103.20,101.15,101.45,101.820725921220746286,412469,3447,41997893.00,167740,40.67,2.05,-1.25
26-August-2025,105.05,105.30,102.50,102.70,103.578813626617962360,365197,4585,37826672.00,197935,54.20,2.80,-2.35
25-August-2025,105.45,106.35,105.10,105.20,105.721049495124562848,421193,4149,44528966.00,226833,53.85,1.25,-0.25
22-August-2025,107.00,107.65,105.15,105.30,106.060348075643523083,374229,2495,39690858.00,238140,63.63,2.50,-1.70
21-August-2025,107.55,108.00,107.05,107.15,107.372222682502473329,205189,2168,22031599.00,97671,47.60,0.95,-0.40
20-August-2025,107.35,108.05,107.00,107.05,107.397516490327150382,496958,5465,53372055.00,272551,54.84,1.05,-0.30
19-August-2025,106.70,108.00,106.35,107.90,107.364727242213186662,655435,5722,70370600.00,410218,62.59,1.65,1.20
18-August-2025,106.85,107.60,106.55,106.85,107.100807307906224192,296665,3111,31773061.00,154166,51.97,1.05,0.00
14-August-2025,106.80,107.10,105.90,106.25,106.379542879124597070,431527,3634,45905645.00,254143,58.89,1.20,-0.55
13-August-2025,107.00,107.30,106.25,106.65,106.837935613642799254,204826,1702,21883187.00,75381,36.80,1.05,-0.35
12-August-2025,106.85,107.25,106.10,106.55,106.652348022766458406,323634,3756,34516326.00,175734,54.30,1.15,-0.30
11-August-2025,103.95,106.70,103.85,106.50,105.708986216609332071,1082825,9206,114464333.00,618871,57.15,2.85,2.55
8-August-2025,104.80,104.90,103.50,104.05,104.305570547747960796,524347,4724,54692313.00,230777,44.01,1.40,-0.75
7-August-2025,103.05,105.00,102.65,104.80,103.884626745090951759,741437,5500,77023906.00,370146,49.92,2.35,1.75
6-August-2025,103.80,104.75,102.85,103.85,103.793668240687844844,414861,5514,43059945.00,204001,49.17,1.90,0.05
5-August-2025,104.85,105.10,103.30,103.65,104.156825503744785872,362237,4236,37729456.00,220240,60.80,1.80,-1.20
4-August-2025,102.75,104.95,102.75,104.65,104.116936768064642346,549485,6016,57210695.00,282001,51.32,2.20,1.90
1-August-2025,105.25,105.40,103.00,103.15,104.449375633461144149,1028082,6734,107382523.00,396505,38.57,2.40,-2.10
31-July-2025,106.65,107.35,103.95,105.40,105.630655007813813406,2373361,13305,250699677.00,721486,30.40,3.40,-1.25
30-July-2025,109.50,111.10,107.55,108.10,109.250234690074159875,2741914,14043,299554748.00,1377140,50.23,3.55,-1.40
29-July-2025,106.60,109.55,106.40,109.30,107.901566851627442226,517407,4060,55829026.00,159409,30.81,3.15,2.70
28-July-2025,108.55,109.35,106.55,106.75,107.974826252515504484,401013,3024,43299309.00,140964,35.15,2.80,-1.80
25-July-2025,110.45,111.30,108.10,108.35,109.371602268383488765,381946,2667,41774046.00,165445,43.32,3.20,-2.10
24-July-2025,110.15,111.00,108.25,110.65,109.764520435849950471,696570,3690,76458672.00,209264,30.04,2.75,0.50
23-July-2025,109.85,110.20,108.25,109.90,109.109579385935855251,543396,2989,59289709.00,230587,42.43,1.95,0.05
22-July-2025,112.95,113.00,109.20,109.30,110.516520387605750000,543026,5333,60013344.00,279408,51.45,3.80,-3.65
21-July-2025,113.20,113.75,111.70,112.55,112.580076319694721221,707550,7098,79656033.00,332538,47.00,2.05,-0.65
18-July-2025,113.90,114.85,113.10,113.35,113.851714833194859242,534396,4900,60841901.00,264469,49.49,1.75,-0.55
17-July-2025,115.00,115.60,113.10,113.75,114.116485131505358275,1196187,7451,136504656.00,554337,46.34,2.50,-1.25
16-July-2025,112.00,115.75,111.85,115.00,114.274909554774377093,1229197,11173,140466376.00,595588,48.45,3.90,3.00
15-July-2025,110.95,113.20,110.85,112.20,112.387498998445587551,624030,9088,70133171.00,314860,50.46,2.35,1.25
14-July-2025,110.65,112.45,110.15,110.70,111.188411638217225288,429241,6416,47726625.00,154414,35.97,2.30,0.05
11-July-2025,109.70,111.10,108.70,110.05,110.123154850019960970,1613148,3118,177644947.00,1172374,72.68,2.40,0.35
10-July-2025,111.15,111.40,109.30,109.70,110.359408353481441976,727529,6389,80289670.00,382431,52.57,2.10,-1.45
9-July-2025,111.95,112.60,110.80,111.00,111.614788064246365235,266661,3002,29763311.00,122742,46.03,1.80,-0.95
8-July-2025,112.35,112.85,111.35,112.00,112.127576035050303676,345104,3522,38695675.00,146849,42.55,1.50,-0.35
7-July-2025,110.65,112.75,110.60,112.50,112.134859039086652641,1194551,11057,133950808.00,851989,71.32,2.15,1.85
4-July-2025,110.80,111.05,109.85,110.85,110.582147439692673826,515153,3849,56966725.00,207960,40.37,1.20,0.05
3-July-2025,113.35,114.10,109.85,110.20,111.407835856005849357,1944829,12588,216669190.00,871586,44.82,4.25,-3.15
2-July-2025,113.35,114.15,112.40,113.85,113.292834192575076487,1302505,7664,147564483.00,540753,41.52,1.75,0.50
1-July-2025,110.75,113.50,109.30,113.05,111.920900234017651713,1778071,9143,199003307.00,784895,44.14,4.20,2.30
30-June-2025,106.65,110.65,106.65,110.50,109.617226294369812616,2026913,13235,222184581.00,1229238,60.65,4.00,3.85
27-June-2025,106.65,108.50,106.15,106.35,107.378007339948348511,743057,4523,79787980.00,233065,31.37,2.35,-0.30
26-June-2025,105.95,106.55,104.85,106.25,105.855774220422039398,713014,5305,75476649.00,315115,44.19,1.70,0.30
25-June-2025,105.50,106.25,105.15,105.95,105.821931797118986084,285941,1948,30258829.00,125056,43.73,1.10,0.45
24-June-2025,104.85,106.60,104.85,105.15,105.766078885532683252,536651,2824,56759472.00,209293,39.00,1.75,0.30
23-June-2025,102.00,104.30,102.00,103.90,103.398385195913470071,1126824,6610,116511782.00,557775,49.50,2.30,1.90
20-June-2025,101.00,104.20,100.90,103.10,102.763076605304443887,861768,4053,88557931.00,310628,36.05,3.30,2.10
