Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,275.40,275.40,263.20,271.40,270.747449007773575734,271561,3418,73524448.00,,,12.20,-4.00
9-September-2025,272.80,275.15,272.55,273.40,273.724812130821711312,89557,1429,24513973.00,27237,30.41,2.60,0.60
8-September-2025,275.60,277.10,271.45,272.75,274.811622774123041978,186668,2370,51298536.00,75163,40.27,5.65,-2.85
5-September-2025,266.00,278.80,266.00,275.85,275.298373049515499009,1015581,8036,279587797.00,318787,31.39,12.80,9.85
4-September-2025,271.90,271.90,264.95,265.45,266.544041557443421215,291452,2896,77684794.00,,,6.95,-6.45
3-September-2025,270.00,273.60,267.35,270.00,270.730482543686586708,518523,5399,140379982.00,176222,33.99,6.25,0.00
2-September-2025,266.00,270.90,263.65,269.60,267.732394414513619811,583011,5408,156090931.00,231740,39.75,7.25,3.60
1-September-2025,260.65,266.50,260.00,265.25,263.636438494631608791,405615,4210,106934894.00,169815,41.87,6.50,4.60
29-August-2025,251.05,267.25,251.05,261.15,261.861540423056541678,1505898,13393,394336770.00,557179,37.00,16.20,10.10
28-August-2025,255.00,256.25,243.40,251.65,250.318867457962413452,1302168,6736,325957219.00,814792,62.57,12.85,-3.35
26-August-2025,257.05,259.30,252.05,254.95,255.756581826256767965,153111,2392,39159146.00,53551,34.98,7.25,-2.10
25-August-2025,253.50,260.45,253.50,256.90,257.572352350882345742,408570,3218,105236336.00,252442,61.79,6.95,3.40
22-August-2025,254.15,257.70,251.85,253.25,253.559351211011633895,141741,1937,35939756.00,77877,54.94,5.85,-0.90
21-August-2025,256.85,257.90,253.10,254.30,256.024079787962522859,124129,1707,31780013.00,54271,43.72,4.80,-2.55
20-August-2025,261.95,261.95,255.50,256.80,257.676644329776553269,171316,2047,44144132.00,29531,17.24,6.45,-5.15
19-August-2025,260.35,262.25,254.95,261.55,258.513701072692000456,140208,2082,36245689.00,59704,42.58,7.30,1.20
18-August-2025,252.05,260.45,252.05,259.20,257.196160983625319849,244646,3700,62922012.00,125811,51.43,8.40,7.15
14-August-2025,256.70,256.70,250.85,251.85,253.962926213935743898,130011,1166,33017974.00,69956,53.81,5.85,-4.85
13-August-2025,254.95,258.05,252.10,253.75,255.983612843333131521,99102,1309,25368488.00,33875,34.18,5.95,-1.20
12-August-2025,259.00,259.60,251.55,253.15,256.907749770469910691,95848,1286,24624094.00,39984,41.72,8.05,-5.85
11-August-2025,263.25,265.70,257.00,258.15,260.839972689174553844,212370,2695,55394585.00,76663,36.10,8.70,-5.10
8-August-2025,267.45,271.30,260.00,262.10,267.094521935634691810,410656,4217,109683968.00,154415,37.60,11.30,-5.35
7-August-2025,256.05,269.85,256.05,267.50,263.279377596130863298,464393,4872,122265100.00,160768,34.62,13.80,11.45
6-August-2025,265.35,266.50,257.20,260.05,261.753229672423329850,162710,2175,42589868.00,55061,33.84,9.30,-5.30
5-August-2025,260.30,266.85,260.30,265.35,264.509149646356777177,186346,2468,49290222.00,59223,31.78,6.55,5.05
4-August-2025,261.65,266.00,256.55,265.25,262.375807814182151995,327891,3574,86030666.00,96415,29.40,9.45,3.60
1-August-2025,264.15,268.80,257.75,259.20,263.910545384789126338,323203,3336,85296680.00,51925,16.07,11.05,-4.95
31-July-2025,259.00,270.00,255.75,266.80,265.742669504829692310,837631,9386,222594298.00,349246,41.69,14.25,7.80
30-July-2025,255.20,263.00,253.70,261.75,259.878193830937829188,795518,7683,206737781.00,426623,53.63,9.30,6.55
29-July-2025,255.55,256.95,250.60,256.00,254.296896166950914132,267959,3160,68141142.00,95741,35.73,6.35,0.45
28-July-2025,253.65,263.65,251.75,253.35,259.259162564216425623,522452,6854,135450468.00,202995,38.85,11.90,-0.30
25-July-2025,255.00,258.00,251.30,254.65,254.583995235978427705,238454,3655,60706572.00,97088,40.72,6.70,-0.35
24-July-2025,258.20,260.15,255.50,256.15,257.477239248525879934,236921,2779,61001765.00,94065,39.70,4.65,-2.05
23-July-2025,257.10,259.95,252.50,258.85,256.392612881641962734,303393,2803,77787724.00,133499,44.00,7.45,1.75
22-July-2025,261.10,262.55,254.20,256.00,257.488888795625186235,476546,4254,122705300.00,208418,43.74,8.35,-5.10
21-July-2025,255.60,263.35,254.70,260.95,258.192405168170231846,820716,7290,211902638.00,331884,40.44,8.65,5.35
18-July-2025,271.95,272.90,260.55,263.15,267.832522027361151761,556921,7102,149161556.00,175054,31.43,12.35,-8.80
17-July-2025,270.45,271.85,264.20,268.70,267.767414677733005245,577487,7214,154632201.00,202240,35.02,7.65,-1.75
16-July-2025,263.45,270.50,263.00,269.40,268.835909760763900858,928288,11846,249557149.00,401325,43.23,7.50,5.95
15-July-2025,263.50,266.90,261.45,263.30,264.374930436255413874,247974,2657,65558109.00,77742,31.35,5.45,-0.20
14-July-2025,264.15,265.35,260.85,263.35,263.048923078671219412,176011,4213,46299504.00,56404,32.05,4.50,-0.80
11-July-2025,253.25,265.70,252.50,264.10,260.833943540153342914,307546,4294,80218436.00,112257,36.50,13.20,10.85
10-July-2025,258.05,261.75,252.35,254.05,256.708126868936042050,278902,2571,71596410.00,70739,25.36,9.40,-4.00
9-July-2025,249.35,261.50,249.35,260.55,257.713231837712938870,604164,6723,155701057.00,339549,56.20,12.15,11.20
8-July-2025,253.05,254.85,249.70,250.00,252.027428437775498821,222324,3025,56031746.00,78936,35.50,5.15,-3.05
7-July-2025,251.90,256.50,250.40,254.75,254.198949291119422458,287425,4701,73063133.00,91637,31.88,6.10,2.85
4-July-2025,253.00,256.25,249.55,253.90,253.523166521626868383,418276,4935,106042656.00,173098,41.38,6.70,0.90
3-July-2025,249.30,257.20,248.10,253.25,253.826282143272961608,738646,8867,187487768.00,184063,24.92,9.10,3.95
2-July-2025,261.60,266.95,248.25,249.30,259.407755170028831934,5126954,14145,1329971628.00,3271822,63.82,18.70,-12.30
1-July-2025,248.35,260.50,247.00,259.95,254.667586595469942903,1167844,11585,297412013.00,648668,55.54,13.50,11.60
30-June-2025,240.15,249.80,240.15,248.60,246.608680627453776776,729233,6959,179835188.00,284341,38.99,9.65,8.45
27-June-2025,239.75,242.00,234.50,239.55,238.973450440543963921,718430,4512,171685696.00,151927,21.15,7.50,-0.20
26-June-2025,236.00,239.10,233.85,237.35,236.410326806617348470,453112,3569,107120356.00,202792,44.76,5.25,1.35
25-June-2025,235.10,243.70,232.10,235.85,238.033744855967078189,547965,5194,130434161.00,136369,24.89,11.60,0.75
24-June-2025,236.75,238.15,233.70,236.00,236.440982266881057315,566567,5749,133959658.00,354974,62.65,4.45,-0.75
23-June-2025,223.70,234.85,223.70,234.10,232.961890226540165605,1404784,6500,327261136.00,1104142,78.60,11.15,10.40
20-June-2025,222.00,229.15,222.00,228.25,226.752942307772709598,478366,3538,108470898.00,215920,45.14,7.15,6.25
19-June-2025,228.25,228.90,219.70,224.20,225.352770361936418374,435629,4752,98170202.00,144648,33.20,9.20,-4.05
18-June-2025,218.75,229.00,216.85,228.45,225.244865865065825035,734447,6595,165430416.00,364489,49.63,12.15,9.70
17-June-2025,217.80,219.95,215.50,219.10,217.889252031340684852,275680,1588,60067709.00,77875,28.25,4.45,1.30
16-June-2025,219.60,219.75,214.20,217.10,216.944755214828943829,327144,3697,70972175.00,92500,28.28,5.55,-2.50
13-June-2025,215.05,222.40,215.05,220.25,220.142192763789316379,310494,4001,68352830.00,106728,34.37,7.35,5.20
12-June-2025,220.25,224.80,220.25,223.10,223.084535468255445913,268550,3319,59909352.00,107498,40.03,4.55,2.85
11-June-2025,221.80,223.45,217.55,220.25,221.045957220724532163,203276,2396,44933338.00,55917,27.51,5.90,-1.55
10-June-2025,230.20,230.65,220.85,221.85,223.738812027186944318,484203,3187,108335004.00,150728,31.13,9.80,-8.35
9-June-2025,219.50,231.30,219.45,230.15,227.125924849309208180,729308,7211,165644754.00,272279,37.33,11.85,10.65
6-June-2025,207.25,220.00,205.60,217.40,214.064527742686223645,2177637,9483,466154836.00,1439011,66.08,14.40,10.15
5-June-2025,211.20,213.70,206.20,206.75,207.029664528213028089,2225284,2755,460699800.00,2115641,95.07,7.50,-4.45
