Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,28.66,29.35,28.65,29.06,29.073088348733772095,913935,2889,26570913.00,,,0.70,0.40
9-September-2025,28.71,28.86,28.49,28.56,28.603714616892894671,369244,1883,10561750.00,212137,57.45,0.37,-0.15
8-September-2025,28.99,29.12,28.50,28.67,28.815674768672532479,924339,2465,26635452.00,391003,42.30,0.62,-0.32
5-September-2025,28.69,28.78,28.28,28.69,28.437004694654276385,258805,789,7359639.00,111656,43.14,0.50,0.00
4-September-2025,29.00,29.08,28.29,28.37,28.595281186382824068,407221,1301,11644599.00,310896,76.35,0.79,-0.63
3-September-2025,28.90,29.00,28.71,28.76,28.802964145812021258,200395,1127,5771970.00,107926,53.86,0.29,-0.14
2-September-2025,28.46,29.19,28.46,28.85,28.937750720636255793,715687,2414,20710372.00,361365,50.49,0.73,0.39
1-September-2025,28.21,28.65,28.14,28.59,28.342858820627855356,425735,2103,12066547.00,203451,47.79,0.51,0.38
29-August-2025,28.17,28.49,27.90,28.22,28.251212188675947408,1567619,3883,44287137.00,1181836,75.39,0.59,0.05
28-August-2025,28.05,28.34,28.02,28.19,28.195236962065479535,592521,3680,16706270.00,324275,54.73,0.32,0.14
26-August-2025,28.83,29.15,28.36,28.45,28.568606637189330694,250588,1806,7158950.00,131169,52.34,0.79,-0.38
25-August-2025,28.87,29.32,28.70,28.81,28.997649103864429103,522354,2511,15147038.00,332997,63.75,0.62,-0.06
22-August-2025,29.34,29.40,28.65,28.92,28.947335384803808998,522552,3249,15126488.00,226903,43.42,0.75,-0.42
21-August-2025,29.10,29.60,29.10,29.25,29.317860441397285888,882425,1996,25870813.00,371220,42.07,0.50,0.15
20-August-2025,29.39,29.40,28.97,29.26,29.228772912358222758,389255,2430,11377446.00,227738,58.51,0.43,-0.13
19-August-2025,28.46,29.29,28.27,29.19,28.838756383930921918,417846,1761,12050159.00,234700,56.17,1.02,0.73
18-August-2025,28.43,28.65,28.20,28.46,28.465826565967456175,661508,3017,18830372.00,451648,68.28,0.45,0.03
14-August-2025,28.13,28.45,27.90,28.08,28.136377060800168014,609472,3181,17148334.00,321670,52.78,0.55,-0.05
13-August-2025,28.49,28.60,28.02,28.05,28.237987323461327574,534373,3263,15089618.00,293159,54.86,0.58,-0.44
12-August-2025,28.30,28.42,27.94,28.33,28.151319675632120538,660238,3346,18586571.00,248403,37.62,0.48,0.03
11-August-2025,28.23,28.30,27.82,28.08,28.016394939946111339,656910,2568,18404250.00,284814,43.36,0.48,-0.15
