Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,164.80,168.15,164.55,166.75,166.391595784582995559,82649,1296,13752099.00,,,3.60,1.95
9-September-2025,164.25,165.15,163.10,163.35,163.936996294468793235,103359,1926,16944364.00,75669,73.21,2.05,-0.90
8-September-2025,163.30,165.45,163.25,164.60,164.560389046612087929,187741,2537,30894732.00,115266,61.40,2.20,1.30
5-September-2025,163.00,164.30,161.50,163.40,163.314212439942864563,123216,1142,20122924.00,27349,22.20,2.80,0.40
4-September-2025,165.10,166.25,162.25,162.45,164.100810953555693722,149577,1218,24545707.00,,,4.00,-2.65
3-September-2025,162.05,165.45,162.00,164.60,164.442721784371727421,239681,2855,39413796.00,123024,51.33,3.45,2.55
2-September-2025,161.85,163.35,160.25,162.05,162.145143899151668913,126130,1482,20451367.00,44548,35.32,3.10,0.20
1-September-2025,162.00,163.40,159.55,161.25,161.249231555393823021,258314,4493,41652934.00,132945,51.47,3.85,-0.75
29-August-2025,163.00,165.55,161.35,161.85,163.513694889621710180,95218,1366,15569447.00,32881,34.53,4.20,-1.15
28-August-2025,165.20,165.80,162.60,162.80,163.949980732177263969,90825,1452,14890757.00,49967,55.01,3.20,-2.40
26-August-2025,170.00,171.35,164.95,165.80,166.948122891106844674,225533,4483,37652311.00,111333,49.36,6.40,-4.20
25-August-2025,172.90,174.20,171.05,171.45,172.845663841807909604,141600,1395,24474946.00,95790,67.65,3.15,-1.45
22-August-2025,176.00,176.45,172.80,173.10,173.998876453048701439,92564,1401,16106032.00,44666,48.25,3.65,-2.90
21-August-2025,174.05,177.40,173.75,176.80,176.115671837162117939,305580,3283,53817427.00,145489,47.61,3.65,2.75
20-August-2025,173.05,175.80,172.20,174.30,174.168924784930677961,266077,2814,46342345.00,129286,48.59,3.60,1.25
19-August-2025,166.95,174.40,165.50,174.10,171.691285218962151452,171605,2191,29463083.00,75632,44.07,8.90,7.15
18-August-2025,164.80,169.20,164.80,167.00,167.479469958250136140,137725,1613,23066110.00,50878,36.94,4.40,2.20
14-August-2025,165.60,165.65,163.05,163.35,164.008376322927192469,75212,1098,12335398.00,32641,43.40,2.60,-2.25
13-August-2025,166.65,168.30,164.80,165.55,166.242714734398470572,109845,1888,18260931.00,51725,47.09,3.50,-1.10
12-August-2025,166.05,167.85,165.75,166.70,166.751653359515385042,53981,926,9001421.00,18615,34.48,2.10,0.65
11-August-2025,164.80,166.50,164.00,165.90,165.654479030533444220,67336,928,11154510.00,29583,43.93,2.50,1.10
8-August-2025,166.65,168.75,164.80,165.10,166.950422014753019889,71443,1272,11927439.00,29903,41.86,3.95,-1.55
7-August-2025,164.45,166.80,162.30,166.05,164.010460402199654798,249130,1542,40859926.00,163743,65.73,4.50,1.60
6-August-2025,166.50,166.85,164.00,164.50,165.083205855443732845,136625,2768,22554493.00,53463,39.13,2.85,-2.00
5-August-2025,167.75,168.70,164.60,165.90,166.185326345878989995,109148,2540,18138796.00,51987,47.63,4.10,-1.85
4-August-2025,163.50,168.65,163.00,168.10,166.170044999596416175,198224,2024,32938891.00,63626,32.10,5.65,4.60
1-August-2025,167.90,168.40,163.00,163.40,165.667460559937784690,144016,1931,23858765.00,61906,42.99,5.40,-4.50
31-July-2025,167.25,169.70,166.45,168.05,168.216474164473426874,178959,2205,30103852.00,52636,29.41,3.25,0.80
30-July-2025,173.80,173.95,167.90,168.20,170.465028967370033388,206957,2679,35278931.00,99920,48.28,6.05,-5.60
29-July-2025,174.55,176.80,172.35,173.30,173.804510637740225531,152617,2012,26525523.00,68005,44.56,4.45,-1.25
28-July-2025,178.00,178.85,174.40,174.90,176.176520671848911396,180874,2465,31865752.00,64885,35.87,4.45,-3.10
25-July-2025,183.95,183.95,176.80,178.10,179.057215441417232151,442835,6354,79292802.00,202440,45.71,7.15,-5.85
24-July-2025,181.75,184.60,181.35,184.20,183.285583621377293273,188050,2646,34466854.00,78366,41.67,3.25,2.45
23-July-2025,180.65,181.80,179.65,181.35,180.634264857360383357,223290,2818,40333825.00,134998,60.46,2.15,0.70
22-July-2025,182.10,182.90,178.60,180.95,180.624426640572442052,425126,5043,76788140.00,193167,45.44,4.30,-1.15
21-July-2025,180.55,184.20,178.65,182.25,182.048731863993797762,1137654,10002,207108468.00,503711,44.28,5.55,1.70
18-July-2025,184.10,188.25,183.90,187.20,186.328313947006577724,403635,3755,75208629.00,144313,35.75,4.35,3.10
17-July-2025,184.65,185.80,182.35,185.10,184.665010922708831790,422972,4652,78108129.00,236004,55.80,3.45,0.45
16-July-2025,180.10,184.15,179.15,183.70,182.542169660502763056,317764,3129,58005330.00,108034,34.00,5.00,3.60
15-July-2025,175.45,182.00,175.45,180.10,180.285415431936052007,595609,6666,107379616.00,242174,40.66,6.55,4.65
14-July-2025,175.00,177.10,174.50,175.15,175.317767181507204312,96470,1507,16912905.00,48438,50.21,2.60,0.15
11-July-2025,178.20,179.65,174.90,175.50,176.070921853181727508,160416,1214,28244593.00,82698,51.55,4.75,-2.70
10-July-2025,178.00,179.00,177.20,178.05,178.108842544621356956,137042,1250,24408392.00,82656,60.31,1.80,0.05
9-July-2025,175.20,178.45,175.00,178.00,177.086397228982218307,334895,3013,59305349.00,97768,29.19,3.45,2.80
8-July-2025,177.30,178.30,173.80,174.90,175.201167911021885509,272966,4471,47823962.00,137585,50.40,4.50,-2.40
7-July-2025,179.75,180.50,177.05,177.50,178.205502989033611781,126295,1384,22506464.00,65463,51.83,3.45,-2.25
4-July-2025,181.00,182.25,176.70,179.95,179.642011243714526188,370696,3948,66592575.00,119482,32.23,5.55,-1.05
3-July-2025,187.90,188.40,183.00,183.85,184.559849891967704029,131905,1770,24344367.00,49808,37.76,5.40,-4.05
2-July-2025,188.55,190.90,187.10,187.80,188.975344915687276443,305292,2834,57692661.00,89530,29.33,3.80,-0.75
1-July-2025,189.85,190.45,185.70,187.15,187.387827379138677029,426646,4449,79948267.00,173684,40.71,4.75,-2.70
30-June-2025,185.80,192.45,185.75,189.85,190.071745912206244982,382419,3741,72687047.00,151221,39.54,6.70,4.05
27-June-2025,185.00,187.35,183.55,185.55,185.626051112943116240,169820,1894,31523016.00,61891,36.44,3.80,0.55
26-June-2025,182.60,185.70,181.55,185.00,184.206802449651398502,280693,2623,51705560.00,124324,44.29,4.15,2.40
25-June-2025,180.00,183.00,180.00,181.95,181.586651011777109516,166934,1603,30312986.00,68615,41.10,3.00,1.95
24-June-2025,180.55,183.00,179.45,180.15,181.001183024593505140,551975,3507,99908128.00,272260,49.32,3.55,-0.40
23-June-2025,178.00,180.75,177.50,180.25,179.022430507981980859,192684,1877,34494758.00,77051,39.99,3.25,2.25
