Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,112.90,117.85,112.90,117.50,116.368305732119611087,419426,3310,48807893.00,,,4.95,4.60
9-September-2025,113.20,113.90,112.50,112.65,112.834051504074172401,97934,1033,11050290.00,34303,35.03,1.40,-0.55
8-September-2025,113.50,114.10,112.55,113.15,113.477874445981755505,85286,1127,9678074.00,37905,44.44,1.55,-0.35
5-September-2025,112.25,113.10,111.40,112.55,112.376454608278458691,125893,1778,14147409.00,50060,39.76,1.70,0.30
4-September-2025,113.95,114.70,112.05,112.15,113.140579080951108736,179664,2387,20327289.00,,,2.65,-1.80
3-September-2025,112.95,113.75,112.85,113.60,113.349261833285355923,72951,925,8268942.00,27009,37.02,0.90,0.65
2-September-2025,112.45,113.85,111.55,112.90,112.921814026251970060,171949,1680,19416793.00,76324,44.39,2.30,0.45
1-September-2025,110.95,112.10,110.70,111.85,111.414841588303162107,195882,1790,21824162.00,81958,41.84,1.40,0.90
29-August-2025,111.40,111.75,109.80,110.35,110.654734582190450161,303691,2480,33604847.00,127695,42.05,1.95,-1.05
28-August-2025,112.10,112.70,110.10,110.35,111.264363782788771283,347680,2944,38684394.00,196519,56.52,2.60,-1.75
26-August-2025,114.60,114.95,112.20,112.45,113.215740674189606842,139130,1276,15751706.00,50764,36.49,2.75,-2.15
25-August-2025,115.15,116.15,114.75,114.85,115.320219378427787934,123075,1297,14193036.00,59038,47.97,1.40,-0.30
22-August-2025,115.60,116.80,115.20,115.35,116.016279228345009353,337301,2739,39132407.00,197155,58.45,1.60,-0.25
21-August-2025,116.80,117.00,115.80,115.95,116.392047016772064888,116384,1485,13546172.00,53282,45.78,1.20,-0.85
20-August-2025,116.20,117.30,116.00,116.25,116.621167397952399946,112815,1184,13156617.00,49544,43.92,1.30,0.05
19-August-2025,114.80,116.65,114.40,116.45,115.879699032509959456,453338,5209,52532671.00,343795,75.84,2.25,1.65
18-August-2025,114.10,115.25,113.95,114.95,114.848799232266905727,253213,2056,29081209.00,134152,52.98,1.30,0.85
14-August-2025,113.90,113.90,112.65,113.15,113.195322435200813891,86498,794,9791169.00,37301,43.12,1.25,-0.75
13-August-2025,113.45,114.50,112.85,113.50,113.713083330089907756,102772,1092,11686521.00,43307,42.14,1.65,0.05
12-August-2025,113.20,113.90,112.90,113.45,113.437200235287019999,265208,2285,30084453.00,113683,42.87,1.00,0.25
11-August-2025,110.45,113.40,110.45,113.25,112.438989452480205914,178715,1244,20094534.00,101514,56.80,2.95,2.80
8-August-2025,112.00,112.05,110.25,110.60,111.139784768894569743,121265,839,13477366.00,53491,44.11,1.80,-1.40
7-August-2025,110.40,112.10,109.30,111.90,110.872752294043864860,393846,2805,43666790.00,151009,38.34,2.80,1.50
6-August-2025,111.05,112.55,110.00,111.70,111.233505300507194322,551268,2921,61319472.00,333495,60.50,2.55,0.65
5-August-2025,111.70,112.20,110.25,110.80,111.364942035208243881,232900,2241,25936895.00,105863,45.45,1.95,-0.90
4-August-2025,109.60,111.85,109.40,111.70,110.776855389507329135,363549,2653,40272815.00,176299,48.49,2.45,2.10
1-August-2025,111.45,111.70,109.00,109.30,110.335155550420289436,553904,4423,61115084.00,215413,38.89,2.70,-2.15
31-July-2025,112.25,113.55,111.00,111.45,112.123715716833725575,701948,5126,78705018.00,276641,39.41,2.55,-0.80
30-July-2025,113.30,116.10,113.00,114.30,115.066483285488610691,941936,7067,108385263.00,332879,35.34,3.10,1.00
29-July-2025,111.45,112.70,110.35,112.15,111.618269533665457175,342844,2950,38267654.00,114479,33.39,2.35,0.70
28-July-2025,113.30,115.25,111.20,111.50,113.030625721088936347,203685,2488,23022643.00,69942,34.34,4.05,-1.80
25-July-2025,114.55,116.40,112.70,113.05,114.201377419359365286,712637,2785,81384127.00,156298,21.93,3.70,-1.50
24-July-2025,113.15,115.00,112.20,114.55,113.639501049915881491,239543,1956,27221547.00,90611,37.83,2.80,1.40
23-July-2025,113.30,113.60,112.35,113.20,112.946216969058194684,332075,2854,37506615.00,143839,43.32,1.25,-0.10
22-July-2025,114.85,115.15,112.95,113.15,113.715365853658536585,410000,3851,46623300.00,247634,60.40,2.20,-1.70
21-July-2025,115.15,115.50,113.90,114.75,114.789153009938029957,201549,1396,23135639.00,81202,40.29,1.60,-0.40
18-July-2025,116.50,116.75,114.80,114.95,115.544895389227178406,308907,2829,35692627.00,155349,50.29,1.95,-1.55
17-July-2025,118.30,118.30,115.90,116.15,116.694985441857197498,256214,1486,29898889.00,113969,44.48,2.40,-2.15
16-July-2025,115.95,118.40,115.70,118.00,117.191169869833108907,294084,1622,34464048.00,133187,45.29,2.70,2.05
15-July-2025,115.10,116.35,114.85,115.75,115.552846614086399917,232153,2989,26825940.00,103355,44.52,1.50,0.65
14-July-2025,114.55,115.90,113.95,114.90,115.050136736554238833,197460,1383,22717800.00,72215,36.57,1.95,0.35
11-July-2025,114.35,115.40,113.60,114.55,114.675662973314700206,240432,1526,27571699.00,72644,30.21,1.80,0.20
10-July-2025,116.95,116.95,113.80,114.35,114.980662258175672349,243772,1456,28029066.00,137205,56.28,3.15,-2.60
9-July-2025,117.60,117.60,115.60,115.85,116.195073427581213224,284498,1172,33057266.00,135481,47.62,2.00,-1.75
8-July-2025,117.95,118.50,116.00,116.85,117.089245298834837519,250523,1222,29333549.00,90757,36.23,2.50,-1.10
7-July-2025,118.25,119.15,117.40,117.65,118.170338381626828936,264908,1627,31304268.00,79381,29.97,1.75,-0.60
4-July-2025,118.85,119.35,116.90,117.75,118.026118044436645976,227965,1767,26905824.00,86790,38.07,2.45,-1.10
3-July-2025,120.00,120.00,117.90,118.35,118.557142219201055864,201541,1303,23894125.00,93977,46.63,2.10,-1.65
2-July-2025,121.10,121.50,118.75,119.20,120.159497256151531244,547953,4937,65841757.00,221587,40.44,2.75,-1.90
1-July-2025,119.00,121.50,117.55,121.10,119.829420032201111695,488803,2219,58572980.00,215683,44.12,3.95,2.10
