Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,52.85,54.20,52.56,54.10,53.632780294797596063,881554,4592,47280192.00,,,1.64,1.25
9-September-2025,53.00,53.25,52.24,52.39,52.655503582062273265,470539,2751,24776468.00,238012,50.58,1.01,-0.61
8-September-2025,52.68,53.40,52.32,53.07,53.031078197012104540,499482,2814,26488069.00,300959,60.25,1.08,0.39
5-September-2025,52.09,52.75,51.85,52.65,52.264446475354901602,410325,2452,21445409.00,207202,50.50,0.90,0.56
4-September-2025,53.24,53.30,51.91,52.06,52.504090829723370111,481076,3100,25258458.00,,,1.39,-1.18
3-September-2025,52.61,52.94,52.46,52.88,52.703124396803541326,310844,1316,16382450.00,117937,37.94,0.48,0.27
2-September-2025,52.04,53.25,51.95,52.43,52.713363851360364333,637219,3208,33589957.00,259269,40.69,1.30,0.39
1-September-2025,51.83,52.57,51.71,52.05,52.030624461656650847,601382,4390,31290281.00,279075,46.41,0.86,0.22
29-August-2025,52.50,52.81,51.76,52.02,52.254969527180643289,575759,3603,30086269.00,277011,48.11,1.05,-0.48
28-August-2025,53.22,53.22,52.30,52.54,52.653704278879206552,573094,4226,30175522.00,277884,48.49,0.92,-0.68
26-August-2025,54.03,54.49,53.09,53.23,53.666214796606467404,576862,3717,30958000.00,238711,41.38,1.40,-0.80
25-August-2025,54.74,54.99,54.20,54.35,54.418535011770071156,298214,1808,16228369.00,124331,41.69,0.79,-0.39
22-August-2025,55.00,55.42,54.66,54.77,54.971126713554909611,494367,2671,27175911.00,238433,48.23,0.76,-0.23
21-August-2025,55.18,55.90,55.01,55.28,55.410500235261601029,607834,2907,33680386.00,297974,49.02,0.89,0.10
20-August-2025,55.11,55.77,54.94,55.19,55.194297121073525502,443846,2276,24497768.00,208058,46.88,0.83,0.08
19-August-2025,54.89,55.50,54.72,55.43,55.166510862299862749,420399,2697,23191946.00,244404,58.14,0.78,0.54
18-August-2025,54.60,55.48,54.60,54.89,54.990903978630676226,497910,3423,27380521.00,272829,54.79,0.88,0.29
14-August-2025,55.12,55.31,54.30,54.43,54.832765740879063561,394943,2710,21655817.00,173228,43.86,1.01,-0.69
13-August-2025,55.50,56.00,55.00,55.12,55.457981363360039196,220426,1206,12224381.00,112698,51.13,1.00,-0.38
12-August-2025,55.56,55.94,54.90,55.66,55.454235217597958690,479692,2637,26600953.00,306689,63.93,1.04,0.10
11-August-2025,55.90,56.19,55.22,55.48,55.665628227274922155,641989,3881,35736721.00,283647,44.18,0.97,-0.42
8-August-2025,53.76,55.92,53.76,55.68,55.396894938913142069,1155404,4194,64005794.00,426951,36.95,2.16,1.92
7-August-2025,53.71,53.90,52.26,53.56,53.220341158139230091,1098728,5023,58474679.00,596049,54.25,1.64,-0.15
6-August-2025,55.14,55.25,53.75,53.97,54.461213523928421570,674449,3361,36731311.00,279313,41.41,1.50,-1.17
5-August-2025,55.20,55.72,55.00,55.14,55.225051103843008994,391360,2075,21612876.00,190376,48.64,0.72,-0.06
4-August-2025,54.27,55.35,54.15,55.23,54.686479806053301864,358449,1793,19602314.00,139344,38.87,1.20,0.96
1-August-2025,56.01,56.28,53.90,54.21,55.027695678022837265,1174046,5694,64605046.00,593115,50.52,2.38,-1.80
31-July-2025,56.19,56.35,55.19,56.09,56.078970358814352574,448700,2240,25162634.00,172704,38.49,1.16,-0.10
30-July-2025,56.88,57.25,56.32,56.51,56.683838806247552289,301302,1315,17078954.00,148372,49.24,0.93,-0.37
29-July-2025,56.68,57.03,56.34,56.74,56.787311227505247926,785072,3717,44582128.00,377636,48.10,0.69,0.06
28-July-2025,56.83,57.39,56.24,56.88,56.988244133793765740,1172521,5641,66819913.00,832025,70.96,1.15,0.05
25-July-2025,57.11,57.38,56.60,56.71,56.996932197843666807,1555511,7010,88659355.00,902326,58.01,0.78,-0.40
24-July-2025,56.53,57.47,56.53,57.25,57.144962782535023752,1586352,6853,90652026.00,787278,49.63,0.94,0.72
23-July-2025,56.46,56.80,56.05,56.51,56.301149873794339645,738081,3686,41554809.00,386309,52.34,0.75,0.05
22-July-2025,56.82,57.14,56.17,56.38,56.638418709840728037,904679,4702,51239588.00,528275,58.39,0.97,-0.44
