Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,362.80,371.75,362.00,366.45,367.622478793590951932,21220,631,7800949.00,,,9.75,3.65
9-September-2025,357.35,363.85,356.35,361.65,359.896843889006566405,4721,347,1699073.00,1564,33.13,7.50,4.30
8-September-2025,359.00,360.15,354.65,355.80,357.320469798657718120,15496,646,5537038.00,6549,42.26,5.50,-3.20
5-September-2025,363.55,368.25,355.35,357.75,361.044610395990960007,10177,509,3674351.00,3885,38.17,12.90,-5.80
4-September-2025,363.40,367.30,360.00,361.60,362.611805645057352751,46554,931,16881030.00,29727,63.85,7.30,-1.80
3-September-2025,370.45,379.00,361.95,362.70,369.149091946372539697,10517,1033,3882341.00,3863,36.73,17.05,-7.75
2-September-2025,366.95,378.65,366.95,370.90,374.596383940441371975,15044,803,5635428.00,6195,41.18,11.70,3.95
1-September-2025,362.05,377.55,362.00,373.60,374.206694667175766832,31428,2303,11760568.00,16918,53.83,15.55,11.55
29-August-2025,371.50,375.85,361.50,363.40,369.009332183148295448,89261,9802,32938142.00,66536,74.54,14.35,-8.10
28-August-2025,386.05,386.25,370.00,371.45,375.278061258125337869,75843,1547,28462214.00,53420,70.43,16.25,-14.60
26-August-2025,380.35,400.20,380.35,393.20,392.528350934199837530,36930,1312,14496072.00,14425,39.06,19.85,12.85
25-August-2025,401.05,401.05,381.90,386.15,387.566076518307388730,36488,1626,14141511.00,13947,38.22,19.15,-14.90
22-August-2025,415.00,415.00,401.50,403.00,404.458705685947166846,10183,514,4118603.00,4911,48.23,13.50,-12.00
21-August-2025,399.25,417.00,399.25,415.55,414.306406149903907751,15610,667,6467323.00,5492,35.18,17.75,16.30
20-August-2025,389.30,404.75,389.30,403.45,399.809308338720103425,18564,1084,7422060.00,8282,44.61,15.45,14.15
19-August-2025,380.50,400.00,379.10,397.55,392.280646274149034038,17392,895,6822545.00,6886,39.59,20.90,17.05
18-August-2025,375.00,382.10,365.00,380.70,372.435543552228649200,47024,2500,17513409.00,28318,60.22,17.10,5.70
14-August-2025,379.95,379.95,352.30,376.90,365.853311693330241904,90573,3334,33136432.00,27289,30.13,27.65,-3.05
13-August-2025,418.00,418.00,379.00,385.20,398.272494557547778713,91411,3297,36406487.00,20506,22.43,39.00,-32.80
12-August-2025,432.70,435.80,402.50,405.55,412.473226104047170189,24931,1718,10283370.00,12488,50.09,33.30,-27.15
11-August-2025,430.00,440.45,430.00,432.70,435.370599271603575764,18122,1279,7889786.00,8911,49.17,10.45,2.70
