Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,200.95,203.95,199.50,202.70,202.329003043575087224,53884,1265,10902296.00,,,4.45,1.75
9-September-2025,197.85,202.50,197.85,201.10,200.658611784806024959,101843,2557,20435675.00,65864,64.67,4.65,3.25
8-September-2025,201.00,203.95,196.30,197.75,200.047409638554216867,49800,1894,9962361.00,18689,37.53,7.65,-3.25
5-September-2025,195.45,201.20,194.40,199.95,198.817828154267326257,62463,2465,12418758.00,22209,35.56,6.80,4.50
4-September-2025,198.15,199.50,193.00,193.80,194.991468484407732635,92129,1836,17964369.00,,,6.50,-4.35
3-September-2025,204.95,204.95,195.85,198.10,198.452027370245316281,33467,1090,6641594.00,21478,64.18,9.10,-6.85
2-September-2025,203.00,203.00,197.25,200.70,200.081825030778559747,54421,1951,10888653.00,35086,64.47,5.75,-2.30
1-September-2025,196.00,198.35,195.05,197.35,197.013657056145675265,21747,1068,4284456.00,11246,51.71,3.30,1.35
29-August-2025,199.95,200.05,195.80,196.00,198.273405904256266813,56129,2028,11128888.00,27500,48.99,4.25,-3.95
28-August-2025,198.55,202.35,197.40,198.25,199.599260021812029232,98111,2303,19582883.00,54893,55.95,4.95,-0.30
26-August-2025,204.20,204.80,199.75,202.60,202.529982459323776689,82665,2491,16742141.00,33084,40.02,5.05,-1.60
25-August-2025,211.65,212.00,203.95,204.75,206.678220382824624935,88918,2014,18377414.00,49152,55.28,8.05,-6.90
22-August-2025,216.50,219.20,211.00,211.65,213.140658327088257335,52041,1048,11092053.00,31071,59.70,8.20,-4.85
21-August-2025,216.95,218.00,212.15,216.35,215.912825354012137559,37075,925,8004968.00,18067,48.73,5.85,-0.60
20-August-2025,215.00,216.90,212.50,213.50,214.265977034111512459,71149,1548,15244810.00,29917,42.05,4.40,-1.50
19-August-2025,214.45,214.45,210.90,212.40,212.646049717725585602,64122,1811,13635290.00,35619,55.55,3.55,-2.05
18-August-2025,212.30,217.15,211.60,213.85,213.947123726475953196,44954,942,9617779.00,27179,60.46,5.55,1.55
14-August-2025,214.20,214.20,209.70,211.30,211.368938727084848252,52258,1756,11045718.00,30752,58.85,4.50,-2.90
13-August-2025,211.60,215.10,209.85,210.50,212.327497773820124666,56150,1445,11922189.00,28042,49.94,5.25,-1.10
12-August-2025,212.95,212.95,207.85,208.50,208.601521714983894257,36012,1006,7512158.00,23482,65.21,5.10,-4.45
11-August-2025,209.00,213.00,207.60,208.95,209.428792877300369649,25159,843,5269019.00,13321,52.95,5.40,-0.05
8-August-2025,214.05,216.85,208.85,209.90,213.044469452208951972,55094,1187,11737472.00,32365,58.74,8.00,-4.15
7-August-2025,216.70,216.70,213.05,215.85,214.822841836113478631,16426,487,3528680.00,8682,52.86,3.65,-0.85
6-August-2025,219.00,219.00,213.65,214.30,215.007890843333881308,30415,1047,6539465.00,11426,37.57,5.35,-4.70
5-August-2025,219.95,219.95,215.00,216.15,218.193807605509037605,47413,1391,10345223.00,29939,63.15,4.95,-3.80
4-August-2025,214.30,217.45,212.75,216.95,215.665566916016071603,30613,720,6602170.00,16298,53.24,4.70,2.65
1-August-2025,216.00,224.35,211.25,213.60,218.157120316893731963,270627,5363,59039207.00,129312,47.78,13.10,-2.40
31-July-2025,203.05,216.00,202.45,214.35,211.644858812699364175,93422,2055,19772286.00,51381,55.00,13.55,11.30
30-July-2025,200.00,209.35,199.95,207.40,206.456087086268861987,77073,1773,15912190.00,37716,48.94,9.40,7.40
29-July-2025,203.80,206.85,202.40,204.40,204.387570110848241580,37619,952,7688856.00,19624,52.17,4.45,0.60
28-July-2025,207.05,209.55,204.00,204.80,206.495934740469524014,37144,1075,7670085.00,22991,61.90,5.55,-2.25
25-July-2025,208.05,210.95,206.65,208.70,209.386642306895447610,53093,1372,11116965.00,26070,49.10,4.30,0.65
24-July-2025,214.00,214.35,208.25,209.75,210.490119191570219381,57890,1950,12185273.00,35466,61.26,6.10,-4.25
23-July-2025,211.15,214.75,209.00,214.15,212.179258787975186893,37722,1008,8003826.00,19907,52.77,5.75,3.00
22-July-2025,212.55,214.30,209.70,211.40,212.028641437517016063,36730,1340,7787812.00,19582,53.31,4.60,-1.15
21-July-2025,211.20,213.30,210.50,212.35,211.637271055253276113,52196,1459,11046619.00,26989,51.71,2.80,1.15
18-July-2025,216.95,217.20,211.55,212.90,214.599495279932703991,53495,1686,11480000.00,37272,69.67,5.65,-4.05
17-July-2025,219.00,222.30,215.15,216.50,219.079177749657826098,38723,666,8483403.00,26712,68.98,7.15,-2.50
16-July-2025,218.85,219.20,216.05,217.85,217.695354756601972637,44002,1278,9579031.00,20431,46.43,3.15,-1.00
15-July-2025,213.05,218.95,213.05,218.10,217.057819032098065613,42339,958,9190011.00,20167,47.63,5.90,5.05
14-July-2025,203.05,216.00,203.05,213.85,213.660468319559228650,71148,2325,15201515.00,46197,64.93,12.95,10.80
11-July-2025,216.00,216.55,209.50,210.20,212.489417848856773462,56463,1779,11997790.00,29227,51.76,7.05,-5.80
10-July-2025,219.00,221.00,213.65,214.30,216.431600675548883467,47961,1221,10380276.00,20556,42.86,7.35,-4.70
9-July-2025,214.85,219.95,213.65,218.25,216.357055950344730299,56711,1559,12269825.00,24643,43.45,6.30,3.40
8-July-2025,218.00,219.70,213.45,215.50,215.914407958070381859,46745,973,10092919.00,23942,51.22,6.25,-2.50
7-July-2025,216.10,219.90,213.65,218.85,217.502679515378352432,82291,1631,17898513.00,45884,55.76,6.25,2.75
4-July-2025,216.70,220.50,212.00,217.35,216.043996955228011902,144510,4902,31220518.00,69818,48.31,8.50,0.65
3-July-2025,221.25,223.50,216.25,217.10,218.957855058365758754,123360,4019,27010641.00,65826,53.36,7.25,-4.15
2-July-2025,227.50,232.70,219.65,222.00,226.587975104543124303,236027,3730,53480880.00,68676,29.10,13.05,-5.50
1-July-2025,213.05,232.35,213.05,230.35,222.747969741787460458,672082,14191,149704901.00,393401,58.53,19.30,17.30
30-June-2025,206.05,220.50,205.65,219.05,214.722606348528397533,285641,5148,61333580.00,148358,51.94,14.85,13.00
27-June-2025,206.60,206.65,202.45,205.85,204.718646158062416498,29191,932,5975942.00,16705,57.23,4.20,-0.75
26-June-2025,203.05,205.50,199.00,204.95,203.267760109344267760,89991,2302,18292269.00,57767,64.19,6.50,1.90
25-June-2025,193.90,199.95,193.25,198.95,196.689037440219832483,75694,1500,14888180.00,40224,53.14,6.70,5.05
24-June-2025,192.00,194.75,191.95,193.85,194.052723511056844390,58968,785,11442901.00,21141,35.85,2.80,1.85
23-June-2025,189.25,192.75,187.05,191.45,189.972568085695086762,75897,2021,14418348.00,42867,56.48,5.70,2.20
20-June-2025,191.65,193.10,190.10,190.95,191.429876921451587343,18931,644,3623959.00,9084,47.98,3.00,-0.70
19-June-2025,189.75,195.10,189.05,191.40,191.702965507232354506,62013,1787,11888076.00,33471,53.97,6.05,1.65
18-June-2025,192.80,194.90,192.30,193.55,193.557571388521766991,24969,823,4832939.00,10858,43.49,2.60,0.75
17-June-2025,191.25,198.15,191.25,192.80,194.198874076390789319,51158,1643,9934826.00,25466,49.78,6.90,1.55
16-June-2025,196.05,196.55,192.00,195.35,193.676806526806526806,25740,811,4985241.00,12034,46.75,4.55,-0.70
13-June-2025,184.00,196.95,184.00,196.05,193.914176040522759425,101079,2252,19600651.00,38653,38.24,12.95,12.05
12-June-2025,200.65,203.00,194.50,195.30,198.052906454008834681,127905,2149,25331957.00,54423,42.55,8.50,-5.35
11-June-2025,205.65,206.05,199.60,199.95,202.269382434414208896,30685,816,6206636.00,15728,51.26,6.45,-5.70
10-June-2025,207.05,208.35,204.95,205.90,206.801809636209288361,48297,904,9987907.00,26063,53.96,3.40,-1.15
9-June-2025,203.80,205.00,201.10,204.35,203.582864829441589349,57986,919,11804956.00,29965,51.68,3.90,0.55
6-June-2025,201.45,202.25,198.30,200.50,199.937149601652404839,27112,658,5420696.00,12899,47.58,3.95,-0.95
5-June-2025,197.55,199.45,196.05,198.65,198.002382620882971268,28540,587,5650988.00,8662,30.35,3.40,1.10
4-June-2025,202.25,203.95,196.90,197.60,199.769674165399087342,37473,832,7485969.00,16515,44.07,7.05,-4.65
3-June-2025,199.95,203.95,197.60,202.20,202.046985185418173811,158965,2463,32118399.00,70035,44.06,6.35,2.25
2-June-2025,194.20,199.50,193.50,198.45,197.553781995973540408,41724,1151,8242734.00,19806,47.47,6.00,4.25
30-May-2025,194.00,197.00,192.55,195.65,195.274339889166576116,36812,568,7188439.00,17201,46.73,4.45,1.65
29-May-2025,192.05,195.75,192.05,193.95,194.415185584475589095,32465,843,6311689.00,12255,37.75,3.70,1.90
28-May-2025,193.30,195.50,192.95,194.00,194.108246284501061571,58875,636,11428123.00,26873,45.64,2.55,0.70
27-May-2025,195.25,196.80,192.30,193.30,193.419656292072542963,37881,780,7326930.00,16420,43.35,4.50,-1.95
26-May-2025,195.25,197.70,194.85,196.10,196.307462578289362319,82706,1789,16235805.00,50295,60.81,2.85,0.85
23-May-2025,194.90,197.00,193.80,196.35,195.784191367654706188,23076,646,4517916.00,12265,53.15,3.20,1.45
22-May-2025,197.60,197.60,193.55,194.90,195.451749856569133677,52290,953,10220172.00,19276,36.86,4.05,-2.70
21-May-2025,194.60,197.50,192.60,196.95,196.164366208965212299,167358,3667,32829676.00,101800,60.83,4.90,2.35
20-May-2025,190.30,194.50,190.30,193.55,192.298046433647993585,54874,1294,10552163.00,24000,43.74,4.20,3.25
19-May-2025,193.35,194.00,189.00,190.05,191.201022772509671426,97969,1987,18731773.00,62888,64.19,5.00,-3.30
16-May-2025,193.95,194.00,191.65,193.60,192.987239725611606871,82365,1836,15895394.00,57694,70.05,2.35,-0.35
15-May-2025,194.60,194.60,190.90,192.25,192.059515906653730276,39166,619,7522203.00,16076,41.05,3.70,-2.35
14-May-2025,191.55,196.20,190.90,194.30,193.841623013343494378,280811,4551,54432860.00,,,5.30,2.75
13-May-2025,181.55,191.00,181.55,190.80,188.334695941674743984,142374,1767,26813964.00,72558,50.96,9.45,9.25
12-May-2025,181.05,184.90,179.40,183.85,182.300244663499042621,112808,2332,20564926.00,79456,70.43,5.50,2.80
9-May-2025,172.75,179.15,172.75,177.65,176.739640080798188161,65348,1219,11549582.00,27604,42.24,6.40,4.90
8-May-2025,181.95,185.00,178.00,179.90,182.050787534138950203,106916,2373,19464142.00,64802,60.61,7.00,-2.05
7-May-2025,176.35,182.00,176.35,181.50,180.332777974467376137,48017,2575,8659039.00,22920,47.73,5.65,5.15
6-May-2025,182.60,184.00,179.95,180.80,181.870216369483719956,157647,3013,28671294.00,106082,67.29,4.05,-1.80
5-May-2025,178.05,182.95,176.10,182.60,180.272130656399418621,246999,4165,44527036.00,117064,47.39,6.85,4.55
2-May-2025,176.55,178.75,172.00,173.55,174.148568931614594712,36616,818,6376624.00,22632,61.81,6.75,-3.00
30-April-2025,175.70,180.80,174.55,176.55,176.994974927757946625,94128,2080,16660183.00,55285,58.73,6.25,0.85
29-April-2025,175.60,182.70,175.60,180.55,180.595050103122851607,48001,944,8668743.00,25902,53.96,7.10,4.95
28-April-2025,174.05,180.30,174.05,178.40,178.342196859316820463,24708,594,4406479.00,14081,56.99,6.25,4.35
25-April-2025,178.45,182.05,174.00,177.30,177.031894263324378884,125822,2973,22274507.00,78555,62.43,8.05,-1.15
24-April-2025,175.30,182.50,175.30,181.50,179.765780143237867626,127201,2465,22866387.00,82547,64.89,7.20,6.20
23-April-2025,183.55,184.55,176.35,176.90,179.413082510777531694,109719,2668,19685024.00,67336,61.37,8.20,-6.65
22-April-2025,179.45,185.25,177.65,183.55,182.689109975799946222,92975,1487,16985520.00,44263,47.61,7.60,4.10
21-April-2025,180.90,182.75,176.80,179.40,179.525977645972893685,109421,1543,19643912.00,51489,47.06,5.95,-1.50
17-April-2025,172.05,179.30,172.05,177.30,175.804895049504950495,126250,3560,22195368.00,94134,74.56,7.25,5.25
16-April-2025,168.60,173.60,168.60,173.00,171.656507152804152424,31596,459,5423659.00,16896,53.48,5.00,4.40
15-April-2025,170.00,170.05,164.00,168.80,167.069580577342152505,104167,3555,17403137.00,48312,46.38,6.05,-1.20
11-April-2025,160.05,167.20,158.80,166.80,164.356749766506214526,139190,2383,22876816.00,103408,74.29,8.40,6.75
9-April-2025,162.00,162.00,157.60,160.05,159.428971939832760428,41019,1080,6539617.00,14199,34.62,4.40,-1.95
8-April-2025,162.00,166.70,156.75,161.80,161.040051901656471698,296715,912,47782999.00,260373,87.75,9.95,-0.20
7-April-2025,147.00,160.35,147.00,157.75,154.179414954509851177,66388,1223,10235663.00,25253,38.04,13.35,10.75
4-April-2025,164.00,165.00,161.00,162.85,162.843753594846428160,34772,619,5662403.00,14515,41.74,4.00,-1.15
3-April-2025,159.30,165.70,159.30,164.30,162.821591986479244816,72777,1496,11849667.00,32585,44.77,6.40,5.00
2-April-2025,163.00,163.00,157.30,161.95,160.161965513804445330,30099,636,4820715.00,10334,34.33,5.70,-1.05
1-April-2025,155.15,161.55,152.25,159.85,157.380422663693492803,39464,1278,6210861.00,15284,38.73,9.30,4.70
28-March-2025,156.90,160.70,154.50,157.15,157.078335201793721973,156992,2616,24660042.00,59969,38.20,6.20,0.25
27-March-2025,150.40,160.35,144.00,154.25,154.786202975368161869,212814,3025,32940671.00,97559,45.84,16.35,3.85
26-March-2025,158.20,160.55,157.70,158.65,159.376219244109361515,61411,1213,9787453.00,43755,71.25,2.85,0.45
25-March-2025,161.95,161.95,157.20,158.60,158.442873662908355015,34590,451,5480539.00,19776,57.17,4.75,-3.35
24-March-2025,160.10,161.85,157.85,158.65,160.024047143807622849,31563,742,5050839.00,10736,34.01,4.00,-1.45
21-March-2025,161.65,163.70,158.80,160.00,161.505240472287203669,108578,1914,17535916.00,55036,50.69,4.90,-1.65
20-March-2025,155.90,159.10,155.45,158.45,157.312278313948692567,48492,929,7628387.00,17985,37.09,3.65,2.55
19-March-2025,155.25,156.95,153.70,155.45,155.117900649339033683,55903,1237,8671556.00,17917,32.05,3.25,0.20
18-March-2025,154.10,156.00,150.35,154.35,153.279159725555524183,70834,1118,10857376.00,23909,33.75,5.65,0.25
17-March-2025,148.20,153.70,147.20,153.00,150.573187395807712278,73182,1476,11019247.00,38304,52.34,6.50,4.80
13-March-2025,147.10,150.50,147.10,149.10,149.044598703811776269,65114,2091,9704890.00,39901,61.28,3.40,2.00
12-March-2025,147.20,150.15,146.00,148.70,148.490014416553595658,47168,1116,7003977.00,14184,30.07,4.15,1.50
11-March-2025,153.55,153.55,145.25,146.15,148.227656079324622979,236194,3052,35010483.00,99131,41.97,8.30,-7.40
10-March-2025,157.20,158.45,153.00,154.95,155.363693373547943978,33487,644,5202664.00,15259,45.57,5.45,-2.25
7-March-2025,156.10,157.20,153.95,155.80,155.725299401197604790,41416,998,6449519.00,18342,44.29,3.25,-0.30
6-March-2025,153.60,157.60,153.60,156.50,155.523381232385790334,57482,1075,8939795.00,22119,38.48,4.00,2.90
5-March-2025,148.45,154.20,147.95,152.90,151.394227015420651961,81968,1163,12409482.00,34267,41.81,6.25,4.45
4-March-2025,148.35,151.00,146.35,147.05,148.278571518485416850,79441,1599,11779398.00,39424,49.63,4.65,-1.30
3-March-2025,148.65,150.00,144.15,149.35,146.004444381935556461,142202,1408,20762124.00,88558,62.28,5.85,0.70
28-February-2025,146.75,151.35,146.35,147.50,148.465175020142983207,156382,2272,23217281.00,90720,58.01,5.00,0.75
27-February-2025,149.60,151.85,144.05,147.10,148.067780780294634073,80303,2027,11890287.00,37202,46.33,7.80,-2.50
25-February-2025,149.05,149.65,145.40,148.95,147.846755637367694431,67363,1218,9959401.00,31200,46.32,4.25,-0.10
24-February-2025,152.05,152.05,147.30,147.70,149.267955691428117679,75561,2493,11278836.00,44023,58.26,4.75,-4.35
21-February-2025,155.50,156.55,150.40,151.10,152.922064066200005204,38429,929,5876642.00,17008,44.26,6.15,-4.40
20-February-2025,156.80,157.70,154.45,155.20,155.818455672068636796,52450,1458,8172678.00,22102,42.14,3.25,-1.60
19-February-2025,157.40,159.55,155.15,158.05,157.525863277416943133,21401,1605,3371211.00,9861,46.08,4.40,0.65
18-February-2025,161.20,161.20,155.70,157.75,157.653458326768552071,25388,972,4002506.00,14020,55.22,5.50,-3.45
17-February-2025,158.55,161.15,157.50,160.75,159.708963553092406573,25983,936,4149718.00,15211,58.54,3.65,2.20
14-February-2025,165.60,166.35,159.55,160.30,162.278905560458958517,66847,2437,10847858.00,41777,62.50,6.80,-5.30
13-February-2025,167.85,171.10,162.60,166.00,168.038882302624667977,66637,1670,11197607.00,27355,41.05,8.50,-1.85
12-February-2025,166.10,167.55,162.20,166.70,165.413793103448275862,22272,744,3684096.00,8025,36.03,5.35,0.60
11-February-2025,169.75,171.20,164.75,166.10,166.860756669033370524,49295,2126,8225401.00,27117,55.01,6.45,-3.65
10-February-2025,174.05,175.80,170.00,171.75,172.092252361556460698,23078,773,3971545.00,7761,33.63,5.80,-2.30
7-February-2025,172.50,174.75,171.30,174.05,173.385551142005958291,12084,607,2095191.00,4970,41.13,3.45,1.55
6-February-2025,180.90,180.95,171.65,172.90,175.523405372298538804,45716,1552,8024228.00,20207,44.20,9.30,-8.00
5-February-2025,173.70,180.35,173.70,179.30,178.747699452809446757,80959,2350,14471235.00,50417,62.27,6.65,5.60
4-February-2025,175.10,177.70,171.10,176.90,175.929593984962406015,66500,2888,11699318.00,38651,58.12,6.60,1.80
3-February-2025,167.20,176.60,162.60,173.55,171.819153729185830407,106538,2989,18305269.00,24198,22.71,14.00,6.35
1-February-2025,178.85,179.65,169.65,170.65,175.604010655616397809,135140,2512,23731126.00,,,10.00,-8.20
31-January-2025,170.60,174.60,170.60,173.90,173.696256550252596567,31869,1327,5535526.00,20551,64.49,4.00,3.30
30-January-2025,171.90,175.00,169.70,172.65,172.186884131838260278,44145,1482,7601190.00,20788,47.09,5.30,0.75
29-January-2025,165.70,173.45,165.70,173.00,172.265716785401824771,32004,696,5513192.00,10036,31.36,7.75,7.30
28-January-2025,164.00,168.10,161.25,167.15,164.824017184829306601,43294,932,7135891.00,16626,38.40,6.85,3.15
27-January-2025,166.65,168.65,162.80,163.40,164.601546805946163117,59736,2018,9832638.00,34225,57.29,5.85,-3.25
24-January-2025,170.25,170.95,166.10,167.75,168.542143159678102498,33054,970,5570992.00,9529,28.83,4.85,-2.50
23-January-2025,171.55,172.20,168.70,170.20,170.037170616811423524,27172,903,4620250.00,6233,22.94,3.50,-1.35
22-January-2025,172.65,172.65,169.25,172.05,171.245166696594241934,16707,411,2860993.00,8435,50.49,3.40,-0.60
21-January-2025,174.05,175.80,172.40,172.65,174.471096888404711649,29374,971,5124914.00,8163,27.79,3.40,-1.40
20-January-2025,173.95,174.95,171.55,174.10,173.464061844029126916,69077,973,11982377.00,54155,78.40,3.40,0.15
17-January-2025,172.00,173.15,171.10,171.95,172.017131392118530713,38876,449,6687338.00,15114,38.88,2.05,-0.05
16-January-2025,169.05,173.00,168.90,171.90,172.073694260176787213,60751,744,10453649.00,20742,34.14,4.10,2.85
15-January-2025,169.00,169.75,167.60,168.75,168.805919359450957963,34970,944,5903143.00,13714,39.22,2.15,-0.25
14-January-2025,162.00,168.20,162.00,167.60,165.675007370283018867,27136,701,4495757.00,10580,38.99,6.20,5.60
13-January-2025,161.45,165.00,161.30,162.00,162.996129566387250336,144945,3014,23625474.00,105072,72.49,3.70,0.55
10-January-2025,167.55,168.70,164.95,165.50,166.127333980471649631,17513,524,2909388.00,6482,37.01,3.75,-2.05
9-January-2025,169.95,169.95,166.45,168.95,167.918411867364746945,57300,1250,9621725.00,41019,71.59,3.50,-1.00
8-January-2025,170.95,171.20,167.50,168.90,168.998211418201757248,76597,1423,12944756.00,40669,53.09,3.70,-2.05
7-January-2025,169.40,172.05,169.40,170.40,170.542552139962439458,30351,576,5176137.00,15202,50.09,2.65,1.00
6-January-2025,175.45,175.45,168.10,168.75,171.108219475168076339,41499,832,7100820.00,19832,47.79,7.35,-6.70
3-January-2025,177.00,177.35,174.45,174.85,176.128362166940270236,31676,579,5579042.00,13108,41.38,2.90,-2.15
2-January-2025,174.05,176.85,172.25,176.15,174.335775122354287167,62932,1127,10971299.00,28591,45.43,4.60,2.10
1-January-2025,172.55,174.10,170.40,173.90,172.114752071225423519,24261,534,4175676.00,6568,27.07,3.70,1.35
31-December-2024,171.40,172.55,170.15,172.25,171.370068511433401548,56195,913,9630141.00,31410,55.89,2.40,0.85
30-December-2024,172.15,174.75,171.25,172.55,172.836894932815282499,24708,575,4270454.00,6604,26.73,3.50,0.40
27-December-2024,172.95,176.55,172.25,172.60,174.459000654593061313,45830,971,7995456.00,16247,35.45,4.30,-0.35
26-December-2024,174.55,176.40,172.70,173.70,174.248889415388260380,33766,658,5883688.00,11115,32.92,3.70,-0.85
24-December-2024,173.50,174.90,172.30,174.55,173.374173162603557110,138933,1643,24087394.00,31099,22.38,2.60,1.05
23-December-2024,176.80,177.00,174.20,174.55,175.751223619809483711,57003,1321,10018347.00,28337,49.71,2.80,-2.25
20-December-2024,178.45,181.05,174.45,175.90,177.602101416171767930,70048,863,12440672.00,23113,33.00,6.60,-2.55
19-December-2024,176.55,180.80,176.55,180.05,178.765840981076910582,61565,642,11005719.00,18209,29.58,4.25,3.50
18-December-2024,185.75,185.75,179.00,179.25,180.663664057126011333,30529,600,5515481.00,11803,38.66,6.75,-6.50
17-December-2024,186.00,187.10,181.70,182.10,183.057421120271368997,114383,1607,20938657.00,82642,72.25,5.40,-3.90
16-December-2024,181.50,187.70,181.50,187.00,185.514725546566824898,59828,930,11098975.00,27417,45.83,6.20,5.50
13-December-2024,182.10,183.60,179.80,183.25,181.685789124179148528,27106,438,4924775.00,14409,53.16,3.80,1.15
12-December-2024,186.85,186.85,181.90,182.30,183.720576831822969109,86403,1637,15874009.00,64861,75.07,4.95,-4.55
11-December-2024,185.60,187.50,185.25,185.90,186.376418933390447633,18676,407,3480766.00,6072,32.51,2.25,0.30
10-December-2024,185.05,187.35,185.05,186.10,186.056895868423659962,40372,693,7511489.00,18225,45.14,2.30,1.05
9-December-2024,184.80,187.80,184.30,186.20,186.256290722217123979,54485,1111,10148174.00,21885,40.17,3.50,1.40
6-December-2024,186.55,187.15,183.20,184.80,185.440956702719301238,234472,2728,43480712.00,64479,27.50,3.95,-1.75
5-December-2024,184.25,186.50,183.55,185.55,185.142262678803641092,184560,2371,34169856.00,58169,31.52,2.95,1.30
4-December-2024,184.45,186.20,182.75,184.80,184.852511181605028274,101506,1678,18763639.00,49472,48.74,3.45,0.35
3-December-2024,182.00,184.00,181.25,182.80,182.897862358194545015,132576,3155,24247867.00,82947,62.57,2.75,0.80
2-December-2024,180.95,181.65,176.90,181.10,179.237693141431200060,119019,2130,21332691.00,66041,55.49,4.75,0.15
29-November-2024,178.65,180.65,178.10,179.65,179.379426944296138102,22476,517,4031732.00,5967,26.55,2.55,1.00
28-November-2024,177.50,181.55,177.50,179.55,180.037096799218034847,64453,1044,11603931.00,25073,38.90,4.05,2.05
27-November-2024,180.95,181.80,177.05,178.05,178.604058637217254814,107031,2287,19116171.00,46511,43.46,4.75,-2.90
26-November-2024,173.30,179.70,173.30,179.25,177.857748852344703352,86045,2308,15303770.00,17681,20.55,6.40,5.95
25-November-2024,172.45,174.60,172.45,173.65,173.544259585133045379,37506,646,6508951.00,15200,40.53,2.15,1.20
22-November-2024,169.65,173.15,169.65,171.70,172.074017145285046612,80022,1676,13769707.00,33925,42.39,3.50,2.05
21-November-2024,169.55,171.20,166.75,170.15,169.299243367016775349,40178,676,6802105.00,10924,27.19,4.45,0.60
19-November-2024,172.90,174.50,169.65,170.50,171.979379904469464346,93792,1656,16130290.00,38250,40.78,4.85,-2.40
18-November-2024,172.00,173.00,168.45,171.25,170.708414184534782186,82456,1633,14075933.00,53352,64.70,4.55,-0.75
14-November-2024,170.85,173.25,170.70,172.35,172.053451286896275301,34929,700,6009655.00,11242,32.19,2.55,1.50
13-November-2024,173.95,174.85,169.20,170.45,171.794519927536231884,176640,3467,30345784.00,114484,64.81,5.65,-3.50
12-November-2024,176.80,176.80,173.45,174.25,174.875220601029057194,40231,701,7035405.00,12739,31.66,3.35,-2.55
11-November-2024,179.00,179.00,173.65,174.25,175.385948743845474056,79210,1106,13892321.00,35180,44.41,5.35,-4.75
8-November-2024,180.85,182.05,177.80,178.65,179.881843669395536615,44585,894,8020032.00,18960,42.53,4.25,-2.20
7-November-2024,179.05,181.95,178.95,180.85,180.599202292723887408,109564,2694,19787171.00,66158,60.38,3.00,1.80
6-November-2024,179.45,181.25,177.55,179.50,179.639796493677343141,74494,998,13382087.00,24231,32.53,3.70,0.05
5-November-2024,177.80,180.15,175.75,178.70,178.308614399523490432,120879,1404,21553767.00,50247,41.57,4.40,0.90
4-November-2024,178.10,180.15,174.55,178.40,177.261209698623246668,262429,4175,46518482.00,134946,51.42,5.60,0.30
1-November-2024,177.00,179.00,176.45,177.85,177.792825549141614813,26678,847,4743157.00,12570,47.12,2.55,0.85
31-October-2024,173.00,176.20,172.95,175.60,174.862425376459057293,44892,922,7849924.00,11698,26.06,3.25,2.60
30-October-2024,177.20,179.30,173.65,174.35,176.986367566181570737,304201,4010,53839430.00,131746,43.31,5.65,-2.85
29-October-2024,172.80,177.80,171.50,176.95,175.387762699303111493,585603,5222,102707600.00,410770,70.14,6.30,4.15
28-October-2024,171.05,175.75,171.05,171.75,173.480515691902319672,212530,2143,36869814.00,58521,27.54,4.70,0.70
25-October-2024,170.05,171.50,167.30,170.90,169.348361041405269761,127520,1324,21595303.00,55593,43.60,4.20,0.85
24-October-2024,168.55,172.50,167.00,169.65,169.203635458837137361,297404,4906,50321838.00,159125,53.50,5.50,1.10
23-October-2024,164.35,171.45,164.00,167.00,167.083471256345082626,667643,4432,111552110.00,176216,26.39,7.45,2.65
22-October-2024,162.00,172.95,161.55,168.50,168.414849543871297539,3783362,20761,637174342.00,1317731,34.83,11.40,6.50
21-October-2024,154.50,157.95,150.35,150.75,152.571248260925689533,69721,1015,10637420.00,28323,40.62,7.60,-3.75
18-October-2024,152.95,154.90,151.35,154.35,153.475009076606559361,24789,517,3804492.00,7098,28.63,3.55,1.40
17-October-2024,155.70,155.75,153.00,153.15,153.890545938748335552,22530,402,3467154.00,10565,46.89,2.75,-2.55
16-October-2024,155.20,155.65,153.90,155.30,154.665941713788603740,50578,850,7822694.00,36487,72.14,1.75,0.10
15-October-2024,154.15,155.95,153.20,155.05,154.515611929264828901,102806,1431,15885132.00,70709,68.78,2.75,0.90
14-October-2024,153.00,155.10,151.65,154.15,153.217871485943775100,30876,655,4730755.00,13579,43.98,3.45,1.15
