Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,124.05,126.25,123.70,125.50,125.450357688567856646,57592,884,7224937.00,,,2.55,1.45
9-September-2025,125.55,126.20,122.95,124.20,124.497862950519849710,50303,1166,6262616.00,25176,50.05,3.25,-1.35
8-September-2025,124.55,126.80,123.40,126.00,125.358953979761950916,51586,708,6466767.00,28542,55.33,3.40,1.45
5-September-2025,126.40,126.75,124.00,124.80,125.062434892884641514,44158,446,5522507.00,19917,45.10,2.75,-1.60
4-September-2025,126.15,127.30,124.40,126.70,125.805206880520688052,40869,700,5141533.00,15527,37.99,2.90,0.55
3-September-2025,123.90,126.10,123.00,125.80,124.960587314600879481,67085,676,8382981.00,36870,54.96,3.10,1.90
2-September-2025,122.70,125.20,122.70,123.65,123.910042889767726842,53859,819,6673671.00,33627,62.44,2.50,0.95
1-September-2025,123.00,123.45,122.30,123.05,122.904613071688558316,50552,782,6213074.00,31086,61.49,1.15,0.05
29-August-2025,119.40,123.05,119.40,122.40,122.279089621099284339,55054,848,6731953.00,28697,52.13,3.65,3.00
28-August-2025,124.15,124.15,119.70,120.30,121.019740181351770306,72897,874,8821976.00,39497,54.18,4.45,-3.85
26-August-2025,121.65,124.20,121.20,121.80,122.716330910687283547,41002,552,5031615.00,17947,43.77,3.00,0.15
25-August-2025,122.20,122.80,121.30,122.00,121.988492975539962556,65699,727,8014522.00,43664,66.46,1.50,-0.20
22-August-2025,122.40,123.05,121.55,122.15,122.282416430789120576,102101,845,12485157.00,74757,73.22,1.50,-0.25
21-August-2025,122.50,124.45,121.45,122.30,123.055324548560273304,51225,684,6303509.00,24007,46.87,3.00,-0.20
20-August-2025,123.05,124.00,122.20,122.50,122.793647458049251268,128484,1534,15777019.00,57381,44.66,1.80,-0.55
19-August-2025,122.25,123.70,121.60,123.35,122.823727212619250023,105870,1196,13003348.00,57876,54.67,2.10,1.10
18-August-2025,121.05,124.00,120.65,123.05,122.728072824539453815,115895,1883,14223570.00,47353,40.86,3.35,2.00
14-August-2025,122.35,122.65,120.60,121.05,121.462161963009358190,81426,1094,9890178.00,38420,47.18,2.05,-1.30
13-August-2025,127.75,127.75,121.80,122.20,123.367657446118015386,52383,1204,6462368.00,31776,60.66,5.95,-5.55
12-August-2025,124.30,125.95,123.95,125.35,124.672816249641672468,97676,998,12177542.00,61698,63.17,2.00,1.05
11-August-2025,127.20,127.20,123.45,124.80,125.155078195870677455,137795,1776,17245744.00,80050,58.09,3.75,-2.40
8-August-2025,126.05,128.70,126.05,127.15,127.666120458053083855,52483,531,6700301.00,32411,61.76,2.65,1.10
7-August-2025,127.65,129.25,126.25,128.00,127.864539794496691048,91872,1033,11747171.00,56731,61.75,3.00,0.35
6-August-2025,131.00,132.90,127.70,129.20,129.207858838678524003,49702,518,6421889.00,19146,38.52,5.20,-1.80
5-August-2025,136.80,136.80,130.25,131.40,131.384674235700951739,32677,446,4293257.00,18686,57.18,6.55,-5.40
4-August-2025,133.05,134.10,129.60,132.50,131.251880315419497004,164733,1819,21621516.00,93584,56.81,4.50,-0.55
1-August-2025,133.30,137.60,131.25,135.20,134.267266475644699140,87250,967,11714819.00,52977,60.72,6.35,1.90
31-July-2025,139.55,143.80,131.50,134.50,135.674598003801181990,518786,6238,70386082.00,212931,41.04,12.30,-5.05
30-July-2025,134.85,143.35,134.40,141.95,140.769192868062846512,217164,3230,30570001.00,90089,41.48,8.95,7.10
29-July-2025,134.05,136.80,133.55,134.40,134.747489311761254086,59645,980,8037014.00,33433,56.05,3.25,0.35
28-July-2025,137.25,139.15,135.50,136.00,137.668813799040708399,65048,1036,8955081.00,28555,43.90,3.65,-1.25
25-July-2025,140.00,142.15,136.95,137.90,138.550075768830782944,168275,1627,23314514.00,107607,63.95,5.20,-2.10
24-July-2025,146.00,146.00,139.70,140.60,140.656887690193883262,39302,730,5528097.00,21304,54.21,6.30,-5.40
23-July-2025,141.85,143.00,140.65,141.65,141.388615419838589662,69884,704,9880802.00,26483,37.90,2.35,-0.20
22-July-2025,146.35,147.70,141.55,142.25,143.640801034625281655,75003,1394,10773491.00,34051,45.40,6.15,-4.10
21-July-2025,145.35,147.00,144.50,146.35,145.786175363098440021,40898,574,5962363.00,23394,57.20,2.50,1.00
18-July-2025,147.40,148.35,146.50,147.00,147.214285714285714285,43078,809,6341697.00,20311,47.15,1.85,-0.40
17-July-2025,146.45,149.10,146.45,147.90,148.125819475535657179,50032,856,7411031.00,25701,51.37,2.65,1.45
16-July-2025,149.75,149.75,146.20,146.45,147.298962862081609135,38182,720,5624169.00,18559,48.61,3.55,-3.30
15-July-2025,141.75,149.70,141.75,149.05,148.155292597809217077,111467,1716,16514426.00,64517,57.88,7.95,7.30
14-July-2025,142.70,144.50,141.45,142.95,143.048602446881808532,53701,786,7681853.00,37113,69.11,3.05,0.25
11-July-2025,139.05,145.50,139.05,142.80,143.117092064753202899,80552,1052,11528368.00,41859,51.97,6.45,3.75
10-July-2025,143.95,144.85,140.80,141.00,141.023508761116549766,1525091,430,215073684.00,1515109,99.35,4.05,-2.95
9-July-2025,144.70,145.00,140.75,144.30,143.443708246632351330,54786,641,7858707.00,37213,67.92,4.25,-0.40
8-July-2025,141.25,144.15,139.90,142.10,141.136314313378518246,119804,661,16908695.00,93527,78.07,4.25,0.85
7-July-2025,141.80,144.05,141.55,142.00,142.394134841456440236,31474,416,4481713.00,19022,60.44,2.50,0.20
4-July-2025,143.95,144.15,142.00,142.70,143.089788401989302805,85256,1153,12199263.00,43590,51.13,2.15,-1.25
3-July-2025,145.90,146.15,144.15,144.35,144.759294584809436680,25687,536,3718432.00,19633,76.43,2.00,-1.55
2-July-2025,147.10,148.80,145.35,145.80,146.484672417480573180,84162,1674,12328443.00,49619,58.96,3.45,-1.30
1-July-2025,145.95,148.95,144.80,147.00,146.968809893463247497,93395,1894,13726152.00,48571,52.01,4.15,1.05
30-June-2025,145.90,147.20,144.80,145.15,146.031122335289311446,53852,739,7864068.00,33990,63.12,2.40,-0.75
27-June-2025,144.60,146.60,144.15,144.80,145.483759582342056568,60528,1230,8805841.00,35565,58.76,2.45,0.20
26-June-2025,144.40,145.60,143.15,143.60,144.305481084301459636,33570,427,4844335.00,21867,65.14,2.45,-0.80
25-June-2025,143.00,143.90,141.70,143.05,142.490266720901853681,34418,461,4904230.00,21898,63.62,2.20,0.05
24-June-2025,145.75,145.75,141.40,142.00,143.645886561062851303,31312,468,4497840.00,13287,42.43,4.35,-3.75
23-June-2025,140.90,145.45,138.10,143.90,140.870374279940887293,99471,1729,14012517.00,51384,51.66,7.35,3.00
20-June-2025,141.00,143.30,140.65,142.70,142.238636828539868264,24443,420,3476739.00,9751,39.89,2.65,1.70
19-June-2025,145.00,145.00,140.45,141.00,141.791845125920849751,64207,962,9104029.00,51905,80.84,4.55,-4.00
18-June-2025,141.65,145.00,141.15,143.50,143.444290587321422540,29609,702,4247242.00,16150,54.54,3.85,1.85
17-June-2025,143.00,144.50,140.50,141.60,142.035351562500000000,61440,1116,8726652.00,38835,63.21,4.00,-1.40
16-June-2025,145.00,145.25,142.55,143.15,143.551703018136037292,29389,735,4218841.00,16766,57.05,2.70,-1.85
13-June-2025,142.95,146.00,141.00,144.95,144.507369578548922582,47289,615,6833609.00,28091,59.40,5.00,2.00
12-June-2025,146.00,148.20,145.20,145.70,147.056677236351086089,92718,1401,13634801.00,72317,78.00,3.00,-0.30
11-June-2025,149.40,150.00,144.60,146.10,146.589004224776268568,88052,757,12907455.00,41068,46.64,5.40,-3.30
10-June-2025,146.40,150.70,146.40,149.45,148.950003350340298850,104467,1087,15560360.00,47435,45.41,4.30,3.05
9-June-2025,147.05,148.10,145.70,146.35,147.291626357089111039,65121,835,9591778.00,33260,51.07,2.40,-0.70
6-June-2025,141.30,147.50,140.95,146.85,145.636828499663541937,300186,7866,43718137.00,169745,56.55,6.55,5.55
