Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,143.00,144.25,140.20,141.15,142.597352983777520278,55232,846,7875937.00,,,4.05,-1.85
9-September-2025,142.55,144.40,139.70,142.45,142.635717214441399253,92678,1360,13219193.00,53822,58.07,4.70,-0.10
8-September-2025,137.05,143.50,135.75,142.30,140.315406687454388641,120584,1639,16919793.00,92239,76.49,7.75,5.25
5-September-2025,137.15,139.90,131.05,136.75,136.097390133019026772,89085,1367,12124236.00,45832,51.45,8.85,-0.40
4-September-2025,140.50,141.95,137.40,138.65,138.843448896893291310,22210,471,3083713.00,9693,43.64,4.55,-1.85
3-September-2025,133.50,141.20,133.50,139.85,139.524054339689110044,90836,1788,12673807.00,58438,64.33,7.70,6.35
2-September-2025,137.85,138.40,134.10,135.90,136.579837451769148674,24362,524,3327358.00,10153,41.68,4.30,-1.95
1-September-2025,135.90,138.20,135.75,137.95,137.392915309446254071,19648,509,2699496.00,9150,46.57,2.45,2.05
29-August-2025,134.90,136.95,133.05,135.65,135.340634218289085545,40680,611,5505657.00,16594,40.79,3.90,0.75
28-August-2025,135.25,137.20,133.50,134.90,134.755620723362658846,51150,1022,6892750.00,15324,29.96,3.70,-0.35
26-August-2025,141.80,141.80,137.00,137.25,138.615440610808262124,120889,2027,16757082.00,82068,67.89,4.80,-4.55
25-August-2025,142.55,144.50,140.05,141.00,142.584849610100259933,96948,2095,13823316.00,45695,47.13,4.45,-1.55
22-August-2025,132.20,143.00,132.20,141.90,140.521642415119585214,119580,1770,16803578.00,68109,56.96,10.80,9.70
21-August-2025,135.00,138.85,134.30,137.25,136.532128570425994806,142490,1618,19454463.00,65205,45.76,4.55,2.25
20-August-2025,137.20,137.50,133.55,134.40,135.390068566740247309,51191,626,6930753.00,27680,54.07,3.95,-2.80
19-August-2025,132.05,138.35,132.05,137.25,136.698276038644044652,146465,2102,20021513.00,76528,52.25,6.30,5.20
18-August-2025,133.05,138.65,133.05,134.85,135.945486456090094361,198281,2777,26955407.00,105054,52.98,5.60,1.80
14-August-2025,128.65,137.00,127.65,135.25,134.255397993763257303,236662,3534,31773151.00,141276,59.70,9.35,6.60
13-August-2025,130.10,131.25,128.00,129.05,129.824057193190896613,48817,915,6337621.00,26609,54.51,3.25,-1.05
12-August-2025,132.10,132.10,128.85,130.00,130.548811837732773214,47847,850,6246369.00,26666,55.73,3.25,-2.10
11-August-2025,127.35,130.00,124.75,129.10,126.809049065803118234,54967,1386,6970313.00,26848,48.84,5.25,1.75
8-August-2025,127.30,129.10,125.00,125.80,127.024954707498100637,34222,570,4347048.00,14634,42.76,4.10,-1.50
7-August-2025,126.55,128.85,125.70,127.25,127.433998139083296249,98876,1255,12600164.00,58487,59.15,3.15,0.70
6-August-2025,126.75,128.55,124.10,126.40,126.345632859154245763,102985,1656,13011705.00,56833,55.19,4.45,-0.35
5-August-2025,128.50,130.45,125.45,126.95,127.130409677229932079,102178,1684,12989931.00,48419,47.39,5.00,-1.55
4-August-2025,132.00,132.00,126.70,129.40,128.606825549692768878,73723,1172,9481281.00,21407,29.04,5.30,-2.60
1-August-2025,135.05,135.30,130.05,130.90,132.143033793652901341,120496,1708,15922707.00,61036,50.65,5.25,-4.15
31-July-2025,124.00,137.60,124.00,135.55,133.788231532178439996,356512,4393,47697110.00,214485,60.16,13.60,11.55
30-July-2025,132.20,134.05,128.80,130.40,131.628285301963528228,137202,2107,18059664.00,36885,26.88,5.25,-1.80
29-July-2025,127.80,133.20,126.75,132.15,130.492008038287295288,626004,8122,81688519.00,340616,54.41,6.45,4.35
28-July-2025,127.15,127.50,122.25,123.80,125.126744260001272021,78615,1353,9836839.00,40606,51.65,5.25,-3.35
25-July-2025,129.75,131.90,124.65,125.95,128.657405040073811402,179918,2987,23147783.00,84557,47.00,7.25,-3.80
24-July-2025,125.75,125.75,122.80,123.55,124.169941876556877940,36130,355,4486260.00,24654,68.24,2.95,-2.20
23-July-2025,124.50,125.90,123.05,124.30,124.463310210275308909,18452,546,2296597.00,6890,37.34,2.85,-0.20
22-July-2025,125.00,126.35,123.20,123.75,124.801460258414293911,50539,941,6307341.00,28777,56.94,3.15,-1.25
21-July-2025,126.25,127.15,121.50,125.55,124.608386460342466761,67919,1303,8463277.00,25735,37.89,5.65,-0.70
18-July-2025,126.70,126.75,123.70,125.95,125.551982725609496660,94012,1525,11803393.00,62297,66.26,3.05,-0.75
17-July-2025,121.95,126.70,121.60,126.10,124.382917780854639425,189226,2402,23536482.00,118661,62.71,5.10,4.15
16-July-2025,120.35,122.50,120.00,121.35,121.323291155138308895,63698,812,7728051.00,44633,70.07,2.50,1.00
15-July-2025,119.00,122.50,118.35,120.60,120.951720607738663068,128937,2511,15595152.00,56989,44.20,4.15,1.60
14-July-2025,115.65,120.60,115.40,118.55,118.599374447541986809,73535,1294,8721205.00,41816,56.87,5.20,2.90
11-July-2025,115.05,116.00,114.35,114.85,114.927197559807406287,39669,1474,4559047.00,28511,71.87,1.65,-0.20
10-July-2025,116.95,117.00,114.40,115.05,115.797156898842588886,62467,1171,7233501.00,24439,39.12,2.60,-1.90
9-July-2025,115.10,116.25,113.50,114.20,114.950905852196202806,23017,525,2645825.00,15646,67.98,2.75,-0.90
8-July-2025,115.65,116.05,113.65,115.10,114.351859821703043344,16265,395,1859933.00,9991,61.43,2.40,-0.55
7-July-2025,117.60,119.10,115.10,115.80,117.028269245891326570,25434,601,2976497.00,13305,52.31,4.00,-1.80
4-July-2025,119.25,120.05,117.05,117.60,118.784760633225252717,20972,498,2491154.00,9986,47.62,3.00,-1.65
3-July-2025,115.00,118.40,115.00,117.20,117.423272061881393994,24046,407,2823560.00,16681,69.37,3.40,2.20
2-July-2025,119.90,120.40,117.00,117.45,118.195423706265797525,15034,484,1776950.00,6974,46.39,3.40,-2.45
1-July-2025,114.00,120.25,114.00,119.65,118.966583280214559755,166294,2935,19783429.00,127633,76.75,6.25,5.65
30-June-2025,114.01,116.74,113.64,114.72,114.691110225845003524,32633,665,3742715.00,17158,52.58,3.10,0.71
27-June-2025,117.05,117.46,114.30,114.85,115.392348266885874777,29196,791,3368995.00,15720,53.84,3.16,-2.20
26-June-2025,119.82,119.82,115.73,116.06,116.857429431150594641,13958,298,1631096.00,10957,78.50,4.09,-3.76
25-June-2025,119.00,122.50,116.59,116.87,120.003150556374849175,59672,822,7160828.00,29347,49.18,5.91,-2.13
24-June-2025,115.59,118.60,115.50,118.02,116.985402874212820926,30965,667,3622453.00,21124,68.22,3.10,2.43
23-June-2025,112.00,117.13,112.00,113.41,114.053097954908770189,72564,1101,8276149.00,37254,51.34,5.13,1.41
20-June-2025,111.00,117.30,111.00,115.24,116.002042094371987910,36727,949,4260407.00,22209,60.47,6.30,4.24
19-June-2025,115.13,117.08,112.48,113.75,114.646539931128826831,21199,742,2430392.00,8669,40.89,4.60,-1.38
18-June-2025,116.11,118.67,115.22,115.79,116.952620909354184766,17265,711,2019187.00,6136,35.54,3.45,-0.32
17-June-2025,116.13,119.50,116.04,117.49,118.238052049290918358,133412,2335,15774375.00,74212,55.63,3.46,1.36
16-June-2025,115.01,117.61,113.04,114.98,114.958613480987626419,70796,1513,8138610.00,33576,47.43,4.57,-0.03
13-June-2025,112.50,118.00,111.17,117.21,115.260446024138199268,167121,2833,19262441.00,101913,60.98,6.83,4.71
12-June-2025,115.20,117.00,112.50,115.17,114.892009185738751362,205536,3723,23614444.00,101893,49.57,4.50,-0.03
11-June-2025,113.00,116.00,112.33,115.19,114.442796555043842531,115299,2410,13195140.00,62445,54.16,3.67,2.19
10-June-2025,112.05,113.99,111.45,112.69,112.772846415415131765,141160,2682,15919015.00,76789,54.40,2.54,0.64
9-June-2025,102.06,112.00,102.06,111.21,109.290492248842359573,119208,1882,13028301.00,58085,48.73,9.94,9.15
6-June-2025,101.00,105.30,100.96,103.82,103.560469488517561892,113826,2030,11787874.00,69155,60.76,4.34,2.82
5-June-2025,104.00,104.00,100.50,100.90,101.911520019671324945,48802,864,4973486.00,28023,57.42,3.50,-3.10
4-June-2025,101.40,103.82,100.10,102.70,101.750198118733418323,29023,659,2953096.00,16276,56.08,3.72,1.30
3-June-2025,100.00,103.00,99.90,100.95,101.784495952090495730,45085,968,4588954.00,26204,58.12,3.10,0.95
2-June-2025,96.41,103.17,96.41,101.32,101.352795804406881980,53008,1244,5372509.00,32685,61.66,6.76,4.91
30-May-2025,93.51,99.30,93.51,98.00,97.075720789074355083,59310,888,5757561.00,43690,73.66,5.79,4.49
29-May-2025,96.50,96.50,93.90,95.11,95.052082419991231915,11405,327,1084069.00,5933,52.02,2.60,-1.39
28-May-2025,93.55,95.75,93.35,95.11,94.093590491468572261,27428,579,2580799.00,17055,62.18,2.40,1.56
27-May-2025,93.40,95.04,92.17,93.71,93.484497348340010972,60151,842,5623186.00,36167,60.13,2.87,0.31
26-May-2025,91.92,94.52,91.92,93.46,93.818055297828910744,10778,277,1011171.00,5345,49.59,2.60,1.54
23-May-2025,93.01,95.31,93.01,93.58,94.339525258066124769,40106,993,3783581.00,21878,54.55,2.30,0.57
22-May-2025,94.90,95.00,93.12,93.85,93.963921034717494894,42601,941,4002957.00,20939,49.15,1.88,-1.05
21-May-2025,91.50,95.43,91.50,94.53,93.967214846638729443,56794,981,5336774.00,22534,39.68,3.93,3.03
20-May-2025,93.39,93.39,90.43,90.91,91.659106016961102270,49643,783,4550233.00,30675,61.79,2.96,-2.48
19-May-2025,92.05,94.60,90.90,92.06,92.618071166182356488,91195,1209,8446305.00,47082,51.63,3.70,0.01
16-May-2025,89.44,92.00,89.01,90.69,89.731091095352766653,75163,1145,6744458.00,38210,50.84,2.99,1.25
15-May-2025,90.00,90.00,87.40,88.71,88.592471997916123990,46068,1143,4081278.00,32348,70.22,2.60,-1.29
14-May-2025,88.25,90.30,88.11,89.08,89.184739600042776173,18702,294,1667933.00,11297,60.41,2.19,0.83
13-May-2025,85.20,88.50,85.20,87.98,87.322088008958139756,41973,789,3665170.00,25680,61.18,3.30,2.78
12-May-2025,87.99,87.99,85.20,85.57,85.961925343811394891,50900,1318,4375462.00,34364,67.51,2.79,-2.42
9-May-2025,84.97,85.22,83.79,84.05,84.218360096632087537,35185,1047,2963223.00,19985,56.80,1.43,-0.92
8-May-2025,85.51,87.80,84.80,84.97,86.038184892612876359,39623,1468,3409091.00,18048,45.55,3.00,-0.54
7-May-2025,83.51,85.94,83.51,84.69,84.330786751447281009,42148,1039,3554374.00,28945,68.67,2.43,1.18
6-May-2025,86.38,88.18,84.71,85.19,85.832190102890739833,40820,966,3503670.00,26009,63.72,3.47,-1.19
5-May-2025,86.29,88.80,86.29,87.40,88.057372346528973034,24402,605,2148776.00,14475,59.32,2.51,1.11
2-May-2025,88.86,90.37,87.44,88.14,89.049385450116266194,18062,571,1608410.00,10843,60.03,2.93,-0.72
30-April-2025,92.25,93.66,88.50,88.80,90.426584218014665645,91370,1441,8262277.00,34572,37.84,5.16,-3.45
29-April-2025,91.00,91.70,89.02,89.62,90.248652841280209013,24496,532,2210731.00,17211,70.26,2.68,-1.38
28-April-2025,90.90,90.90,89.00,89.31,89.604790626733222407,28848,884,2584919.00,18142,62.89,1.90,-1.59
25-April-2025,93.00,93.00,89.43,90.02,90.416935729515686871,16415,774,1484194.00,9219,56.16,3.57,-2.98
