Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,1416.35,1416.35,1402.00,1403.45,1408.515620532146549259,681955,16236,960544270.00,,,14.35,-12.90
9-September-2025,1407.90,1407.90,1395.50,1403.00,1400.724270382952439777,51808,3305,72568723.00,23170,44.72,12.40,-4.90
8-September-2025,1401.00,1410.50,1397.70,1402.35,1403.474844668179520973,100913,5172,141628857.00,34127,33.82,12.80,1.35
5-September-2025,1412.55,1412.55,1388.10,1402.70,1395.808911400893295494,167022,6595,233130796.00,89433,53.55,24.45,-9.85
4-September-2025,1409.20,1415.00,1401.80,1405.65,1407.274281607634853569,552414,24794,777398015.00,120689,21.85,13.20,-3.55
3-September-2025,1391.00,1400.00,1383.90,1397.15,1392.135889626404912849,120826,14199,168206211.00,46534,38.51,16.10,6.15
2-September-2025,1411.55,1413.45,1390.10,1394.45,1405.147182867905986405,97688,3536,137266018.00,60031,61.45,23.35,-17.10
1-September-2025,1398.00,1412.15,1397.95,1410.70,1405.864041918698009103,82827,5484,116443501.00,46880,56.60,14.20,12.70
29-August-2025,1392.00,1404.80,1391.70,1398.00,1400.182213389641038380,48306,3135,67637202.00,27822,57.60,13.10,6.00
28-August-2025,1410.70,1411.65,1396.15,1398.80,1403.349936298676120312,90265,7299,126673382.00,48437,53.66,15.50,-11.90
26-August-2025,1421.30,1426.05,1413.30,1416.70,1417.461485139295548365,676583,24534,959030344.00,73020,10.79,12.75,-4.60
25-August-2025,1439.95,1439.95,1423.60,1433.20,1427.768206871085095325,292472,7873,417582223.00,185071,63.28,16.35,-6.75
22-August-2025,1441.35,1445.50,1430.00,1436.20,1433.752476802805581939,273740,5331,392475403.00,214267,78.27,15.50,-5.15
21-August-2025,1440.70,1447.70,1436.05,1445.80,1443.026130914767869754,80709,3737,116465196.00,52184,64.66,11.65,5.10
20-August-2025,1439.90,1439.90,1424.00,1430.25,1429.703826252244007180,142045,4871,203082280.00,96583,67.99,15.90,-9.65
19-August-2025,1430.25,1438.85,1426.25,1436.40,1435.676501077216098916,320270,12955,459804113.00,91607,28.60,12.60,6.15
18-August-2025,1431.25,1451.95,1431.15,1434.60,1440.761513029443157264,192065,6352,276719860.00,136265,70.95,20.80,3.35
14-August-2025,1417.95,1431.00,1415.00,1427.30,1426.321512869506575250,338086,7239,482219335.00,289283,85.56,16.00,9.35
13-August-2025,1422.10,1427.20,1415.55,1421.15,1420.199879731974113739,1396880,9909,1983848808.00,420543,30.11,11.65,-0.95
12-August-2025,1429.25,1433.65,1420.80,1422.10,1424.074982239975776491,171734,9408,244562093.00,46112,26.85,12.85,-7.15
11-August-2025,1431.95,1438.80,1419.85,1436.70,1425.812704522787032534,242638,6791,345956343.00,179640,74.04,18.95,4.75
