Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,40.90,40.90,39.15,39.15,39.184840425531914893,752,11,29467.00,,,1.75,-1.75
9-September-2025,41.74,41.74,38.10,40.97,38.660730593607305936,2190,25,84667.00,2095,95.66,3.64,-0.77
8-September-2025,40.85,41.90,35.50,40.89,40.823562255723059743,3582,57,146230.00,3486,97.32,6.40,0.04
5-September-2025,40.00,40.00,40.00,40.00,40.000000000000000000,5,1,200.00,5,100.00,0.00,0.00
4-September-2025,40.00,40.00,39.00,40.00,39.999026290165530671,1027,9,41079.00,1027,100.00,1.00,0.00
3-September-2025,40.89,41.50,39.05,39.55,40.237338044758539458,3396,32,136646.00,3096,91.17,2.45,-1.34
2-September-2025,39.95,42.00,39.00,40.89,39.312719959778783308,1989,17,78193.00,1977,99.40,3.00,0.94
1-September-2025,39.99,39.99,38.26,39.95,39.647875108412836079,1153,12,45714.00,1133,98.27,1.73,-0.04
29-August-2025,40.00,40.00,38.06,38.09,38.863328822733423545,1478,16,57440.00,764,51.69,1.94,-1.91
28-August-2025,39.90,40.28,39.00,40.00,39.832568807339449541,5668,46,225771.00,4910,86.63,1.28,0.10
26-August-2025,40.29,40.29,39.91,39.91,40.264285714285714285,140,7,5637.00,139,99.29,0.38,-0.38
25-August-2025,39.25,39.98,38.94,39.20,39.094983991462113127,937,20,36632.00,828,88.37,1.04,-0.05
22-August-2025,39.90,39.90,38.91,38.93,39.014412886816447647,2359,21,92035.00,2258,95.72,0.99,-0.97
21-August-2025,38.80,40.39,38.80,38.83,39.029478458049886621,882,15,34424.00,772,87.53,1.59,0.03
20-August-2025,40.69,40.69,38.50,38.50,39.482367758186397984,1588,16,62698.00,1588,100.00,2.19,-2.19
19-August-2025,39.27,39.27,39.27,39.27,39.262135922330097087,103,2,4044.00,103,100.00,0.00,0.00
18-August-2025,41.00,41.00,39.26,39.27,39.693484914735461303,2287,25,90779.00,2219,97.03,1.74,-1.73
14-August-2025,38.55,40.75,38.55,40.69,40.509597806215722120,2188,20,88635.00,1862,85.10,2.20,2.14
13-August-2025,40.29,40.29,39.00,39.00,39.152046783625730994,171,9,6695.00,171,100.00,1.29,-1.29
12-August-2025,39.83,40.85,38.50,39.50,38.762347888332140300,1397,26,54151.00,1284,91.91,2.35,-0.33
11-August-2025,38.00,40.03,38.00,39.83,39.733652312599681020,627,15,24913.00,622,99.20,2.03,1.83
8-August-2025,40.00,40.89,39.58,40.03,40.362186788154897494,878,18,35438.00,693,78.93,1.31,0.03
7-August-2025,40.93,40.93,39.55,39.97,39.691904047976011994,1334,26,52949.00,1258,94.30,1.38,-0.96
6-August-2025,39.51,40.99,39.51,40.50,39.866486850977747808,1483,15,59122.00,1002,67.57,1.48,0.99
5-August-2025,39.30,40.60,39.30,39.89,40.048625792811839323,1419,15,56829.00,1166,82.17,1.30,0.59
4-August-2025,41.38,41.38,38.84,40.97,38.924657534246575342,292,8,11366.00,290,99.32,2.54,-0.41
1-August-2025,39.00,41.49,38.55,40.65,41.139380530973451327,1356,51,55785.00,1268,93.51,2.94,1.65
31-July-2025,40.00,40.00,38.75,39.04,39.060377358490566037,265,7,10351.00,258,97.36,1.25,-0.96
30-July-2025,42.92,42.92,39.50,41.84,39.983218163869693978,1013,10,40503.00,913,90.13,3.42,-1.08
29-July-2025,39.03,39.60,39.03,39.50,39.264062500000000000,640,15,25129.00,574,89.69,0.57,0.47
28-July-2025,38.61,41.99,38.61,41.14,41.145192166102194080,6791,70,279417.00,5634,82.96,3.38,2.53
25-July-2025,40.47,40.47,38.70,39.12,39.279391424619640387,723,15,28399.00,662,91.56,1.77,-1.35
24-July-2025,39.50,40.50,39.30,40.47,39.341807909604519774,708,16,27854.00,706,99.72,1.20,0.97
23-July-2025,40.50,40.50,39.25,39.30,39.308921438082556591,751,23,29521.00,751,100.00,1.25,-1.20
22-July-2025,37.00,41.00,37.00,40.50,40.116923076923076923,975,36,39114.00,640,65.64,4.00,3.50
21-July-2025,39.25,41.64,39.25,41.23,40.494695481335952848,2545,25,103059.00,1583,62.20,2.39,1.98
18-July-2025,40.84,41.00,40.05,40.72,40.371457489878542510,988,18,39887.00,846,85.63,0.95,-0.12
17-July-2025,40.02,42.00,40.00,40.18,40.581178465451462484,4718,66,191462.00,2505,53.09,2.00,0.16
