Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,206.25,209.20,205.35,206.55,206.820178557320060045,25314,608,5235446.00,12947,51.15,3.85,0.30
9-September-2025,207.25,207.25,204.00,204.80,205.668955279272592317,16167,418,3325050.00,8921,55.18,3.25,-2.45
8-September-2025,205.15,207.45,203.50,205.55,205.749563909293132971,62487,1133,12856673.00,28548,45.69,3.95,0.40
5-September-2025,202.95,207.00,202.65,206.20,205.088902270657697617,68086,1545,13963683.00,38178,56.07,4.35,3.25
4-September-2025,208.30,209.60,201.80,203.00,204.500689345122133972,66730,1337,13646331.00,,,7.80,-5.30
3-September-2025,213.35,213.35,207.40,208.25,209.132204322921445517,76291,1615,15954905.00,41891,54.91,5.95,-5.10
2-September-2025,209.75,210.75,208.55,210.05,209.592510598210080075,84920,1189,17798596.00,56458,66.48,2.20,0.30
1-September-2025,217.95,217.95,207.60,210.00,209.819535920559327186,118428,2325,24848508.00,84489,71.34,10.35,-7.95
29-August-2025,210.65,214.95,210.65,214.00,213.703186504217432052,42680,953,9120852.00,21154,49.56,4.30,3.35
28-August-2025,214.35,216.85,211.65,212.10,213.990061162079510703,64092,1518,13715051.00,31425,49.03,5.20,-2.25
26-August-2025,228.95,229.00,215.05,216.15,221.700134650097339931,239881,3613,53181650.00,101730,42.41,13.95,-12.80
25-August-2025,260.05,268.00,260.00,263.70,264.508686670204786989,227993,5516,60306129.00,151057,66.26,8.00,3.65
22-August-2025,258.30,261.40,257.35,258.25,259.636149601912258945,55641,1348,14446415.00,30361,54.57,4.05,-0.05
21-August-2025,261.75,261.75,257.00,258.25,258.282915232005246761,36594,1020,9451605.00,19633,53.65,4.75,-3.50
20-August-2025,264.25,264.25,258.10,259.55,259.455466972902541904,45281,796,11748403.00,30648,67.68,6.15,-4.70
19-August-2025,264.70,265.05,261.05,262.80,263.114067570941166680,48068,1649,12647367.00,35315,73.47,4.00,-1.90
18-August-2025,260.15,266.00,259.90,262.90,262.643845055864546931,60951,1183,16008405.00,38061,62.45,6.10,2.75
14-August-2025,257.35,260.15,256.10,257.10,257.104801539356513178,22347,504,5745521.00,12384,55.42,4.05,-0.25
13-August-2025,259.60,261.50,255.70,256.30,258.412966190310212617,28690,643,7413868.00,11307,39.41,5.80,-3.30
12-August-2025,264.00,264.00,257.20,257.85,259.966718928164196123,28064,467,7295706.00,15458,55.08,6.80,-6.15
11-August-2025,265.50,265.50,260.25,261.60,262.623336510962821734,26225,853,6887297.00,16485,62.86,5.25,-3.90
8-August-2025,262.00,265.10,259.85,263.10,263.186867651080120317,29256,958,7699795.00,12062,41.23,5.25,1.10
7-August-2025,258.05,262.25,257.30,261.40,259.293671495645892692,24919,502,6461339.00,11454,45.96,4.95,3.35
6-August-2025,260.30,262.25,256.85,261.75,259.417594933192588683,35999,1165,9338774.00,16425,45.63,5.40,1.45
5-August-2025,261.75,264.00,259.15,260.25,261.149029919692985573,28142,773,7349256.00,15077,53.57,4.85,-1.50
4-August-2025,263.00,264.75,259.25,263.45,261.831082743350736680,73166,1841,19157133.00,39770,54.36,5.50,0.45
1-August-2025,266.25,266.25,258.30,259.75,260.457038391224862888,38837,796,10115370.00,13125,33.80,7.95,-6.50
31-July-2025,259.95,267.45,255.50,263.35,261.901571395279155707,60074,1541,15733475.00,32344,53.84,11.95,3.40
30-July-2025,261.20,263.15,258.00,258.70,259.474572166612851146,37164,729,9643113.00,21868,58.84,5.15,-2.50
29-July-2025,258.15,261.00,254.85,259.85,258.288842723183654799,52468,922,13551899.00,20577,39.22,6.15,1.70
28-July-2025,259.05,264.00,258.55,259.80,260.601666219041450095,189891,3104,49485911.00,102163,53.80,5.45,0.75
25-July-2025,271.05,271.50,259.25,260.95,263.107616140559857057,161184,3747,42408738.00,76374,47.38,12.25,-10.10
24-July-2025,271.05,275.00,268.10,270.75,270.975166652950374454,145812,2178,39511431.00,58507,40.12,6.90,-0.30
23-July-2025,271.05,272.20,267.75,271.00,270.556895667296407972,79927,2500,21624801.00,49570,62.02,4.45,-0.05
22-July-2025,271.30,273.40,270.00,271.20,271.571940943464169967,69425,1077,18853882.00,37135,53.49,3.40,-0.10
