Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,28.67,28.99,28.67,28.81,28.818066382583407383,792256,4188,22831286.00,510837,64.48,0.32,0.14
9-September-2025,28.64,28.80,28.52,28.64,28.648268436956553738,475553,4546,13623770.00,297523,62.56,0.28,0.00
8-September-2025,28.57,28.83,28.45,28.65,28.664463075616997121,398138,2133,11412412.00,186958,46.96,0.38,0.08
5-September-2025,28.64,28.97,28.13,28.57,28.574586575645547119,1692208,8868,48354144.00,1063282,62.83,0.84,-0.07
4-September-2025,29.55,29.60,28.56,28.72,29.154063886590960367,1063760,7852,31012927.00,,,1.04,-0.83
3-September-2025,29.46,29.67,29.36,29.48,29.496338038787010686,530590,3849,15650462.00,316615,59.67,0.31,0.02
2-September-2025,29.32,29.70,29.22,29.50,29.542579410428341296,798919,4541,23602128.00,527156,65.98,0.48,0.18
1-September-2025,29.22,29.64,29.22,29.44,29.455173479160873729,485505,2402,14300634.00,359215,73.99,0.42,0.22
29-August-2025,29.37,29.47,29.20,29.25,29.325254492668406159,272110,2461,7979695.00,165543,60.84,0.27,-0.12
28-August-2025,28.32,29.40,28.32,29.25,29.172094256921793345,595691,6695,17377554.00,377628,63.39,1.08,0.93
26-August-2025,29.63,29.90,29.30,29.44,29.524109390645358071,736041,6631,21730955.00,528512,71.80,0.60,-0.19
25-August-2025,30.11,30.11,29.68,29.75,29.792909809224008619,236665,2681,7050939.00,144179,60.92,0.43,-0.36
22-August-2025,29.72,30.09,29.67,29.87,29.865422002207332221,216551,2382,6467387.00,130342,60.19,0.42,0.15
21-August-2025,30.19,30.25,29.66,29.75,29.902840081920694845,607905,5639,18178086.00,389930,64.14,0.59,-0.44
20-August-2025,29.95,30.27,29.54,30.12,29.978024283680785064,729214,2862,21860395.00,462962,63.49,0.73,0.17
19-August-2025,29.63,29.88,29.50,29.80,29.750554400554400554,808080,5155,24040828.00,493912,61.12,0.38,0.17
18-August-2025,29.55,29.92,29.55,29.68,29.703530745032142089,204716,2666,6080788.00,141315,69.03,0.37,0.13
14-August-2025,29.75,30.13,29.00,29.26,29.557643099269708608,620985,3043,18354853.00,334142,53.81,1.13,-0.49
13-August-2025,29.68,29.84,29.40,29.50,29.642256674695525324,736925,5636,21844120.00,434952,59.02,0.44,-0.18
12-August-2025,29.56,29.92,29.51,29.86,29.791185848395407835,607818,4826,18107619.00,467111,76.85,0.41,0.30
11-August-2025,29.29,29.60,29.25,29.51,29.478760348563844623,326253,3176,9617534.00,174228,53.40,0.35,0.22
8-August-2025,29.17,29.55,28.99,29.18,29.360014951109167780,283591,2922,8326236.00,169335,59.71,0.56,0.01
7-August-2025,28.84,29.28,28.75,29.18,28.942981151511293468,863995,5357,25006591.00,655399,75.86,0.53,0.34
6-August-2025,29.01,29.15,28.42,28.98,28.858578630082387097,441574,3615,12743198.00,227506,51.52,0.73,-0.03
5-August-2025,28.90,29.28,28.78,28.83,28.963105057488985478,674564,6188,19537468.00,405708,60.14,0.50,-0.07
4-August-2025,29.07,29.41,28.80,28.90,29.109462648169996720,939124,7886,27337395.00,514706,54.81,0.61,-0.17
1-August-2025,29.66,29.81,29.10,29.27,29.510036712972882199,690764,5180,20384471.00,385041,55.74,0.71,-0.39
31-July-2025,29.64,29.93,29.32,29.71,29.742932553526600691,930145,6019,27665240.00,426001,45.80,0.61,0.07
30-July-2025,29.56,30.42,29.56,30.19,30.160974149982129374,945686,3500,28522811.00,548027,57.95,0.86,0.63
29-July-2025,29.55,29.75,29.26,29.60,29.569219001734184087,1364907,5996,40359234.00,997743,73.10,0.49,0.05
28-July-2025,29.68,29.86,29.49,29.62,29.657731175670652447,866246,6434,25690891.00,589268,68.03,0.37,-0.06
25-July-2025,29.88,29.88,29.58,29.73,29.706341353331250216,345636,2422,10267581.00,178977,51.78,0.30,-0.15
24-July-2025,29.57,29.94,29.41,29.86,29.711355486685262986,994462,4632,29546814.00,668886,67.26,0.53,0.29
23-July-2025,29.04,29.59,29.04,29.50,29.341003616862684282,999485,4275,29325893.00,589543,58.98,0.55,0.46
22-July-2025,29.30,29.54,29.17,29.29,29.360788914371962573,1154143,5596,33886549.00,588455,50.99,0.37,-0.01
21-July-2025,29.92,29.93,28.91,29.09,29.148381963954918694,1703145,13504,49643921.00,966983,56.78,1.02,-0.83
18-July-2025,30.91,30.91,29.70,29.87,30.074487669056191995,1651374,10191,49664227.00,961908,58.25,1.21,-1.04
17-July-2025,31.25,31.31,30.26,30.65,30.750977765442647837,1372773,4204,42214112.00,630636,45.94,1.05,-0.60
16-July-2025,30.66,31.06,30.66,30.84,30.869862006468903912,1298829,5241,40094672.00,904272,69.62,0.40,0.18
15-July-2025,30.24,31.15,30.24,30.63,30.714098071731809886,1200611,5859,36875684.00,750988,62.55,0.91,0.39
14-July-2025,29.97,30.40,29.80,30.21,30.143316672554890797,863305,5881,26022876.00,507265,58.76,0.60,0.24
11-July-2025,29.52,30.24,29.52,30.00,30.006189611716376211,833978,5469,25024502.00,451715,54.16,0.72,0.48
10-July-2025,30.55,30.55,30.00,30.05,30.132708289615906940,252569,2255,7610588.00,149695,59.27,0.55,-0.50
9-July-2025,30.06,30.42,29.96,30.25,30.193572304049341868,863202,4641,26063152.00,442409,51.25,0.46,0.19
8-July-2025,30.44,30.61,30.02,30.11,30.243518841860454067,841902,5888,25462079.00,402185,47.77,0.59,-0.33
7-July-2025,30.66,30.89,30.29,30.40,30.563029005505213593,281188,2337,8593957.00,138373,49.21,0.60,-0.26
4-July-2025,30.72,30.94,30.48,30.66,30.690108990469788450,1065139,5704,32689232.00,633770,59.50,0.46,-0.06
3-July-2025,31.32,31.32,30.64,30.71,30.888550685505789228,1125884,6857,34776925.00,634178,56.33,0.68,-0.61
2-July-2025,31.99,32.27,30.95,31.04,31.586192691420929086,2107058,7510,66553940.00,1074096,50.98,1.32,-0.95
1-July-2025,31.00,31.65,30.55,31.57,31.298821945583694857,3038060,10738,95087699.00,2209399,72.72,1.10,0.57
30-June-2025,30.13,31.49,30.06,30.80,30.899689150856951626,2008048,8365,62048059.00,1247502,62.13,1.43,0.67
27-June-2025,30.25,30.44,29.87,30.08,30.126183530529702262,1490139,5676,44892201.00,856100,57.45,0.57,-0.17
26-June-2025,30.61,30.91,29.83,29.91,30.149919701128740161,351188,2202,10588290.00,201234,57.30,1.08,-0.70
25-June-2025,29.99,30.64,29.94,30.56,30.326118553364617767,692144,2341,20990041.00,383539,55.41,0.70,0.57
24-June-2025,29.20,30.29,29.20,29.87,29.851309651832622112,583972,2040,17432329.00,356791,61.10,1.09,0.67
23-June-2025,28.98,29.24,28.71,29.09,29.036222701773089497,969889,2711,28161913.00,375752,38.74,0.53,0.11
20-June-2025,29.00,29.58,28.88,29.22,29.220393821848823225,722611,3346,21114978.00,252043,34.88,0.70,0.22
19-June-2025,29.56,29.89,28.82,29.00,29.300669764496738032,713833,3620,20915785.00,250165,35.05,1.07,-0.56
18-June-2025,29.76,30.07,29.54,29.63,29.782810862398434657,458941,2241,13668553.00,213372,46.49,0.53,-0.13
17-June-2025,29.78,30.36,29.70,29.78,29.932967862172596493,1229828,6377,36812402.00,811768,66.01,0.66,0.00
16-June-2025,29.84,30.29,29.15,29.80,29.650321206385711851,1567061,11923,46463862.00,839780,53.59,1.14,-0.04
13-June-2025,29.41,30.32,28.69,30.19,29.731007863414593480,1439451,3997,42796329.00,615604,42.77,1.63,0.78
12-June-2025,30.86,30.93,29.67,29.85,30.276253207003717977,1560257,3767,47238736.00,491339,31.49,1.26,-1.01
11-June-2025,30.92,31.20,30.41,30.77,30.813838061470973369,2925641,9028,90150228.00,1536692,52.52,0.79,-0.15
10-June-2025,30.61,31.16,30.50,30.76,30.755647572011112374,4924240,11097,151448190.00,2059762,41.83,0.66,0.15
9-June-2025,29.30,30.56,29.30,30.44,30.075763452020858013,5200687,12753,156414632.00,3899245,74.98,1.26,1.14
6-June-2025,29.20,29.58,28.89,29.16,29.248078332650500601,2499392,6845,73102413.00,1364156,54.58,0.69,-0.04
5-June-2025,29.40,29.58,29.09,29.16,29.320756836293995742,1246399,5930,36545362.00,726291,58.27,0.49,-0.24
4-June-2025,29.65,29.65,29.23,29.28,29.415371676791429877,612360,2256,18012797.00,219311,35.81,0.42,-0.37
3-June-2025,29.54,29.85,29.40,29.46,29.591053622207788880,1327174,3773,39272477.00,856438,64.53,0.45,-0.08
2-June-2025,29.23,30.19,29.04,29.63,29.667110086900575688,3609067,11039,107070588.00,2043694,56.63,1.15,0.40
30-May-2025,28.37,29.95,28.20,29.49,29.230453063291139240,4937500,10625,144325362.00,2768137,56.06,1.75,1.12
29-May-2025,29.01,29.07,28.25,28.37,28.470767820721348720,619728,2402,17644132.00,288158,46.50,0.82,-0.64
28-May-2025,28.99,29.14,28.76,28.84,28.964136757952032658,1322775,5614,38313036.00,930170,70.32,0.38,-0.15
27-May-2025,28.97,29.10,28.72,28.96,28.912083185094273025,1425063,5513,41201540.00,857798,60.19,0.38,-0.01
26-May-2025,28.83,29.17,28.74,28.96,28.942780309659755495,923336,3509,26723911.00,414939,44.94,0.43,0.13
23-May-2025,28.58,28.83,28.43,28.77,28.730696767154369427,1382126,5299,39709443.00,948222,68.61,0.40,0.19
22-May-2025,28.62,28.99,28.33,28.51,28.707034120204726278,792082,2975,22738325.00,294277,37.15,0.66,-0.11
21-May-2025,28.62,28.91,28.35,28.62,28.615398497986220506,1102653,3664,31552855.00,451048,40.91,0.56,0.00
20-May-2025,28.97,29.55,28.24,28.68,28.957727325856741034,5449809,14326,157814083.00,3503298,64.28,1.31,-0.29
19-May-2025,27.66,29.33,27.66,28.77,28.778486267152166148,10121535,17736,291282456.00,6506613,64.28,1.67,1.11
16-May-2025,27.84,28.25,27.40,27.58,27.823176740212281696,4563653,13504,126975324.00,2656280,58.21,0.85,-0.26
15-May-2025,26.80,27.87,26.16,27.77,27.174107195451535907,6790512,13339,184526101.00,3653671,53.81,1.71,0.97
14-May-2025,26.67,26.87,26.48,26.75,26.749643790073616718,808512,2832,21627408.00,,,0.39,0.08
13-May-2025,25.49,26.50,25.26,26.44,26.137025709897202021,1393899,5005,36432374.00,583703,41.88,1.24,0.95
12-May-2025,25.31,25.65,25.05,25.51,25.465502186879179399,1760271,6061,44826185.00,966950,54.93,0.60,0.20
9-May-2025,23.79,24.43,23.79,24.34,24.105506863623202915,1847785,8382,44541794.00,1142939,61.85,0.64,0.55
8-May-2025,24.68,25.00,24.10,24.20,24.560650916122756975,777243,6573,19089594.00,426696,54.90,0.90,-0.48
7-May-2025,24.10,24.78,24.01,24.67,24.541567261776888316,1061316,7124,26046358.00,539427,50.83,0.77,0.57
6-May-2025,25.46,25.51,24.52,24.60,24.969188201660963385,1207492,9978,30150095.00,588966,48.78,0.99,-0.86
5-May-2025,25.58,25.75,25.36,25.46,25.585072555267448128,606641,2818,15520954.00,335888,55.37,0.39,-0.12
2-May-2025,25.25,25.71,25.18,25.63,25.519950936131791001,586990,2132,14979956.00,205281,34.97,0.53,0.38
30-April-2025,25.57,25.88,25.20,25.46,25.531427826534159361,1680008,9851,42893003.00,626506,37.29,0.68,-0.11
29-April-2025,25.73,26.32,25.57,25.63,25.881555528289222019,1385510,5799,35859154.00,477068,34.43,0.75,-0.10
28-April-2025,25.30,25.69,25.15,25.59,25.512981148639498666,1070745,5913,27317897.00,685696,64.04,0.54,0.29
25-April-2025,26.16,26.33,25.20,25.35,25.490005395069231175,2404047,10744,61279171.00,1135039,47.21,1.13,-0.81
