Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,811.20,824.50,810.20,818.30,818.736991894816357363,489810,19837,401025566.00,,,14.30,7.10
9-September-2025,810.35,812.45,805.40,808.95,808.157143527314521614,170532,7778,137816654.00,79642,46.70,7.05,-1.40
8-September-2025,807.10,813.50,807.10,809.00,810.294849716766037216,268859,9784,217855063.00,96935,36.05,6.40,1.90
5-September-2025,811.90,812.20,803.60,806.95,808.060467201458121272,272131,5358,219898303.00,196664,72.27,8.60,-4.95
4-September-2025,816.75,816.75,807.85,809.35,810.131209806554921356,619504,21762,501879525.00,164519,26.56,8.90,-7.40
3-September-2025,805.00,813.20,803.10,812.15,810.062439434759922050,187814,9977,152141067.00,90066,47.95,10.10,7.15
2-September-2025,809.90,810.50,802.90,803.95,806.635492896211592912,119021,4689,96006563.00,55052,46.25,7.60,-5.95
1-September-2025,802.65,808.25,802.65,805.90,805.283882984551331215,164286,5990,132296868.00,82041,49.94,5.60,3.25
29-August-2025,802.00,807.00,798.60,802.35,804.223812596997495351,520632,10024,418704652.00,384847,73.92,8.40,0.35
28-August-2025,807.80,810.60,800.70,802.05,806.659355489517162409,146716,8173,118349834.00,75129,51.21,9.90,-5.75
26-August-2025,815.80,815.80,806.55,807.80,810.490223877844576402,677825,22683,549370536.00,65530,9.67,9.25,-8.00
25-August-2025,817.00,820.45,814.00,815.50,816.776210887269609944,373280,9475,304886224.00,214275,57.40,6.45,-1.50
22-August-2025,825.50,825.95,815.55,816.10,819.710629586469717489,158755,6332,130133161.00,73935,46.57,10.40,-9.40
21-August-2025,828.80,833.45,824.50,825.55,829.183317230738171802,138694,5868,115002751.00,60602,43.69,8.95,-3.25
20-August-2025,829.80,831.50,826.95,828.80,829.347366402454615187,156440,5436,129743102.00,81440,52.06,4.55,-1.00
19-August-2025,827.65,831.25,825.85,830.35,829.043400512300033831,289674,10692,240152318.00,91359,31.54,5.40,2.70
18-August-2025,831.35,835.20,825.30,827.00,829.978413254922296436,435823,14516,361723682.00,243693,55.92,9.90,-4.35
14-August-2025,821.85,828.00,819.20,826.70,826.037177255407988118,492882,13282,407138856.00,270215,54.82,8.80,4.85
13-August-2025,823.45,824.90,820.55,822.15,822.395687428277285327,847012,8492,696579016.00,703330,83.04,4.35,-1.30
12-August-2025,824.30,825.60,820.00,820.55,822.715918393369461268,784250,13279,645214959.00,574046,73.20,5.60,-3.75
11-August-2025,807.00,824.95,807.00,824.30,820.785479296355419497,1141997,31624,937334555.00,677054,59.29,17.95,17.30
8-August-2025,805.00,807.95,790.10,804.55,802.302214374927571687,621304,15821,498473575.00,257429,41.43,17.85,-0.45
7-August-2025,801.10,806.50,793.30,805.25,799.770557987335854829,188248,7958,150555208.00,80905,42.98,13.20,4.15
6-August-2025,801.00,810.00,799.00,805.15,804.254473039541297566,376366,12661,302694039.00,180079,47.85,11.00,4.15
5-August-2025,795.65,803.65,795.65,800.70,800.358788787264856171,512346,17454,410060624.00,229119,44.72,8.00,5.05
4-August-2025,795.00,797.45,786.55,795.65,791.764116584988393087,193850,8354,153483474.00,88460,45.63,10.90,0.65
1-August-2025,796.50,800.75,791.95,793.95,795.964676661502810247,234321,9302,186511239.00,102023,43.54,8.80,-2.55
31-July-2025,796.65,803.60,792.45,796.45,798.203961740334045661,378571,11654,302176872.00,203715,53.81,11.15,-0.20
30-July-2025,799.85,803.40,796.25,801.85,800.643437870474142119,154363,6877,123589723.00,73866,47.85,7.15,2.00
29-July-2025,795.35,800.20,793.10,798.90,797.455149370831036174,330118,10163,263254299.00,76222,23.09,7.10,3.55
28-July-2025,808.95,809.20,796.00,797.15,802.298380807749138072,389824,14235,312755164.00,126645,32.49,13.20,-11.80
25-July-2025,814.35,819.00,805.55,806.50,811.225498342115476280,383923,13291,311448127.00,179777,46.83,13.45,-7.85
24-July-2025,819.75,821.95,810.65,815.85,816.006740851040167069,323698,11686,264139750.00,150581,46.52,11.30,-3.90
23-July-2025,815.20,825.00,811.40,820.75,813.910248319199972972,739975,8232,602273236.00,630452,85.20,13.60,5.55
22-July-2025,829.00,829.00,814.00,815.00,819.724134569062421141,174364,5180,142930379.00,90887,52.12,15.00,-14.00
21-July-2025,823.50,827.40,817.95,824.20,823.559581819449501483,258166,10421,212615083.00,178730,69.23,9.45,0.70
18-July-2025,832.40,832.40,820.05,823.30,824.222386959083265379,256301,6856,211249022.00,135401,52.83,12.35,-9.10
17-July-2025,839.00,842.30,826.15,828.60,834.703594929894300697,624129,17074,520962720.00,218742,35.05,16.15,-10.40
16-July-2025,816.50,834.00,815.15,831.55,827.549080792268175656,1238621,24494,1025019670.00,791205,63.88,18.85,15.05
15-July-2025,810.20,821.00,810.20,816.75,816.642021891654567426,460084,11062,375723928.00,237410,51.60,10.80,6.55
14-July-2025,810.40,815.60,808.00,809.30,809.215154910433436959,435542,3810,352447187.00,352911,81.03,7.60,-1.10
11-July-2025,808.00,812.60,804.50,808.50,808.886858282836716130,227573,6908,184080809.00,121754,53.50,8.10,0.50
10-July-2025,812.00,815.50,807.05,808.00,810.783046042704951762,174968,3941,141861088.00,76058,43.47,8.45,-4.00
9-July-2025,810.00,812.25,809.10,810.85,810.889885548187846307,176144,5762,142833388.00,92527,52.53,3.15,0.85
8-July-2025,808.95,813.85,805.50,812.80,811.009005678895675356,573527,11223,465135562.00,119560,20.85,8.35,3.85
7-July-2025,812.80,812.80,805.20,806.95,808.148082100173185411,116638,3660,94260776.00,50615,43.39,7.60,-5.85
4-July-2025,810.25,813.50,804.20,811.85,807.883959234335776824,359322,7904,290290480.00,147158,40.95,9.30,1.60
3-July-2025,813.00,815.00,806.00,807.10,810.965890024049665355,429112,11477,347995195.00,226009,52.67,9.00,-5.90
2-July-2025,820.70,824.35,809.10,813.20,815.512127483443708609,193280,4539,157622184.00,90096,46.61,15.25,-7.50
1-July-2025,820.35,824.95,813.25,820.25,819.684597380199564735,633178,12210,519006254.00,116797,18.45,11.70,-0.10
30-June-2025,808.95,821.00,807.05,820.35,816.935471657856920235,478069,9834,390551524.00,206627,43.22,13.95,11.40
27-June-2025,806.00,809.50,802.40,805.40,805.779763825391703717,477274,8944,384577731.00,224581,47.05,7.10,-0.60
26-June-2025,802.70,803.45,791.50,797.00,795.313005886681383370,478368,11083,380452292.00,241792,50.55,11.95,-5.70
25-June-2025,799.00,805.00,796.10,800.10,799.968896210873146622,197275,3876,157813864.00,98431,49.90,8.90,1.10
24-June-2025,798.50,806.50,793.60,795.25,797.948607739662035042,937612,18035,748166190.00,140258,14.96,12.90,-3.25
23-June-2025,790.20,794.60,788.45,790.15,791.601968211596845597,212782,5070,168438650.00,133929,62.94,6.15,-0.05
20-June-2025,787.95,799.10,786.30,796.00,793.595001577840891413,224991,6444,178551733.00,65318,29.03,12.80,8.05
19-June-2025,792.85,793.20,781.50,784.70,785.985129244546965636,235832,5915,185360445.00,132100,56.01,11.70,-8.15
18-June-2025,792.10,795.50,788.35,791.75,791.837519664992134003,131579,3906,104189189.00,58911,44.77,7.15,-0.35
17-June-2025,793.50,798.80,790.75,792.20,792.822882256315791382,1103108,21601,874569264.00,140850,12.77,8.05,-1.30
16-June-2025,792.55,795.35,786.35,792.85,791.337790257550466945,1385709,15633,1096563898.00,924247,66.70,9.00,0.30
13-June-2025,789.75,796.20,788.90,792.40,792.314436402153764674,362528,8485,287236168.00,163376,45.07,7.30,2.65
12-June-2025,816.00,816.55,801.25,805.65,809.228899581452064726,182058,4519,147326595.00,72098,39.60,15.30,-10.35
11-June-2025,817.05,820.60,812.90,814.95,817.132979042651287395,183277,5433,149761681.00,72025,39.30,7.70,-2.10
10-June-2025,821.95,821.95,814.65,817.05,817.624629576757602906,406292,10273,332194346.00,95360,23.47,7.30,-4.90
9-June-2025,817.10,824.40,815.60,820.05,820.852854499190377052,432300,9890,354854689.00,187286,43.32,8.80,2.95
6-June-2025,806.10,816.45,802.90,812.85,811.854064453656784648,943903,20006,766311487.00,342917,36.33,13.55,6.75
5-June-2025,809.00,811.90,803.00,806.10,808.341629950433084664,319568,5975,258320118.00,203077,63.55,8.90,-2.90
4-June-2025,815.10,815.95,805.00,806.45,808.543699427435763971,147931,4247,119608678.00,65305,44.15,10.95,-8.65
3-June-2025,816.90,817.95,805.20,809.75,810.544924131396608422,1443812,32134,1170274488.00,142927,9.90,12.75,-7.15
2-June-2025,812.10,822.50,809.10,813.45,815.596823934380078569,1094058,23973,892310230.00,422889,38.65,13.40,1.35
30-May-2025,797.35,814.35,792.75,812.40,805.504525719475862176,510858,9166,411498431.00,224653,43.98,21.60,15.05
29-May-2025,797.10,800.00,791.40,797.30,794.928662730780599650,250346,7808,199007211.00,107918,43.11,8.60,0.20
28-May-2025,794.00,798.85,792.90,796.45,796.333242427676876434,282344,7675,224839913.00,127531,45.17,5.95,2.45
27-May-2025,794.15,801.15,789.75,793.80,795.222072317567519431,1122936,21829,892983493.00,199159,17.74,11.40,-0.35
