Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,428.95,433.95,427.70,432.65,430.769707263462883404,10009,722,4311574.00,7516,75.09,6.25,3.70
9-September-2025,421.10,429.85,421.10,426.65,424.895378000716589036,5582,458,2371766.00,4159,74.51,8.75,5.55
8-September-2025,423.05,425.90,420.85,423.65,423.570125160837524856,8549,722,3621101.00,6475,75.74,5.05,0.60
5-September-2025,429.60,429.60,418.65,423.95,423.675756749386419416,7334,859,3107238.00,4817,65.68,10.95,-5.65
4-September-2025,429.00,429.00,425.00,425.50,426.601021566401816118,3524,524,1503342.00,2179,61.83,4.00,-3.50
3-September-2025,422.00,426.90,422.00,426.60,425.837418462146669302,10118,537,4308623.00,6994,69.12,4.90,4.60
2-September-2025,424.95,425.00,421.20,422.60,423.659967890162210042,36126,1773,15305140.00,32730,90.60,3.80,-2.35
1-September-2025,425.00,425.00,420.00,423.05,423.437796652510617037,8006,897,3390043.00,4674,58.38,5.00,-1.95
29-August-2025,425.65,425.65,422.00,423.65,423.697500000000000000,1200,173,508437.00,859,71.58,3.65,-2.00
28-August-2025,424.90,426.00,421.90,423.25,424.064677574590952839,5195,646,2203016.00,3522,67.80,4.10,-1.65
26-August-2025,424.15,428.00,422.20,424.60,424.005985711527321876,10358,1574,4391854.00,7103,68.58,5.80,0.45
25-August-2025,426.10,428.95,423.55,425.90,426.069060016442861057,7298,846,3109452.00,4636,63.52,5.40,-0.20
22-August-2025,429.95,430.55,423.60,427.40,426.527866524671636492,2817,255,1201529.00,1660,58.93,6.95,-2.55
21-August-2025,429.45,430.75,423.70,425.25,426.911147111969593121,16049,1124,6851497.00,7678,47.84,7.05,-4.20
20-August-2025,427.05,433.50,427.05,429.50,429.746124031007751937,2580,260,1108745.00,2030,78.68,6.45,2.45
19-August-2025,425.50,429.85,425.30,428.70,427.373667377398720682,1876,157,801753.00,1091,58.16,4.55,3.20
18-August-2025,430.00,440.95,423.20,424.85,426.693597049949715051,5966,518,2545654.00,2813,47.15,17.75,-5.15
14-August-2025,434.00,434.00,427.70,428.55,428.725092250922509225,1084,127,464738.00,698,64.39,6.30,-5.45
13-August-2025,432.35,433.15,427.35,429.95,429.619584569732937685,6740,567,2895636.00,2874,42.64,5.80,-2.40
12-August-2025,429.15,431.15,428.00,429.30,429.391341620231461637,4666,653,2003540.00,2458,52.68,3.15,0.15
11-August-2025,433.90,433.90,428.00,429.15,429.948665297741273100,1948,201,837540.00,1360,69.82,5.90,-4.75
8-August-2025,436.00,436.00,427.80,429.20,430.189965986394557823,5880,805,2529517.00,3508,59.66,8.20,-6.80
7-August-2025,426.30,433.95,426.30,432.05,430.461279461279461279,6831,765,2940481.00,4246,62.16,7.65,5.75
6-August-2025,432.95,436.45,426.00,431.95,431.183335742159271571,13838,1203,5966715.00,9109,65.83,10.45,-1.00
5-August-2025,435.15,438.95,429.00,431.20,434.435946745562130177,6760,307,2936787.00,3868,57.22,9.95,-3.95
4-August-2025,436.85,442.05,436.85,437.60,439.024600246002460024,6504,473,2855416.00,4311,66.28,5.20,0.75
