Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,127.70,132.90,127.70,132.50,131.842666874695599555,1422879,5959,187596162.00,,,5.20,4.80
9-September-2025,127.60,128.55,126.65,127.25,127.196106798070474050,2032209,8735,258489073.00,1835829,90.34,1.90,-0.35
8-September-2025,128.00,129.10,127.10,128.05,128.228577453280265689,75878,797,9729728.00,32803,43.23,2.00,0.05
5-September-2025,127.85,128.10,125.50,127.30,126.706375102786408463,1449608,4946,183674575.00,1297671,89.52,2.60,-0.55
4-September-2025,129.55,130.50,126.55,126.80,128.282169331516138682,300830,2673,38591125.00,151639,50.41,3.95,-2.75
3-September-2025,127.20,128.90,127.20,128.50,128.343718564685523751,142157,1143,18244958.00,87000,61.20,1.70,1.30
2-September-2025,129.60,129.60,127.20,127.60,128.333784704705767818,225978,2398,29000612.00,111726,49.44,2.40,-2.00
1-September-2025,125.95,128.40,125.70,128.20,127.475071509525608505,277935,2687,35429784.00,182839,65.78,2.70,2.25
29-August-2025,127.25,128.25,124.55,124.85,126.224889084295935089,400304,3918,50528328.00,188173,47.01,3.70,-2.40
28-August-2025,129.50,129.65,126.80,127.10,128.077941995852743680,174091,1789,22297217.00,81804,46.99,2.85,-2.40
26-August-2025,133.15,133.15,129.00,129.60,130.205792056470133197,165468,1796,21544892.00,65211,39.41,4.15,-3.55
25-August-2025,134.65,135.90,132.80,133.00,133.423627106702856602,1723131,6009,229906388.00,1557463,90.39,3.10,-1.65
22-August-2025,136.35,138.00,134.55,134.70,136.212943612482669195,935473,2571,127423531.00,774702,82.81,3.45,-1.65
21-August-2025,137.70,138.55,136.30,136.50,137.026594385461483569,1056614,5673,144784218.00,902923,85.45,2.25,-1.20
20-August-2025,136.10,138.30,136.10,136.95,137.471842193860374009,196038,1479,26949705.00,74771,38.14,2.20,0.85
19-August-2025,136.85,137.70,133.70,137.50,135.804606180704012234,185707,1849,25219866.00,98001,52.77,4.00,0.65
18-August-2025,136.55,137.65,134.90,135.75,136.392077501805450174,437564,3046,59680263.00,214246,48.96,2.75,-0.80
14-August-2025,135.80,136.55,134.05,134.70,134.948503883022184647,387971,3245,52356106.00,231804,59.75,2.50,-1.10
13-August-2025,136.80,136.95,134.80,135.70,135.400326104057707068,1048745,7950,142000415.00,851626,81.20,2.15,-1.10
12-August-2025,135.05,136.95,134.95,135.55,135.747634273081333484,387196,3954,52560941.00,174798,45.14,2.00,0.50
11-August-2025,130.60,134.95,130.60,134.80,133.149958507950523909,432613,2754,57602403.00,288942,66.79,4.35,4.20
8-August-2025,132.95,132.95,130.55,130.90,131.298563701696633793,291931,2536,38330121.00,130829,44.82,2.40,-2.05
7-August-2025,129.70,132.90,129.65,132.45,131.279671859849672297,548668,4726,72028955.00,220471,40.18,3.25,2.75
6-August-2025,128.00,131.60,127.75,131.05,130.095403381273326989,608469,5024,79159020.00,261762,43.02,3.85,3.05
5-August-2025,129.05,129.90,127.20,128.00,128.732387691818398664,314425,3287,40476681.00,155155,49.35,2.70,-1.05
4-August-2025,128.40,129.35,127.15,129.05,128.438585086415891139,409184,3762,52555014.00,189039,46.20,2.20,0.65
1-August-2025,130.85,131.40,127.70,128.10,129.400796521714699126,427107,4257,55267986.00,178236,41.73,3.70,-2.75
31-July-2025,129.80,132.55,128.00,131.00,130.341402055529989262,456330,3034,59478692.00,189240,41.47,4.55,1.20
30-July-2025,132.65,134.00,130.50,130.70,131.999041831139231360,636631,4866,84034682.00,305719,48.02,3.50,-1.95
29-July-2025,133.75,133.75,130.95,132.75,132.455689088161056018,394993,2913,52319070.00,114286,28.93,2.80,-1.00
