Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-September-2025,20.46,20.92,20.42,20.78,20.718661138432717111,16244368,83311,336561556.00,,,0.50,0.32
9-September-2025,20.18,20.47,20.18,20.35,20.358705280966591877,8263260,68294,168229275.00,5227661,63.26,0.29,0.17
8-September-2025,20.47,20.52,20.13,20.18,20.315058583708775693,9795556,62674,198997294.00,5271360,53.81,0.39,-0.29
5-September-2025,20.33,20.62,20.02,20.44,20.298398662455134074,9966918,42614,202312475.00,3238632,32.49,0.60,0.11
4-September-2025,20.50,20.52,20.24,20.28,20.364085746071268931,14749737,49352,300364909.00,,,0.28,-0.22
3-September-2025,19.90,20.38,19.70,20.36,20.132679738126282185,28494803,56893,573676743.00,14252321,50.02,0.68,0.46
2-September-2025,19.54,19.81,19.37,19.56,19.604696575409515108,11768064,47267,230709324.00,4509169,38.32,0.44,0.02
1-September-2025,19.24,19.64,19.07,19.55,19.326888182189080497,10363036,36697,200285238.00,5034611,48.58,0.57,0.31
29-August-2025,18.92,19.55,18.72,19.11,19.194435654267512903,21681399,44429,416162218.00,7579184,34.96,0.83,0.19
28-August-2025,18.96,19.03,18.64,18.69,18.851661029622230400,8388261,35605,158132653.00,3160470,37.68,0.39,-0.27
26-August-2025,19.55,19.55,18.90,18.96,19.115825687877171702,11688642,38290,223438043.00,4903068,41.95,0.65,-0.59
25-August-2025,20.33,20.33,19.50,19.55,19.747417749498831543,23753989,51063,469079944.00,9978409,42.01,0.83,-0.78
22-August-2025,19.41,19.46,19.23,19.28,19.342680412027459237,7199326,31858,139254262.00,2965392,41.19,0.23,-0.13
21-August-2025,19.37,19.69,19.34,19.43,19.506432664410367997,7410071,39539,144544051.00,2778952,37.50,0.35,0.06
20-August-2025,19.35,19.43,19.31,19.36,19.364455839881815584,5677906,35552,109949560.00,3082289,54.29,0.12,0.01
19-August-2025,19.10,19.40,19.04,19.35,19.231158475590315706,5564226,38947,107006512.00,2721320,48.91,0.36,0.25
18-August-2025,18.89,19.18,18.89,19.09,19.074571673241384297,9071112,30587,173027576.00,4112918,45.34,0.29,0.20
14-August-2025,18.81,18.88,18.72,18.78,18.793766447206533378,3962299,35544,74466522.00,2005414,50.61,0.16,-0.03
13-August-2025,18.75,18.87,18.66,18.83,18.772484050026910767,4351418,36118,81686925.00,2173366,49.95,0.21,0.08
12-August-2025,18.87,18.88,18.69,18.72,18.803648236593658587,5290556,38223,99481754.00,2094882,39.60,0.19,-0.15
11-August-2025,18.55,18.80,18.45,18.77,18.674278995201355039,5152913,28736,96226935.00,2807323,54.48,0.35,0.22
8-August-2025,18.77,18.87,18.50,18.55,18.665083225430474837,5645510,30826,105373914.00,2489839,44.10,0.37,-0.22
7-August-2025,18.63,18.83,18.38,18.78,18.609166246323102098,6203259,31493,115437478.00,3075018,49.57,0.45,0.15
6-August-2025,18.86,18.90,18.67,18.73,18.773183793977517693,6225340,28636,116869452.00,2554854,41.04,0.23,-0.13
